frame,laplacian,tenengrad,fft,is_blurry
0,560.76,14.37,3.56,True
1,558.65,14.33,3.56,True
2,553.70,14.29,3.55,True
3,557.92,14.33,3.56,True
4,556.59,14.28,3.55,True
5,552.00,14.27,3.54,True
6,562.53,14.30,3.56,True
7,556.67,14.27,3.55,True
8,544.52,14.27,3.54,True
9,532.75,14.25,3.53,True
10,545.82,14.41,3.55,True
11,546.53,14.58,3.57,True
12,542.82,14.67,3.59,True
13,547.66,14.81,3.61,True
14,546.07,14.77,3.61,True
15,541.35,14.75,3.60,True
16,551.78,14.82,3.62,True
17,546.49,14.81,3.62,True
18,561.87,14.61,3.61,True
19,548.25,14.56,3.59,True
20,560.45,14.61,3.60,True
21,559.83,14.63,3.61,True
22,560.95,14.67,3.63,True
23,546.88,14.62,3.61,True
24,559.37,14.68,3.62,True
25,559.13,14.68,3.62,True
26,554.43,14.66,3.62,True
27,559.05,14.76,3.63,True
28,559.10,14.80,3.64,True
29,554.31,15.05,3.57,True
30,564.56,15.39,3.60,True
31,558.26,15.63,3.58,True
32,546.89,15.99,3.61,True
33,535.00,16.17,3.61,True
34,547.32,16.52,3.72,True
35,546.01,16.42,3.70,True
36,542.54,16.03,3.73,True
37,545.48,16.09,3.79,True
38,544.26,16.04,3.85,True
39,538.81,15.79,3.87,True
40,548.00,15.66,3.84,True
41,541.75,15.48,3.84,True
42,556.44,15.60,3.88,True
43,543.37,15.37,3.87,True
44,555.73,15.45,3.87,True
45,555.12,16.48,4.13,True
46,552.62,17.87,4.53,True
47,538.77,17.81,4.52,True
48,551.51,18.01,4.56,True
49,552.00,18.09,4.59,True
50,548.12,18.14,4.61,True
51,553.12,18.65,4.75,True
52,553.02,19.25,4.95,True
53,549.34,19.67,5.09,True
54,556.79,19.75,5.25,True
55,551.95,20.08,5.34,True
56,541.20,20.26,5.40,True
57,531.00,20.19,5.40,True
58,544.14,20.39,5.49,True
59,544.70,20.34,5.50,True
60,540.69,20.27,5.49,True
61,547.96,20.62,5.63,True
62,547.85,20.53,5.63,True
63,545.22,20.39,5.59,True
64,557.51,20.71,5.71,True
65,557.28,20.61,5.72,True
66,573.45,20.80,5.78,True
67,559.33,20.34,5.65,True
68,570.74,20.34,5.64,True
69,568.56,20.14,5.59,True
70,571.61,20.38,5.65,True
71,559.13,20.18,5.60,True
72,572.77,20.07,5.62,True
73,571.05,20.16,5.64,True
74,574.30,20.47,5.73,True
75,582.64,20.68,5.78,True
76,582.51,20.70,5.80,True
77,574.97,20.53,5.72,True
78,592.15,20.85,5.84,True
79,591.38,20.85,5.83,True
80,579.94,20.79,5.80,True
81,568.40,20.50,5.73,True
82,583.69,20.76,5.80,True
83,583.15,20.70,5.79,True
84,577.20,20.60,5.76,True
85,582.56,20.76,5.81,True
86,582.62,20.92,5.87,True
87,578.72,20.94,5.86,True
88,591.30,21.33,5.99,True
89,584.74,21.28,5.98,True
90,605.99,21.68,6.12,True
91,589.65,21.57,6.09,True
92,603.97,21.85,6.16,True
93,602.82,21.82,6.16,True
94,606.19,22.04,6.24,True
95,590.94,21.76,6.14,True
96,604.60,22.18,6.26,True
