frame,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,560.76,14.37,3.56,False,False,True
1,558.65,14.33,3.56,False,False,True
2,553.70,14.29,3.55,False,False,True
3,557.92,14.33,3.56,False,False,True
4,556.59,14.28,3.55,False,False,True
5,552.00,14.27,3.54,False,False,True
6,562.53,14.30,3.56,False,False,True
7,556.67,14.27,3.55,False,False,True
8,544.52,14.27,3.54,False,False,True
9,532.75,14.25,3.53,True,False,True
10,545.82,14.41,3.55,False,False,True
11,546.53,14.58,3.57,False,False,True
12,542.82,14.67,3.59,False,False,True
13,547.66,14.81,3.61,False,False,True
14,546.07,14.77,3.61,False,False,True
15,541.35,14.75,3.60,False,False,True
16,551.78,14.82,3.62,False,False,True
17,546.49,14.81,3.62,False,False,True
18,561.87,14.61,3.61,False,False,True
19,548.25,14.56,3.59,False,False,True
20,560.45,14.61,3.60,False,False,True
21,559.83,14.63,3.61,False,False,True
22,560.95,14.67,3.63,False,False,True
23,546.88,14.62,3.61,False,False,True
24,559.37,14.68,3.62,False,False,True
25,559.13,14.68,3.62,False,False,True
26,554.43,14.66,3.62,False,False,True
27,559.05,14.76,3.63,False,False,True
28,559.10,14.80,3.64,False,False,True
29,554.31,15.05,3.57,False,False,True
30,564.56,15.39,3.60,False,False,True
31,558.26,15.63,3.58,False,False,True
32,546.89,15.99,3.61,False,False,True
33,535.00,16.17,3.61,True,False,True
34,547.32,16.52,3.72,False,False,True
35,546.01,16.42,3.70,False,False,True
36,542.54,16.03,3.73,False,False,True
37,545.48,16.09,3.79,False,False,True
38,544.26,16.04,3.85,False,False,True
39,538.81,15.79,3.87,False,False,True
40,548.00,15.66,3.84,False,False,True
41,541.75,15.48,3.84,False,False,True
42,556.44,15.60,3.88,False,False,True
43,543.37,15.37,3.87,False,False,True
44,555.73,15.45,3.87,False,False,True
45,555.12,16.48,4.13,False,False,True
46,552.62,17.87,4.53,False,False,True
47,538.77,17.81,4.52,False,False,True
48,551.51,18.01,4.56,False,False,True
49,552.00,18.09,4.59,False,False,True
50,548.12,18.14,4.61,False,False,True
51,553.12,18.65,4.75,False,False,True
52,553.02,19.25,4.95,False,False,True
53,549.34,19.67,5.09,False,False,True
54,556.79,19.75,5.25,False,False,True
55,551.95,20.08,5.34,False,False,True
56,541.20,20.26,5.40,False,False,True
57,531.00,20.19,5.40,True,False,True
58,544.14,20.39,5.49,False,False,True
59,544.70,20.34,5.50,False,False,True
60,540.69,20.27,5.49,False,False,True
61,547.96,20.62,5.63,False,False,True
62,547.85,20.53,5.63,False,False,True
63,545.22,20.39,5.59,False,False,True
64,557.51,20.71,5.71,False,False,True
65,557.28,20.61,5.72,False,False,True
66,573.45,20.80,5.78,False,False,True
67,559.33,20.34,5.65,False,False,True
68,570.74,20.34,5.64,False,False,True
69,568.56,20.14,5.59,False,False,True
70,571.61,20.38,5.65,False,False,True
71,559.13,20.18,5.60,False,False,True
72,572.77,20.07,5.62,False,False,True
73,571.05,20.16,5.64,False,False,True
74,574.30,20.47,5.73,False,False,True
75,582.64,20.68,5.78,False,False,True
76,582.51,20.70,5.80,False,False,True
77,574.97,20.53,5.72,False,False,True
78,592.15,20.85,5.84,False,False,True
79,591.38,20.85,5.83,False,False,True
80,579.94,20.79,5.80,False,False,True
81,568.40,20.50,5.73,False,False,True
82,583.69,20.76,5.80,False,False,True
83,583.15,20.70,5.79,False,False,True
84,577.20,20.60,5.76,False,False,True
85,582.56,20.76,5.81,False,False,True
86,582.62,20.92,5.87,False,False,True
87,578.72,20.94,5.86,False,False,True
88,591.30,21.33,5.99,False,False,True
89,584.74,21.28,5.98,False,False,True
90,605.99,21.68,6.12,False,False,True
91,589.65,21.57,6.09,False,False,True
92,603.97,21.85,6.16,False,False,True
93,602.82,21.82,6.16,False,False,True
94,606.19,22.04,6.24,False,False,True
95,590.94,21.76,6.14,False,False,True
96,604.60,22.18,6.26,False,False,True
97,665.59,24.10,6.84,False,False,True
98,608.99,22.03,6.21,False,False,True
99,609.08,22.13,6.25,False,False,True
100,605.56,22.00,6.20,False,False,True
101,601.37,21.78,6.12,False,False,True
102,621.98,23.05,6.48,False,False,True
103,609.78,22.00,6.17,False,False,True
104,596.73,21.82,6.10,False,False,True
105,581.34,21.52,6.02,False,False,True
106,596.11,21.80,6.10,False,False,True
107,631.31,22.80,6.44,False,False,True
108,586.06,21.76,6.15,False,False,True
109,589.66,21.89,6.17,False,False,True
110,588.63,21.88,6.16,False,False,True
111,582.97,21.71,6.08,False,False,True
112,655.78,23.44,6.65,False,False,True
113,597.83,22.22,6.24,False,False,True
114,611.62,22.14,6.21,False,False,True
115,607.82,22.42,6.34,False,False,True
116,604.31,22.71,6.36,False,False,True
117,603.46,22.69,6.48,False,False,True
118,570.07,21.77,6.13,False,False,True
