processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,573.88,14.88,4.70,True,True,True
1,1,1.jpg,582.70,15.04,4.72,True,True,True
2,2,2.jpg,582.97,15.05,4.72,True,True,True
3,3,3.jpg,587.43,15.19,4.72,True,True,True
4,4,4.jpg,584.39,15.06,4.71,True,True,True
5,5,5.jpg,588.50,15.08,4.71,True,True,True
6,6,6.jpg,587.65,15.10,4.71,True,True,True
7,7,7.jpg,586.48,15.03,4.70,True,True,True
8,8,8.jpg,587.91,15.05,4.71,True,True,True
9,9,9.jpg,587.53,15.15,4.72,True,True,True
10,10,10.jpg,584.79,15.06,4.72,True,True,True
11,11,11.jpg,590.07,15.05,4.71,True,True,True
12,12,12.jpg,588.20,15.19,4.76,True,True,True
13,13,13.jpg,587.75,15.16,4.77,True,True,True
14,14,14.jpg,584.07,15.16,4.77,True,True,True
15,15,15.jpg,588.68,15.33,4.77,True,True,True
16,16,16.jpg,587.55,15.20,4.76,True,True,True
17,17,17.jpg,588.46,15.21,4.74,True,True,True
18,18,18.jpg,587.88,15.27,4.79,True,True,True
19,19,19.jpg,588.03,15.19,4.78,True,True,True
20,20,20.jpg,585.92,15.20,4.77,True,True,True
21,21,21.jpg,591.49,15.33,4.79,True,True,True
22,22,22.jpg,588.88,15.22,4.78,True,True,True
23,23,23.jpg,586.64,15.16,4.78,True,True,True
24,24,24.jpg,583.47,15.23,4.77,True,True,True
25,25,25.jpg,587.47,15.15,4.76,True,True,True
26,26,26.jpg,586.60,15.16,4.75,True,True,True
27,27,27.jpg,586.04,15.19,4.76,True,True,True
28,28,28.jpg,586.04,15.17,4.74,True,True,True
29,29,29.jpg,585.16,15.09,4.70,True,True,True
30,30,30.jpg,583.79,15.15,4.70,True,True,True
31,31,31.jpg,588.75,15.11,4.72,True,True,True
32,32,32.jpg,586.77,15.12,4.71,True,True,True
33,33,33.jpg,587.20,15.21,4.72,True,True,True
34,34,34.jpg,584.60,15.13,4.72,True,True,True
35,35,35.jpg,588.44,15.13,4.73,True,True,True
36,36,36.jpg,585.86,15.13,4.74,True,True,True
37,37,37.jpg,590.30,16.21,5.16,False,False,True
38,38,38.jpg,594.18,17.30,5.71,False,False,True
39,39,39.jpg,603.66,18.41,6.01,False,False,True
40,40,40.jpg,599.59,18.66,6.13,False,False,True
41,41,41.jpg,607.38,18.60,6.11,False,False,True
42,42,42.jpg,605.18,18.52,6.09,False,False,True
43,43,43.jpg,612.62,18.57,6.12,False,False,True
44,44,44.jpg,611.72,18.61,6.12,False,False,True
45,45,45.jpg,616.70,18.60,6.11,False,False,True
46,46,46.jpg,617.64,18.62,6.10,False,False,True
47,47,47.jpg,616.56,18.60,6.11,False,False,True
48,48,48.jpg,616.73,18.66,6.12,False,False,True
49,49,49.jpg,615.68,18.63,6.13,False,False,True
50,50,50.jpg,613.46,18.57,6.08,False,False,True
51,51,51.jpg,619.65,18.62,6.10,False,False,True
52,52,52.jpg,616.25,18.58,6.09,False,False,True
53,53,53.jpg,611.68,18.55,6.09,False,False,True
54,54,54.jpg,609.70,18.52,6.07,False,False,True
55,55,55.jpg,612.27,18.55,6.09,False,False,True
56,56,56.jpg,611.11,18.54,6.07,False,False,True
57,57,57.jpg,610.41,18.57,6.06,False,False,True
58,58,58.jpg,609.99,18.56,6.07,False,False,True
59,59,59.jpg,611.20,18.61,6.10,False,False,True
60,60,60.jpg,608.47,18.57,6.13,False,False,True
