processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,632.49,22.68,6.94,False,False,True
1,1,1.jpg,640.50,23.50,7.08,False,False,True
2,2,2.jpg,663.23,25.31,7.41,False,False,True
3,3,3.jpg,672.92,25.43,7.44,False,False,True
4,4,4.jpg,552.68,11.47,4.10,True,True,True
5,5,5.jpg,561.53,11.64,4.11,True,False,True
6,6,6.jpg,564.16,11.86,4.12,False,False,True
7,7,7.jpg,562.58,11.68,4.11,True,False,True
8,8,8.jpg,562.60,11.68,4.11,True,False,True
9,9,9.jpg,571.47,14.31,4.81,False,False,True
10,10,10.jpg,579.67,14.97,5.26,False,False,True
11,11,11.jpg,590.52,15.08,5.27,False,False,True
12,12,12.jpg,590.09,15.32,5.28,False,False,True
13,13,13.jpg,592.24,15.16,5.28,False,False,True
14,14,14.jpg,558.43,12.40,4.23,True,False,True
15,15,15.jpg,564.79,11.72,4.13,False,False,True
16,16,16.jpg,564.48,11.61,4.13,False,False,True
17,17,17.jpg,563.75,11.59,4.14,False,False,True
18,18,18.jpg,564.02,11.81,4.15,False,False,True
19,19,19.jpg,563.81,11.61,4.14,False,False,True
20,20,20.jpg,561.49,11.59,4.13,True,False,True
21,21,21.jpg,567.90,11.80,4.15,False,False,True
22,22,22.jpg,560.63,12.16,4.16,True,False,True
23,23,23.jpg,593.51,14.79,5.17,False,False,True
24,24,24.jpg,590.41,14.84,5.15,False,False,True
25,25,25.jpg,595.71,14.76,5.15,False,False,True
26,26,26.jpg,593.93,14.68,5.12,False,False,True
27,27,27.jpg,572.03,14.34,5.04,False,False,True
28,28,28.jpg,564.78,11.48,4.09,False,False,True
29,29,29.jpg,564.75,11.46,4.09,True,False,True
30,30,30.jpg,562.99,11.71,4.09,False,False,True
31,31,31.jpg,569.20,11.53,4.10,False,False,True
32,32,32.jpg,565.56,11.51,4.09,False,False,True
33,33,33.jpg,562.14,11.68,4.09,True,False,True
34,34,34.jpg,558.86,11.46,4.07,True,False,True
35,35,35.jpg,597.37,15.02,5.41,False,False,True
36,36,36.jpg,596.66,15.14,5.38,False,False,True
37,37,37.jpg,582.36,14.16,5.06,False,False,True
38,38,38.jpg,589.26,14.27,5.08,False,False,True
39,39,39.jpg,589.49,14.39,5.08,False,False,True
40,40,40.jpg,587.95,14.28,5.07,False,False,True
41,41,41.jpg,564.90,12.08,4.20,False,False,True
42,42,42.jpg,561.65,11.63,4.08,True,False,True
43,43,43.jpg,565.72,11.47,4.07,False,False,True
44,44,44.jpg,562.64,11.42,4.07,True,False,True
45,45,45.jpg,567.28,11.68,4.07,False,False,True
46,46,46.jpg,566.25,11.49,4.07,False,False,True
47,47,47.jpg,591.73,14.51,5.17,False,False,True
48,48,48.jpg,591.09,14.64,5.15,False,False,True
49,49,49.jpg,590.70,14.50,5.13,False,False,True
50,50,50.jpg,589.10,14.47,5.13,False,False,True
51,51,51.jpg,595.81,14.61,5.13,False,False,True
52,52,52.jpg,582.84,14.27,5.09,False,False,True
53,53,53.jpg,572.62,13.33,4.62,False,False,True
54,54,54.jpg,562.48,11.60,4.08,True,False,True
55,55,55.jpg,565.89,11.45,4.07,True,False,True
56,56,56.jpg,565.44,11.43,4.07,True,False,True
57,57,57.jpg,565.08,11.64,4.08,False,False,True
58,58,58.jpg,563.92,11.38,4.07,True,False,True
59,59,59.jpg,563.66,11.26,4.07,True,False,True
60,60,60.jpg,561.76,11.67,4.12,True,False,True
61,61,61.jpg,568.07,11.41,4.08,True,False,True
62,62,62.jpg,564.90,11.37,4.08,True,False,True
63,63,63.jpg,563.77,11.60,4.08,False,False,True
64,64,64.jpg,560.32,11.37,4.07,True,False,True
65,65,65.jpg,564.24,11.37,4.08,True,False,True
66,66,66.jpg,564.37,11.60,4.08,False,False,True
67,67,67.jpg,562.71,11.38,4.07,True,False,True
68,68,68.jpg,562.60,11.39,4.07,True,False,True
69,69,69.jpg,563.45,11.60,4.08,False,False,True
70,70,70.jpg,560.53,11.38,4.07,True,False,True
71,71,71.jpg,566.20,11.39,4.07,True,False,True
72,72,72.jpg,563.94,11.59,4.07,False,False,True
73,73,73.jpg,563.98,11.43,4.07,True,False,True
74,74,74.jpg,560.23,11.34,4.06,True,False,True
75,75,75.jpg,564.66,11.61,4.06,True,False,True
76,76,76.jpg,563.79,11.41,4.06,True,False,True
77,77,77.jpg,562.68,11.37,4.06,True,False,True
78,78,78.jpg,563.14,11.60,4.06,True,False,True
79,79,79.jpg,563.19,11.41,4.05,True,False,True
80,80,80.jpg,560.56,11.38,4.07,True,False,True
81,81,81.jpg,567.32,11.66,4.08,False,False,True
82,82,82.jpg,563.66,11.44,4.07,True,False,True
83,83,83.jpg,588.38,15.04,5.43,False,False,True
84,84,84.jpg,588.29,15.16,5.43,False,False,True
85,85,85.jpg,591.07,15.06,5.42,False,False,True
86,86,86.jpg,592.30,15.09,5.42,False,False,True
87,87,87.jpg,591.65,15.20,5.42,False,False,True
88,88,88.jpg,593.07,15.12,5.42,False,False,True
89,89,89.jpg,591.48,15.03,5.40,False,False,True
90,90,90.jpg,591.34,15.17,5.41,False,False,True
91,91,91.jpg,560.74,11.29,3.86,True,False,True
92,92,92.jpg,563.56,11.33,4.06,True,False,True
93,93,93.jpg,560.33,11.58,4.06,True,False,True
94,94,94.jpg,557.23,11.35,4.04,True,False,True
95,95,95.jpg,560.87,11.36,4.05,True,False,True
96,96,96.jpg,560.84,11.56,4.06,True,False,True
97,97,97.jpg,559.18,11.33,4.06,True,False,True
98,98,98.jpg,558.92,11.35,4.05,True,False,True
99,99,99.jpg,559.72,11.53,4.05,True,False,True
100,100,100.jpg,557.01,11.34,4.04,True,False,True
101,101,101.jpg,562.50,11.78,4.05,True,False,True
102,102,102.jpg,573.61,15.08,5.31,False,False,True
103,103,103.jpg,600.03,15.63,5.53,False,False,True
104,104,104.jpg,595.23,15.53,5.49,False,False,True
105,105,105.jpg,601.67,15.69,5.49,False,False,True
106,106,106.jpg,598.39,15.58,5.47,False,False,True
107,107,107.jpg,596.05,15.49,5.46,False,False,True
108,108,108.jpg,594.93,15.60,5.44,False,False,True
109,109,109.jpg,594.53,15.46,5.45,False,False,True
110,110,110.jpg,590.70,15.37,5.42,False,False,True
