processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,593.22,26.51,7.44,False,False,True
1,1,1.jpg,592.79,27.00,7.49,False,False,True
2,2,2.jpg,609.82,27.62,7.56,False,False,True
3,3,3.jpg,607.93,27.71,7.54,False,False,True
4,4,4.jpg,611.02,27.70,7.50,False,False,True
5,5,5.jpg,610.98,27.64,7.46,False,False,True
6,6,6.jpg,610.81,27.64,7.44,False,False,True
7,7,7.jpg,610.13,27.49,7.39,False,False,True
8,8,8.jpg,604.70,27.34,7.32,False,False,True
9,9,9.jpg,585.44,25.93,7.12,False,False,True
10,10,10.jpg,578.47,25.86,7.12,False,False,True
11,11,11.jpg,576.60,25.70,7.20,False,False,True
12,12,12.jpg,591.39,25.64,7.29,False,False,True
13,13,13.jpg,573.24,25.20,7.22,False,False,True
14,14,14.jpg,576.94,25.13,7.11,False,False,True
15,15,15.jpg,583.76,24.76,7.00,False,False,True
16,16,16.jpg,570.68,24.35,6.99,False,False,True
17,17,17.jpg,568.97,24.17,6.95,False,False,True
18,18,18.jpg,573.35,23.64,6.83,False,False,True
19,19,19.jpg,564.27,23.24,6.69,False,False,True
20,20,20.jpg,567.24,22.75,6.59,False,False,True
21,21,21.jpg,566.84,22.04,6.48,False,False,True
22,22,22.jpg,555.85,21.39,6.23,False,False,True
23,23,23.jpg,548.14,20.63,6.21,False,False,True
24,24,24.jpg,550.67,20.00,5.99,False,False,True
25,25,25.jpg,546.55,19.71,5.93,False,False,True
26,26,26.jpg,543.00,19.42,5.86,False,False,True
27,27,27.jpg,542.58,19.23,5.77,False,False,True
28,28,28.jpg,542.84,19.54,5.88,False,False,True
29,29,29.jpg,534.04,18.38,5.50,False,False,True
30,30,30.jpg,532.43,16.59,5.18,False,False,True
31,31,31.jpg,528.09,16.70,5.03,False,False,True
32,32,32.jpg,536.56,17.04,5.17,False,False,True
33,33,33.jpg,538.83,16.36,4.82,False,False,True
34,34,34.jpg,544.67,16.11,4.71,False,False,True
35,35,35.jpg,549.00,16.12,4.73,False,False,True
36,36,36.jpg,545.05,15.62,4.72,False,False,True
37,37,37.jpg,539.80,15.37,4.58,False,False,True
38,38,38.jpg,541.60,15.13,4.49,False,False,True
39,39,39.jpg,536.82,14.87,4.40,False,False,True
40,40,40.jpg,540.72,14.09,4.29,False,False,True
41,41,41.jpg,535.16,13.74,4.21,False,False,True
42,42,42.jpg,532.01,13.58,4.23,False,False,True
43,43,43.jpg,520.30,12.12,3.82,False,False,True
44,44,44.jpg,518.40,11.44,3.67,False,False,True
45,45,45.jpg,506.15,11.00,3.57,False,False,True
46,46,46.jpg,492.57,9.91,3.33,False,False,True
47,47,47.jpg,487.36,9.54,3.41,False,False,True
48,48,48.jpg,482.22,9.33,3.32,False,False,True
49,49,49.jpg,475.34,8.03,3.03,False,False,True
50,50,50.jpg,481.24,7.96,3.02,False,False,True
51,51,51.jpg,476.98,8.16,2.92,False,False,True
52,52,52.jpg,472.66,7.65,2.85,True,True,True
53,53,53.jpg,470.17,7.55,2.94,True,True,True
54,54,54.jpg,474.59,8.00,2.77,True,True,True
55,55,55.jpg,472.90,7.34,2.35,True,True,True
56,56,56.jpg,471.62,7.23,2.23,True,True,True
57,57,57.jpg,471.76,7.68,2.25,True,True,True
58,58,58.jpg,471.55,7.17,2.21,True,True,True
59,59,59.jpg,469.39,7.11,2.19,True,True,True
60,60,60.jpg,475.58,7.71,2.24,False,True,True
61,61,61.jpg,471.99,7.14,2.18,True,True,True
62,62,62.jpg,476.03,7.15,2.18,True,True,True
63,63,63.jpg,473.33,7.61,2.20,True,True,True
64,64,64.jpg,476.81,7.15,2.17,True,True,True
65,65,65.jpg,476.15,7.10,2.16,True,True,True
66,66,66.jpg,475.20,7.61,2.19,False,True,True
67,67,67.jpg,475.19,7.12,2.15,True,True,True
68,68,68.jpg,474.87,7.05,2.14,True,True,True
69,69,69.jpg,473.17,7.53,2.17,True,True,True
70,70,70.jpg,478.42,7.05,2.13,True,True,True
71,71,71.jpg,475.77,7.01,2.13,True,True,True
72,72,72.jpg,475.34,7.50,2.15,True,True,True
73,73,73.jpg,471.68,6.98,2.12,True,True,True
74,74,74.jpg,475.23,6.94,2.11,True,True,True
75,75,75.jpg,475.60,7.45,2.15,True,True,True
76,76,76.jpg,474.10,6.97,2.11,True,True,True
77,77,77.jpg,473.73,6.94,2.10,True,True,True
78,78,78.jpg,474.46,7.45,2.14,True,True,True
79,79,79.jpg,471.74,6.97,2.11,True,True,True
80,80,80.jpg,477.67,6.95,2.10,True,True,True
81,81,81.jpg,475.10,7.43,2.13,True,True,True
82,82,82.jpg,473.22,6.97,2.11,True,True,True
83,83,83.jpg,470.24,6.90,2.09,True,True,True
