processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,772.21,34.23,9.83,True,True,True
1,1,1.jpg,670.66,33.05,9.40,True,True,True
2,2,2.jpg,597.66,29.25,7.24,True,True,True
3,3,3.jpg,574.36,30.03,7.40,True,True,True
4,4,4.jpg,873.74,45.12,12.10,True,True,False
5,5,5.jpg,955.14,46.08,12.32,True,True,False
6,6,6.jpg,960.91,46.07,12.32,True,True,False
7,7,7.jpg,970.16,46.19,12.34,True,True,False
8,8,8.jpg,978.77,46.27,12.36,True,False,False
9,9,9.jpg,973.49,46.15,12.32,True,False,False
10,10,10.jpg,972.78,46.09,12.26,True,True,False
11,11,11.jpg,974.82,46.03,12.23,True,False,False
12,12,12.jpg,966.72,45.42,12.10,True,True,False
13,13,13.jpg,944.46,43.83,11.70,True,True,False
14,14,14.jpg,958.66,44.28,11.78,True,True,False
15,15,15.jpg,953.37,43.68,11.63,True,True,False
16,16,16.jpg,971.52,44.85,11.97,True,True,False
17,17,17.jpg,978.77,45.15,12.04,True,True,False
18,18,18.jpg,982.59,45.52,12.17,True,False,False
19,19,19.jpg,988.98,45.91,12.25,True,False,False
20,20,20.jpg,990.04,46.24,12.28,True,False,False
21,21,21.jpg,995.24,45.81,12.18,True,False,False
22,22,22.jpg,997.87,46.08,12.22,True,False,False
23,23,23.jpg,1000.19,46.27,12.26,True,False,False
24,24,24.jpg,989.31,45.50,12.08,True,True,False
25,25,25.jpg,933.32,45.61,12.08,True,True,False
26,26,26.jpg,972.45,46.53,12.49,True,True,False
27,27,27.jpg,1016.88,46.57,12.61,True,False,False
28,28,28.jpg,1009.90,46.64,12.61,True,False,False
29,29,29.jpg,992.98,46.86,12.65,True,False,False
30,30,30.jpg,1007.34,46.87,12.72,True,False,False
31,31,31.jpg,1023.31,47.89,12.97,True,False,False
32,32,32.jpg,1025.21,47.79,12.94,True,False,False
33,33,33.jpg,1022.44,47.66,12.91,True,False,False
34,34,34.jpg,1018.91,47.39,12.85,True,False,False
35,35,35.jpg,1003.93,47.49,12.84,True,False,False
36,36,36.jpg,1020.30,47.58,12.92,True,False,False
37,37,37.jpg,1031.43,47.98,13.00,False,False,False
38,38,38.jpg,1030.58,47.88,12.97,False,False,False
39,39,39.jpg,1030.99,47.82,12.94,False,False,False
40,40,40.jpg,1025.55,47.89,12.97,True,False,False
41,41,41.jpg,1025.55,47.70,12.93,True,False,False
42,42,42.jpg,1020.70,47.32,12.82,True,False,False
43,43,43.jpg,1025.52,47.50,12.87,True,False,False
44,44,44.jpg,1042.14,47.21,12.70,True,False,False
45,45,45.jpg,1034.38,46.75,12.65,True,False,False
46,46,46.jpg,1045.80,47.21,12.78,True,False,False
47,47,47.jpg,1041.82,46.93,12.67,True,False,False
48,48,48.jpg,1056.58,47.91,13.02,False,False,False
49,49,49.jpg,1048.95,47.88,12.91,True,False,False
50,50,50.jpg,1056.27,48.51,13.07,False,False,False
51,51,51.jpg,1056.39,48.45,13.05,False,False,False
52,52,52.jpg,1057.04,48.50,13.06,False,False,False
53,53,53.jpg,1060.65,48.54,13.07,False,False,False
54,54,54.jpg,1057.49,48.52,13.07,False,False,False
55,55,55.jpg,1066.35,48.77,13.14,False,False,False
56,56,56.jpg,1054.00,48.37,13.00,False,False,False
57,57,57.jpg,1058.43,48.39,13.02,False,False,False
58,58,58.jpg,1056.97,48.36,13.01,False,False,False
59,59,59.jpg,1058.08,48.42,13.01,False,False,False
60,60,60.jpg,1058.25,48.70,13.14,False,False,False
61,61,61.jpg,1063.27,48.83,13.18,False,False,False
62,62,62.jpg,1064.84,48.90,13.20,False,False,False
63,63,63.jpg,1062.63,48.94,13.22,False,False,False
64,64,64.jpg,1065.83,49.04,13.24,False,False,False
65,65,65.jpg,1066.24,49.07,13.24,False,False,False
66,66,66.jpg,1056.88,48.61,13.10,False,False,False
67,67,67.jpg,1068.23,48.79,13.13,False,False,False
68,68,68.jpg,1064.42,48.63,13.06,False,False,False
69,69,69.jpg,1056.14,48.50,13.08,False,False,False
70,70,70.jpg,1042.34,48.22,12.96,False,False,False
71,71,71.jpg,1058.05,49.07,13.25,False,False,False
72,72,72.jpg,1075.50,49.39,13.35,False,False,False
73,73,73.jpg,1080.43,49.71,13.39,False,False,False
74,74,74.jpg,1079.95,49.60,13.36,False,False,False
75,75,75.jpg,1079.34,49.68,13.40,False,False,False
76,76,76.jpg,1077.29,49.75,13.39,False,False,False
77,77,77.jpg,1082.08,49.59,13.35,False,False,False
78,78,78.jpg,1082.43,49.81,13.41,False,False,False
79,79,79.jpg,1084.77,49.83,13.43,False,False,False
80,80,80.jpg,1087.24,49.85,13.43,False,False,False
81,81,81.jpg,1088.69,49.99,13.45,False,False,False
82,82,82.jpg,1081.93,49.49,13.30,False,False,False
83,83,83.jpg,1078.59,49.38,13.26,False,False,False
84,84,84.jpg,1061.14,48.73,13.15,False,False,False
85,85,85.jpg,1063.97,49.16,13.23,False,False,False
86,86,86.jpg,1057.48,48.79,13.12,False,False,False
87,87,87.jpg,1077.71,49.25,13.28,False,False,False
88,88,88.jpg,1077.23,49.29,13.26,False,False,False
89,89,89.jpg,1073.35,49.10,13.17,False,False,False
90,90,90.jpg,1072.00,49.17,13.21,False,False,False
91,91,91.jpg,1080.94,49.38,13.26,False,False,False
92,92,92.jpg,1074.86,49.50,13.34,False,False,False
93,93,93.jpg,1073.59,49.14,13.33,False,False,False
94,94,94.jpg,1064.05,48.64,13.16,False,False,False
95,95,95.jpg,1069.44,49.02,13.25,False,False,False
96,96,96.jpg,1079.42,49.15,13.35,False,False,False
97,97,97.jpg,1078.22,49.02,13.19,False,False,False
98,98,98.jpg,1088.08,49.61,13.37,False,False,False
99,99,99.jpg,1095.39,49.77,13.43,False,False,False
100,100,100.jpg,1102.12,50.21,13.54,False,False,False
101,101,101.jpg,1094.98,50.70,13.65,False,False,False
102,102,102.jpg,1105.48,50.35,13.61,False,False,False
103,103,103.jpg,1094.99,50.65,13.60,False,False,False
104,104,104.jpg,1090.47,49.96,13.40,False,False,False
105,105,105.jpg,1101.20,50.36,13.56,False,False,False
106,106,106.jpg,1100.18,50.69,13.78,False,False,False
107,107,107.jpg,1136.53,52.93,14.33,False,False,False
108,108,108.jpg,1148.70,53.73,14.53,False,False,False
109,109,109.jpg,1143.09,53.13,14.34,False,False,False
110,110,110.jpg,1125.46,52.16,14.14,False,False,False
111,111,111.jpg,1129.53,52.22,14.17,False,False,False
112,112,112.jpg,1133.07,52.22,14.17,False,False,False
113,113,113.jpg,1130.88,52.09,14.09,False,False,False
114,114,114.jpg,1121.70,51.70,14.00,False,False,False
115,115,115.jpg,1122.92,51.77,13.99,False,False,False
116,116,116.jpg,1121.05,51.93,14.00,False,False,False
117,117,117.jpg,1125.08,51.43,13.87,False,False,False
118,118,118.jpg,1090.48,49.18,13.20,False,False,False
119,119,119.jpg,1102.39,50.21,13.57,False,False,False
120,120,120.jpg,1098.94,50.27,13.58,False,False,False
121,121,121.jpg,1103.58,50.47,13.62,False,False,False
122,122,122.jpg,1105.69,50.52,13.58,False,False,False
123,123,123.jpg,1104.73,50.35,13.56,False,False,False
124,124,124.jpg,1107.65,50.67,13.64,False,False,False
125,125,125.jpg,1105.53,50.30,13.52,False,False,False
126,126,126.jpg,1102.53,50.28,13.52,False,False,False
127,127,127.jpg,1108.03,50.24,13.50,False,False,False
128,128,128.jpg,1110.63,50.53,13.57,False,False,False
129,129,129.jpg,1105.44,50.37,13.52,False,False,False
130,130,130.jpg,1106.73,50.47,13.55,False,False,False
131,131,131.jpg,1113.32,50.48,13.53,False,False,False
132,132,132.jpg,1109.30,50.39,13.51,False,False,False
133,133,133.jpg,1114.22,50.54,13.54,False,False,False
134,134,134.jpg,1113.06,50.70,13.54,False,False,False
