processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,527.35,11.16,2.58,True,True,True
1,1,1.jpg,507.95,14.87,3.98,False,True,True
2,2,2.jpg,595.55,17.87,4.86,False,False,True
3,3,3.jpg,542.97,15.67,3.65,False,False,True
4,4,4.jpg,677.64,17.69,3.87,False,False,True
5,5,5.jpg,716.96,17.95,3.88,False,False,True
6,6,6.jpg,710.86,18.46,3.90,False,False,True
7,7,7.jpg,709.14,17.90,3.87,False,False,True
8,8,8.jpg,707.32,17.87,3.86,False,False,True
9,9,9.jpg,617.94,17.42,3.83,False,False,True
10,10,10.jpg,509.99,13.98,3.47,False,True,True
11,11,11.jpg,497.59,12.34,3.24,True,True,True
12,12,12.jpg,492.47,12.09,3.15,True,True,True
13,13,13.jpg,495.05,11.53,3.09,True,True,True
14,14,14.jpg,495.30,11.58,3.09,True,True,True
15,15,15.jpg,494.51,12.03,3.10,True,True,True
16,16,16.jpg,493.86,11.49,3.06,True,True,True
17,17,17.jpg,496.92,12.44,3.26,True,True,True
18,18,18.jpg,512.84,14.71,3.54,False,False,True
19,19,19.jpg,712.56,17.85,3.89,False,False,True
20,20,20.jpg,714.32,17.92,3.87,False,False,True
21,21,21.jpg,712.34,18.33,3.90,False,False,True
22,22,22.jpg,711.64,17.96,3.88,False,False,True
23,23,23.jpg,717.26,18.06,3.89,False,False,True
24,24,24.jpg,713.18,18.50,3.91,False,False,True
25,25,25.jpg,712.36,17.96,3.88,False,False,True
26,26,26.jpg,712.51,17.94,3.87,False,False,True
