processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,539.65,11.99,2.70,True,True,True
1,1,1.jpg,512.32,8.34,2.18,True,True,True
2,2,2.jpg,524.07,11.34,2.85,True,True,True
3,3,3.jpg,517.63,9.81,2.40,True,True,True
4,4,4.jpg,558.15,13.70,2.96,False,False,True
5,5,5.jpg,556.77,13.69,2.95,False,False,True
6,6,6.jpg,552.22,13.61,2.94,True,False,True
7,7,7.jpg,556.43,13.67,2.95,False,False,True
8,8,8.jpg,558.30,13.74,2.96,False,False,True
9,9,9.jpg,554.92,13.64,2.94,True,False,True
10,10,10.jpg,546.95,13.57,2.93,True,False,True
11,11,11.jpg,539.45,13.00,2.89,True,False,True
12,12,12.jpg,546.38,13.88,3.02,False,False,True
13,13,13.jpg,539.04,13.33,2.91,True,False,True
14,14,14.jpg,531.38,13.00,2.85,True,False,True
15,15,15.jpg,536.94,13.11,2.90,True,False,True
16,16,16.jpg,529.01,13.35,2.94,True,False,True
17,17,17.jpg,535.50,13.84,3.03,False,False,True
18,18,18.jpg,542.85,14.30,3.18,False,False,True
19,19,19.jpg,537.68,14.89,3.31,False,False,True
20,20,20.jpg,540.63,15.21,3.39,False,False,True
21,21,21.jpg,551.36,15.53,3.49,False,False,True
22,22,22.jpg,540.11,15.46,3.47,False,False,True
23,23,23.jpg,543.56,15.37,3.45,False,False,True
24,24,24.jpg,549.60,15.52,3.51,False,False,True
25,25,25.jpg,545.50,15.58,3.47,False,False,True
26,26,26.jpg,542.97,15.66,3.48,False,False,True
27,27,27.jpg,549.19,15.39,3.46,False,False,True
28,28,28.jpg,542.80,15.36,3.42,False,False,True
29,29,29.jpg,534.38,14.86,3.36,False,False,True
30,30,30.jpg,539.92,14.63,3.34,False,False,True
31,31,31.jpg,533.57,14.55,3.30,False,False,True
32,32,32.jpg,529.77,14.36,3.27,True,False,True
33,33,33.jpg,540.01,13.99,3.26,False,False,True
34,34,34.jpg,531.69,13.82,3.21,True,False,True
35,35,35.jpg,533.25,13.62,3.15,False,False,True
36,36,36.jpg,534.57,13.37,3.13,False,False,True
37,37,37.jpg,532.94,13.29,3.09,True,False,True
38,38,38.jpg,532.57,13.36,3.07,True,False,True
39,39,39.jpg,536.59,13.37,3.08,False,False,True
40,40,40.jpg,533.87,13.39,3.06,False,False,True
41,41,41.jpg,536.40,13.52,3.07,False,False,True
42,42,42.jpg,537.26,13.66,3.09,False,False,True
43,43,43.jpg,539.57,13.67,3.08,False,False,True
44,44,44.jpg,536.48,13.70,3.10,False,False,True
45,45,45.jpg,536.01,13.62,3.10,False,False,True
46,46,46.jpg,530.30,13.55,3.08,True,False,True
47,47,47.jpg,534.18,13.60,3.08,False,False,True
48,48,48.jpg,536.21,13.57,3.10,False,False,True
49,49,49.jpg,533.00,13.63,3.11,False,False,True
50,50,50.jpg,532.63,13.65,3.10,False,False,True
51,51,51.jpg,533.38,13.32,3.08,False,False,True
52,52,52.jpg,528.49,13.34,3.07,True,True,True
53,53,53.jpg,531.48,13.28,3.04,True,False,True
54,54,54.jpg,532.01,13.18,3.02,True,False,True
55,55,55.jpg,531.36,13.06,2.99,True,False,True
56,56,56.jpg,529.27,12.97,2.98,True,False,True
57,57,57.jpg,533.03,12.52,2.90,True,False,True
58,58,58.jpg,532.72,12.59,2.88,True,False,True
59,59,59.jpg,531.02,12.56,2.87,True,False,True
