processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,821.42,50.21,12.50,False,False,False
1,1,1.jpg,777.24,49.97,12.31,False,False,False
2,2,2.jpg,775.94,49.42,12.24,False,False,False
3,3,3.jpg,774.86,49.99,12.35,False,False,False
4,4,4.jpg,762.51,51.69,13.07,False,False,False
5,5,5.jpg,736.65,51.04,13.21,False,False,False
6,6,6.jpg,792.92,52.61,13.63,False,False,False
7,7,7.jpg,719.49,48.17,12.54,False,False,False
8,8,8.jpg,699.57,46.84,11.99,False,False,False
9,9,9.jpg,676.45,44.72,11.75,True,False,False
10,10,10.jpg,691.71,47.85,12.69,False,False,False
11,11,11.jpg,657.91,46.16,12.34,False,False,False
12,12,12.jpg,737.06,50.53,13.29,False,False,False
13,13,13.jpg,648.65,44.11,11.92,True,False,False
14,14,14.jpg,655.67,45.55,12.31,False,False,False
15,15,15.jpg,626.71,42.74,11.81,True,False,False
16,16,16.jpg,641.20,46.27,12.51,True,False,False
17,17,17.jpg,697.94,49.89,13.06,False,False,False
18,18,18.jpg,800.52,55.86,14.45,False,False,False
19,19,19.jpg,763.72,54.92,14.54,False,False,False
20,20,20.jpg,741.50,54.70,14.23,False,False,False
21,21,21.jpg,665.27,46.13,12.48,False,False,False
22,22,22.jpg,592.11,42.80,11.50,True,False,False
23,23,23.jpg,637.17,51.34,13.49,True,False,False
24,24,24.jpg,885.22,60.62,14.50,False,False,False
25,25,25.jpg,1056.94,64.80,15.01,False,False,False
26,26,26.jpg,1049.24,63.08,14.86,False,False,False
27,27,27.jpg,1234.43,63.77,14.90,False,False,False
28,28,28.jpg,1056.81,63.47,14.80,False,False,False
29,29,29.jpg,1027.40,62.84,14.74,False,False,False
30,30,30.jpg,1232.42,64.17,15.05,False,False,False
31,31,31.jpg,573.68,25.38,7.07,True,True,True
32,32,32.jpg,551.86,24.38,6.74,True,True,True
33,33,33.jpg,543.68,22.01,6.03,True,True,True
34,34,34.jpg,542.58,19.28,4.88,True,True,True
35,35,35.jpg,541.84,19.11,4.60,True,True,True
36,36,36.jpg,545.85,18.15,4.08,True,True,True
