processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,831.04,50.32,9.22,False,False,True
1,1,1.jpg,846.88,51.08,9.33,False,False,True
2,2,2.jpg,862.77,51.69,9.38,False,False,True
3,3,3.jpg,530.03,21.72,5.69,True,True,True
4,4,4.jpg,545.32,22.05,5.95,True,True,True
5,5,5.jpg,645.96,38.36,7.58,True,True,True
6,6,6.jpg,859.59,51.54,9.37,False,False,True
7,7,7.jpg,843.64,50.67,9.25,False,False,True
8,8,8.jpg,847.69,50.95,9.29,False,False,True
9,9,9.jpg,853.65,51.00,9.27,False,False,True
10,10,10.jpg,858.29,51.21,9.43,False,False,True
11,11,11.jpg,842.92,49.90,9.25,False,False,True
12,12,12.jpg,779.24,45.53,8.42,False,False,True
13,13,13.jpg,747.93,42.66,8.37,False,False,True
14,14,14.jpg,760.13,45.39,8.56,False,False,True
15,15,15.jpg,769.96,45.33,8.36,False,False,True
16,16,16.jpg,769.31,45.80,8.49,False,False,True
17,17,17.jpg,793.65,47.42,8.74,False,False,True
18,18,18.jpg,802.61,48.19,8.88,False,False,True
19,19,19.jpg,808.14,48.35,8.91,False,False,True
20,20,20.jpg,806.87,48.29,8.91,False,False,True
21,21,21.jpg,808.41,48.28,8.90,False,False,True
22,22,22.jpg,812.05,48.39,8.91,False,False,True
23,23,23.jpg,802.67,48.13,8.86,False,False,True
24,24,24.jpg,797.55,47.78,8.81,False,False,True
25,25,25.jpg,801.86,47.39,8.74,False,False,True
26,26,26.jpg,789.00,45.05,8.53,False,False,True
27,27,27.jpg,667.05,33.91,6.93,True,True,True
28,28,28.jpg,528.68,21.28,4.88,True,True,True
29,29,29.jpg,575.58,32.55,6.87,True,True,True
30,30,30.jpg,777.31,46.73,8.66,False,False,True
31,31,31.jpg,823.45,49.21,9.00,False,False,True
32,32,32.jpg,829.94,49.76,9.09,False,False,True
33,33,33.jpg,841.30,50.03,9.12,False,False,True
34,34,34.jpg,840.23,50.10,9.13,False,False,True
35,35,35.jpg,844.28,49.95,9.11,False,False,True
36,36,36.jpg,836.20,49.86,9.09,False,False,True
37,37,37.jpg,699.65,37.49,7.31,True,False,True
38,38,38.jpg,596.84,29.97,6.49,True,True,True
39,39,39.jpg,681.95,34.34,6.85,True,True,True
40,40,40.jpg,669.05,42.40,8.03,True,False,True
41,41,41.jpg,538.22,22.73,5.15,True,True,True
42,42,42.jpg,812.65,47.36,8.55,False,False,True
43,43,43.jpg,563.73,32.90,6.71,True,True,True
44,44,44.jpg,580.45,34.49,6.95,True,True,True
45,45,45.jpg,632.46,36.14,7.05,True,True,True
46,46,46.jpg,612.20,32.74,6.91,True,True,True
47,47,47.jpg,674.31,40.49,7.95,True,False,True
