processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,503.60,10.80,3.06,True,True,True
1,1,1.jpg,528.43,14.05,4.29,False,False,True
2,2,2.jpg,525.92,14.14,4.37,False,False,True
3,3,3.jpg,545.07,14.18,4.37,False,False,True
4,4,4.jpg,505.46,7.17,1.97,True,True,True
5,5,5.jpg,506.60,8.36,2.18,True,True,True
6,6,6.jpg,516.76,9.05,2.22,True,True,True
7,7,7.jpg,509.42,8.64,2.19,True,True,True
8,8,8.jpg,517.59,8.64,2.19,True,True,True
9,9,9.jpg,517.49,9.09,2.22,True,True,True
10,10,10.jpg,513.09,8.66,2.20,True,True,True
11,11,11.jpg,514.21,8.46,2.17,True,True,True
12,12,12.jpg,513.20,8.96,2.29,True,True,True
13,13,13.jpg,509.27,8.89,2.35,True,True,True
14,14,14.jpg,519.03,8.98,2.38,True,False,True
15,15,15.jpg,516.62,9.21,2.39,False,False,True
16,16,16.jpg,515.63,9.00,2.36,True,False,True
17,17,17.jpg,508.76,8.93,2.36,True,True,True
18,18,18.jpg,516.50,9.28,2.37,False,False,True
19,19,19.jpg,516.39,9.08,2.37,True,False,True
20,20,20.jpg,513.58,9.03,2.36,True,False,True
21,21,21.jpg,514.84,9.46,2.39,False,False,True
22,22,22.jpg,513.78,8.90,2.32,True,True,True
23,23,23.jpg,508.58,8.54,2.26,True,True,True
24,24,24.jpg,518.72,8.68,2.24,True,True,True
25,25,25.jpg,519.62,12.39,3.38,False,False,True
26,26,26.jpg,517.63,12.39,3.37,False,False,True
27,27,27.jpg,519.26,13.74,3.70,False,False,True
28,28,28.jpg,510.79,9.26,2.35,True,False,True
29,29,29.jpg,509.84,9.24,2.34,True,False,True
30,30,30.jpg,511.07,9.76,2.37,False,False,True
31,31,31.jpg,510.90,9.41,2.35,True,False,True
32,32,32.jpg,511.57,9.38,2.35,False,False,True
33,33,33.jpg,506.05,9.42,2.32,True,True,True
34,34,34.jpg,523.57,10.40,2.78,False,False,True
35,35,35.jpg,521.51,12.23,3.24,False,False,True
36,36,36.jpg,519.66,11.54,3.15,False,False,True
37,37,37.jpg,505.74,9.95,2.55,True,True,True
38,38,38.jpg,511.61,9.30,2.34,False,False,True
39,39,39.jpg,513.41,9.63,2.35,False,False,True
40,40,40.jpg,511.31,9.59,2.37,False,False,True
41,41,41.jpg,511.19,9.24,2.33,False,False,True
42,42,42.jpg,510.74,8.95,2.26,True,True,True
43,43,43.jpg,505.64,8.75,2.23,True,True,True
44,44,44.jpg,516.78,8.80,2.24,True,True,True
45,45,45.jpg,512.67,9.35,2.27,True,True,True
46,46,46.jpg,511.68,9.00,2.25,True,True,True
47,47,47.jpg,504.31,8.92,2.23,True,True,True
48,48,48.jpg,512.74,9.40,2.26,True,True,True
