processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,512.94,11.81,2.85,True,True,True
1,1,1.jpg,524.09,11.40,2.75,True,False,True
2,2,2.jpg,523.78,11.36,2.74,True,False,True
3,3,3.jpg,521.64,11.72,2.76,True,False,True
4,4,4.jpg,521.50,11.37,2.74,True,False,True
5,5,5.jpg,522.42,11.08,2.70,True,False,True
6,6,6.jpg,517.63,11.56,2.74,True,False,True
7,7,7.jpg,522.75,9.13,2.25,True,True,True
8,8,8.jpg,513.71,9.26,2.46,True,True,True
9,9,9.jpg,538.14,12.11,3.01,False,False,True
10,10,10.jpg,530.57,12.09,3.02,False,False,True
11,11,11.jpg,539.20,12.21,3.05,False,False,True
12,12,12.jpg,539.86,12.57,3.07,False,False,True
13,13,13.jpg,536.31,12.24,3.07,False,False,True
14,14,14.jpg,551.11,14.36,3.59,False,False,True
15,15,15.jpg,552.27,14.34,3.57,False,False,True
16,16,16.jpg,533.50,13.30,3.34,False,False,True
17,17,17.jpg,564.16,14.89,3.65,False,False,True
18,18,18.jpg,574.54,15.36,3.74,False,False,True
19,19,19.jpg,563.35,15.31,3.72,False,False,True
20,20,20.jpg,544.73,13.88,3.46,False,False,True
21,21,21.jpg,542.54,12.90,3.26,False,False,True
22,22,22.jpg,527.01,12.03,3.14,False,False,True
23,23,23.jpg,522.94,11.70,3.02,True,False,True
24,24,24.jpg,524.50,12.08,3.03,False,False,True
25,25,25.jpg,524.61,11.74,3.02,False,False,True
26,26,26.jpg,520.49,11.70,3.01,True,False,True
27,27,27.jpg,531.11,11.97,3.03,False,False,True
28,28,28.jpg,525.89,11.68,3.01,True,False,True
29,29,29.jpg,534.21,11.83,3.04,False,False,True
30,30,30.jpg,525.09,10.01,2.51,True,True,True
31,31,31.jpg,532.77,10.95,2.79,True,False,True
32,32,32.jpg,531.60,11.76,3.01,False,False,True
33,33,33.jpg,529.32,12.65,3.33,False,False,True
34,34,34.jpg,543.57,15.90,4.41,False,False,True
35,35,35.jpg,588.85,19.37,5.01,False,False,True
36,36,36.jpg,593.60,20.10,5.17,False,False,True
