processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,617.14,21.09,6.25,False,False,True
1,1,1.jpg,582.34,20.12,5.72,False,False,True
2,2,2.jpg,600.63,20.14,5.81,False,False,True
3,3,3.jpg,582.46,19.32,5.75,False,False,True
4,4,4.jpg,626.70,21.90,6.43,False,False,True
5,5,5.jpg,634.71,22.02,6.45,False,False,True
6,6,6.jpg,645.21,22.39,6.57,False,False,True
7,7,7.jpg,579.48,17.23,4.94,False,False,True
8,8,8.jpg,619.16,20.87,6.03,False,False,True
9,9,9.jpg,623.02,20.95,6.07,False,False,True
10,10,10.jpg,625.11,21.56,6.22,False,False,True
11,11,11.jpg,606.88,19.87,5.66,False,False,True
12,12,12.jpg,584.81,15.37,4.10,False,False,True
13,13,13.jpg,569.47,14.33,3.36,False,False,True
14,14,14.jpg,569.36,13.69,3.09,True,True,True
15,15,15.jpg,563.44,14.01,3.15,True,True,True
16,16,16.jpg,570.52,13.81,3.14,True,True,True
17,17,17.jpg,570.31,13.80,3.18,True,True,True
18,18,18.jpg,567.82,14.13,3.20,True,True,True
19,19,19.jpg,568.35,14.55,3.32,True,False,True
20,20,20.jpg,595.23,20.38,5.91,False,False,True
21,21,21.jpg,611.05,22.61,6.82,False,False,True
22,22,22.jpg,597.45,20.53,6.19,False,False,True
23,23,23.jpg,563.08,13.64,3.78,True,False,True
24,24,24.jpg,569.58,14.92,4.54,False,False,True
25,25,25.jpg,556.88,15.82,4.53,True,False,True
26,26,26.jpg,576.94,14.44,4.32,False,False,True
27,27,27.jpg,585.57,15.23,4.53,False,False,True
28,28,28.jpg,573.33,14.60,4.28,False,False,True
29,29,29.jpg,566.84,14.65,4.40,False,False,True
30,30,30.jpg,570.59,14.38,4.20,False,False,True
31,31,31.jpg,576.16,14.35,4.32,False,False,True
32,32,32.jpg,588.46,14.50,4.33,False,False,True
33,33,33.jpg,584.43,14.91,4.30,False,False,True
34,34,34.jpg,585.21,14.56,4.20,False,False,True
35,35,35.jpg,573.87,14.31,4.20,False,False,True
36,36,36.jpg,565.78,14.67,4.41,False,False,True
37,37,37.jpg,592.92,14.14,4.52,False,False,True
38,38,38.jpg,560.79,11.61,3.45,True,True,True
39,39,39.jpg,560.76,10.09,3.03,True,True,True
40,40,40.jpg,555.54,9.02,2.32,True,True,True
41,41,41.jpg,551.16,10.56,2.70,True,True,True
42,42,42.jpg,561.14,11.55,2.81,True,True,True
43,43,43.jpg,554.15,9.84,2.34,True,True,True
44,44,44.jpg,544.63,9.07,2.23,True,True,True
45,45,45.jpg,540.59,9.53,2.19,True,True,True
46,46,46.jpg,546.86,9.20,2.33,True,True,True
47,47,47.jpg,545.96,9.16,2.44,True,True,True
48,48,48.jpg,540.47,8.11,2.12,True,True,True
49,49,49.jpg,551.10,12.39,3.97,True,True,True
50,50,50.jpg,572.51,14.87,4.67,False,False,True
51,51,51.jpg,571.45,14.94,4.51,False,False,True
52,52,52.jpg,569.79,13.54,4.19,True,False,True
53,53,53.jpg,576.27,14.39,4.53,False,False,True
54,54,54.jpg,569.27,15.38,4.68,False,False,True
55,55,55.jpg,586.50,18.85,5.85,False,False,True
56,56,56.jpg,598.30,21.43,7.03,False,False,True
57,57,57.jpg,555.69,15.88,4.45,True,False,True
58,58,58.jpg,578.10,19.65,5.64,False,False,True
59,59,59.jpg,579.85,17.40,4.89,False,False,True
60,60,60.jpg,582.33,19.35,5.30,False,False,True
61,61,61.jpg,597.26,20.83,5.98,False,False,True
62,62,62.jpg,606.79,20.81,6.17,False,False,True
63,63,63.jpg,604.86,20.98,6.13,False,False,True
64,64,64.jpg,613.04,21.29,6.01,False,False,True
65,65,65.jpg,604.80,20.95,5.98,False,False,True
66,66,66.jpg,606.05,19.66,5.40,False,False,True
67,67,67.jpg,573.55,15.91,4.25,False,False,True
68,68,68.jpg,552.14,14.38,3.51,True,True,True
69,69,69.jpg,556.11,13.71,3.13,True,True,True
70,70,70.jpg,555.72,13.42,3.12,True,True,True
71,71,71.jpg,552.05,13.42,3.11,True,True,True
72,72,72.jpg,564.01,13.75,3.16,True,True,True
73,73,73.jpg,557.87,13.46,3.15,True,True,True
74,74,74.jpg,575.70,16.54,4.41,False,False,True
75,75,75.jpg,590.64,20.80,6.16,False,False,True
76,76,76.jpg,579.56,20.07,6.18,False,False,True
77,77,77.jpg,572.37,17.47,5.06,False,False,True
78,78,78.jpg,553.76,14.01,3.96,True,True,True
79,79,79.jpg,559.24,14.99,4.62,True,False,True
80,80,80.jpg,569.30,16.15,5.05,False,False,True
81,81,81.jpg,563.52,14.75,4.45,False,False,True
82,82,82.jpg,563.26,14.14,3.96,False,False,True
83,83,83.jpg,556.56,13.74,3.94,True,False,True
84,84,84.jpg,561.69,13.24,3.96,True,False,True
85,85,85.jpg,565.13,14.60,4.61,False,False,True
86,86,86.jpg,575.03,14.69,4.72,False,False,True
87,87,87.jpg,575.52,15.31,4.75,False,False,True
88,88,88.jpg,572.11,14.82,4.73,False,False,True
89,89,89.jpg,562.42,14.22,4.52,False,False,True
90,90,90.jpg,563.26,13.35,3.80,True,False,True
91,91,91.jpg,548.11,11.73,3.31,True,True,True
92,92,92.jpg,554.81,10.91,3.11,True,True,True
93,93,93.jpg,558.43,10.93,2.90,True,True,True
