processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,593.51,19.36,5.90,True,False,True
1,1,1.jpg,598.47,19.69,5.94,False,False,True
2,2,2.jpg,602.05,19.84,5.96,False,False,True
3,3,3.jpg,597.16,20.01,5.95,False,False,True
4,4,4.jpg,607.79,19.85,5.96,False,False,True
5,5,5.jpg,602.89,19.76,5.94,False,False,True
6,6,6.jpg,599.54,19.88,5.93,False,False,True
7,7,7.jpg,594.14,19.87,6.00,False,False,True
8,8,8.jpg,601.24,19.81,5.98,False,False,True
9,9,9.jpg,600.62,20.00,5.97,False,False,True
10,10,10.jpg,597.68,19.81,5.98,False,False,True
11,11,11.jpg,598.21,19.75,5.95,False,False,True
12,12,12.jpg,597.91,19.84,5.93,False,False,True
13,13,13.jpg,594.76,19.65,5.92,False,False,True
14,14,14.jpg,604.09,19.71,5.93,False,False,True
15,15,15.jpg,599.66,19.85,5.92,False,False,True
16,16,16.jpg,600.51,19.64,5.92,False,False,True
17,17,17.jpg,593.90,19.63,5.91,True,False,True
18,18,18.jpg,601.96,19.91,5.92,False,False,True
19,19,19.jpg,601.55,19.68,5.92,False,False,True
20,20,20.jpg,599.40,19.63,5.90,False,False,True
21,21,21.jpg,599.25,19.89,5.91,False,False,True
22,22,22.jpg,598.75,19.60,5.90,False,False,True
23,23,23.jpg,594.55,19.66,5.91,False,False,True
24,24,24.jpg,605.73,19.93,5.93,False,False,True
25,25,25.jpg,600.03,19.72,5.94,False,False,True
26,26,26.jpg,615.42,19.74,5.94,False,False,True
27,27,27.jpg,608.02,19.90,5.92,False,False,True
28,28,28.jpg,615.53,19.72,5.93,False,False,True
29,29,29.jpg,615.30,19.72,5.91,False,False,True
30,30,30.jpg,611.85,19.90,5.92,False,False,True
31,31,31.jpg,612.55,19.68,5.87,False,False,True
32,32,32.jpg,613.13,19.67,5.87,False,False,True
33,33,33.jpg,609.40,19.99,5.91,False,False,True
34,34,34.jpg,621.55,19.89,5.95,False,False,True
35,35,35.jpg,615.84,19.75,5.93,False,False,True
36,36,36.jpg,603.22,18.89,5.80,False,False,True
37,37,37.jpg,591.30,16.77,5.12,True,False,True
38,38,38.jpg,601.40,17.63,5.35,False,False,True
39,39,39.jpg,595.23,16.55,5.02,True,False,True
40,40,40.jpg,581.86,15.15,4.47,True,True,True
41,41,41.jpg,583.82,15.24,4.39,True,True,True
42,42,42.jpg,582.98,15.44,4.47,True,True,True
43,43,43.jpg,576.01,14.90,4.37,True,True,True
44,44,44.jpg,587.46,15.33,4.52,True,True,True
45,45,45.jpg,584.44,15.69,4.61,True,True,True
46,46,46.jpg,591.95,15.43,4.63,True,True,True
47,47,47.jpg,583.24,15.02,4.43,True,True,True
48,48,48.jpg,593.97,16.09,4.86,True,True,True
49,49,49.jpg,596.36,16.92,4.97,True,False,True
50,50,50.jpg,592.85,16.79,5.07,True,False,True
51,51,51.jpg,596.08,17.08,5.03,False,False,True
52,52,52.jpg,594.22,16.88,5.00,True,False,True
53,53,53.jpg,591.35,16.98,5.00,True,False,True
54,54,54.jpg,602.24,17.15,5.02,True,False,True
55,55,55.jpg,595.97,16.93,5.02,True,False,True
56,56,56.jpg,596.47,16.89,5.02,True,False,True
57,57,57.jpg,596.62,17.65,5.29,False,False,True
58,58,58.jpg,595.58,16.09,4.86,True,True,True
59,59,59.jpg,596.56,16.25,4.83,True,True,True
60,60,60.jpg,600.84,17.03,5.26,False,False,True
61,61,61.jpg,603.75,17.30,5.47,False,False,True
62,62,62.jpg,603.36,17.10,5.26,False,False,True
63,63,63.jpg,598.56,17.28,5.29,False,False,True
64,64,64.jpg,608.91,17.09,5.31,False,False,True
65,65,65.jpg,604.24,17.25,5.47,False,False,True
