processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,611.92,19.80,5.74,False,False,True
1,1,1.jpg,610.99,20.30,5.82,False,False,True
2,2,2.jpg,627.19,20.96,6.07,False,False,True
3,3,3.jpg,632.52,21.77,6.42,False,False,True
4,4,4.jpg,596.38,15.46,4.71,True,True,True
5,5,5.jpg,621.00,18.96,5.62,False,False,True
6,6,6.jpg,635.76,20.21,6.18,False,False,True
7,7,7.jpg,633.60,19.31,5.82,False,False,True
8,8,8.jpg,613.79,17.74,5.32,False,False,True
9,9,9.jpg,611.36,17.47,5.37,False,False,True
10,10,10.jpg,623.31,17.61,5.24,False,False,True
11,11,11.jpg,621.46,17.90,5.27,False,False,True
12,12,12.jpg,613.17,17.84,5.22,False,False,True
13,13,13.jpg,604.21,17.80,5.34,False,False,True
14,14,14.jpg,607.96,17.79,5.35,False,False,True
15,15,15.jpg,596.06,16.95,5.21,True,True,True
16,16,16.jpg,608.53,17.59,5.30,False,False,True
17,17,17.jpg,609.30,17.62,5.26,False,False,True
18,18,18.jpg,617.08,18.30,5.47,False,False,True
19,19,19.jpg,611.31,18.44,5.40,False,False,True
20,20,20.jpg,601.66,17.21,5.27,False,False,True
21,21,21.jpg,608.01,18.62,5.79,False,False,True
22,22,22.jpg,601.77,16.83,5.22,False,False,True
23,23,23.jpg,603.47,17.87,5.57,False,False,True
24,24,24.jpg,620.55,17.75,5.36,False,False,True
25,25,25.jpg,609.05,16.49,4.87,False,False,True
26,26,26.jpg,612.61,16.89,5.00,False,False,True
27,27,27.jpg,618.94,17.49,5.14,False,False,True
28,28,28.jpg,618.00,17.47,5.11,False,False,True
29,29,29.jpg,612.40,17.87,5.36,False,False,True
30,30,30.jpg,625.47,17.41,5.20,False,False,True
31,31,31.jpg,616.84,17.54,5.22,False,False,True
32,32,32.jpg,604.56,16.79,5.11,False,False,True
33,33,33.jpg,569.49,12.09,2.77,True,True,True
34,34,34.jpg,597.99,15.40,4.59,True,True,True
35,35,35.jpg,593.63,15.29,4.54,True,True,True
36,36,36.jpg,602.21,16.11,4.59,True,False,True
37,37,37.jpg,618.63,16.44,4.67,False,False,True
38,38,38.jpg,595.69,14.71,4.25,True,True,True
39,39,39.jpg,607.93,15.77,4.40,True,False,True
40,40,40.jpg,612.64,16.01,4.52,True,False,True
41,41,41.jpg,617.13,16.07,4.54,True,False,True
42,42,42.jpg,615.94,16.34,4.59,False,False,True
43,43,43.jpg,607.97,16.10,4.56,True,False,True
44,44,44.jpg,616.78,16.22,4.60,True,False,True
45,45,45.jpg,616.34,16.50,4.60,False,False,True
46,46,46.jpg,606.93,15.69,4.50,True,False,True
47,47,47.jpg,612.42,15.86,4.54,True,False,True
48,48,48.jpg,610.59,15.98,4.52,True,False,True
49,49,49.jpg,604.68,15.93,4.54,True,False,True
50,50,50.jpg,619.33,16.05,4.59,True,False,True
51,51,51.jpg,615.67,16.42,4.61,False,False,True
52,52,52.jpg,614.89,16.23,4.61,True,False,True
53,53,53.jpg,608.78,16.12,4.61,True,False,True
54,54,54.jpg,618.78,16.45,4.61,False,False,True
55,55,55.jpg,616.78,16.37,4.63,False,False,True
56,56,56.jpg,614.22,16.26,4.62,True,False,True
57,57,57.jpg,616.75,16.63,4.65,False,False,True
58,58,58.jpg,614.52,16.36,4.63,False,False,True
59,59,59.jpg,609.84,16.37,4.63,False,False,True
60,60,60.jpg,622.24,16.67,4.65,False,False,True
61,61,61.jpg,614.70,16.38,4.67,False,False,True
62,62,62.jpg,603.35,16.25,4.61,True,False,True
63,63,63.jpg,596.28,16.43,4.65,True,True,True
64,64,64.jpg,603.66,16.43,4.64,False,False,True
65,65,65.jpg,601.51,16.33,4.64,True,False,True
66,66,66.jpg,602.90,16.55,4.67,False,False,True
67,67,67.jpg,602.74,16.34,4.64,False,False,True
68,68,68.jpg,601.36,16.26,4.61,True,False,True
69,69,69.jpg,598.65,16.55,4.61,True,False,True
70,70,70.jpg,608.69,16.29,4.60,False,False,True
71,71,71.jpg,602.53,16.27,4.61,False,False,True
72,72,72.jpg,601.20,16.81,4.88,True,False,True
73,73,73.jpg,585.66,16.76,4.90,True,True,True
74,74,74.jpg,597.48,16.40,4.75,True,False,True
75,75,75.jpg,575.17,15.67,4.58,True,True,True
76,76,76.jpg,593.65,16.51,4.75,True,True,True
77,77,77.jpg,586.08,16.16,4.68,True,True,True
78,78,78.jpg,598.32,16.78,4.71,True,False,True
79,79,79.jpg,588.67,16.34,4.68,True,True,True
80,80,80.jpg,604.73,16.98,4.89,False,False,True
81,81,81.jpg,607.93,17.30,4.92,False,False,True
82,82,82.jpg,601.19,15.90,4.51,True,False,True
