processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,585.85,15.97,4.04,True,True,True
1,1,1.jpg,589.17,16.39,4.67,True,True,True
2,2,2.jpg,610.11,17.53,4.88,True,True,True
3,3,3.jpg,616.25,17.43,4.93,True,True,True
4,4,4.jpg,622.11,17.36,4.83,True,True,True
5,5,5.jpg,619.72,17.44,4.89,True,True,True
6,6,6.jpg,561.38,15.12,4.23,True,True,True
7,7,7.jpg,573.97,15.13,3.90,True,True,True
8,8,8.jpg,591.29,17.17,4.17,True,True,True
9,9,9.jpg,586.20,16.78,4.00,True,True,True
10,10,10.jpg,596.51,17.15,4.11,True,True,True
11,11,11.jpg,575.55,16.31,4.01,True,True,True
12,12,12.jpg,580.02,16.62,4.01,True,True,True
13,13,13.jpg,571.07,16.80,4.07,True,True,True
14,14,14.jpg,577.01,16.67,4.02,True,True,True
15,15,15.jpg,578.86,16.04,3.89,True,True,True
16,16,16.jpg,560.66,12.20,2.96,True,True,True
17,17,17.jpg,561.92,13.04,3.16,True,True,True
18,18,18.jpg,664.27,28.41,6.79,False,False,True
19,19,19.jpg,640.53,29.43,7.45,False,False,True
20,20,20.jpg,640.38,28.24,7.23,False,False,True
21,21,21.jpg,628.84,25.96,6.51,False,False,True
22,22,22.jpg,614.94,25.76,6.83,True,False,True
23,23,23.jpg,598.83,25.42,6.74,True,True,True
24,24,24.jpg,636.59,27.66,6.96,False,False,True
25,25,25.jpg,642.58,25.29,6.31,False,False,True
26,26,26.jpg,636.36,24.23,5.97,False,False,True
27,27,27.jpg,640.70,23.73,5.91,False,False,True
28,28,28.jpg,625.12,23.24,5.82,False,False,True
29,29,29.jpg,634.50,23.98,5.82,False,False,True
30,30,30.jpg,579.88,17.46,4.58,True,True,True
31,31,31.jpg,575.29,14.77,4.14,True,True,True
32,32,32.jpg,609.03,21.55,6.70,True,True,True
33,33,33.jpg,687.68,24.03,7.36,False,False,True
34,34,34.jpg,707.31,24.87,7.54,False,False,True
35,35,35.jpg,689.76,25.83,7.55,False,False,True
36,36,36.jpg,713.60,26.98,7.96,False,False,True
37,37,37.jpg,703.48,26.99,8.20,False,False,True
38,38,38.jpg,676.34,26.62,7.96,False,False,True
39,39,39.jpg,694.00,26.25,8.07,False,False,True
40,40,40.jpg,699.85,25.88,8.14,False,False,True
41,41,41.jpg,701.41,26.40,8.06,False,False,True
42,42,42.jpg,709.42,27.22,8.21,False,False,True
43,43,43.jpg,672.39,26.89,8.26,False,False,True
44,44,44.jpg,697.83,26.92,8.28,False,False,True
45,45,45.jpg,729.69,28.58,8.88,False,False,True
46,46,46.jpg,702.82,27.38,8.34,False,False,True
47,47,47.jpg,695.24,25.26,7.86,False,False,True
48,48,48.jpg,710.63,25.24,7.83,False,False,True
49,49,49.jpg,688.68,25.45,7.99,False,False,True
50,50,50.jpg,653.08,24.20,7.59,False,False,True
51,51,51.jpg,676.47,23.23,6.93,False,False,True
52,52,52.jpg,683.09,22.58,6.68,False,False,True
53,53,53.jpg,624.69,22.75,7.10,False,False,True
54,54,54.jpg,761.63,25.91,7.36,False,False,True
55,55,55.jpg,746.08,26.36,7.42,False,False,True
56,56,56.jpg,736.56,26.76,7.61,False,False,True
57,57,57.jpg,722.42,26.09,7.49,False,False,True
58,58,58.jpg,737.41,27.39,7.75,False,False,True
59,59,59.jpg,679.93,26.41,7.53,False,False,True
60,60,60.jpg,711.04,21.28,5.98,False,False,True
61,61,61.jpg,699.46,22.28,6.35,False,False,True
62,62,62.jpg,748.38,23.40,6.65,False,False,True
63,63,63.jpg,739.47,21.51,5.57,True,False,True
64,64,64.jpg,750.72,22.82,6.42,False,False,True
65,65,65.jpg,704.38,22.45,6.61,False,False,True
66,66,66.jpg,714.58,23.50,7.02,False,False,True
67,67,67.jpg,706.72,22.81,6.68,False,False,True
68,68,68.jpg,620.41,20.70,6.58,False,False,True
69,69,69.jpg,617.54,17.40,4.76,True,True,True
70,70,70.jpg,678.10,17.92,4.74,True,True,True
71,71,71.jpg,582.99,15.54,4.46,True,True,True
72,72,72.jpg,725.63,22.53,6.60,False,False,True
73,73,73.jpg,662.50,21.13,6.20,False,False,True
74,74,74.jpg,723.88,22.22,6.65,False,False,True
75,75,75.jpg,733.46,22.40,6.77,False,False,True
76,76,76.jpg,725.85,23.01,6.96,False,False,True
77,77,77.jpg,702.52,22.55,6.73,False,False,True
78,78,78.jpg,698.96,22.00,6.65,False,False,True
79,79,79.jpg,717.24,22.57,6.83,False,False,True
80,80,80.jpg,722.10,22.62,6.71,False,False,True
81,81,81.jpg,726.57,22.58,6.78,False,False,True
82,82,82.jpg,732.70,23.21,6.93,False,False,True
83,83,83.jpg,729.57,23.31,6.98,False,False,True
84,84,84.jpg,746.91,24.16,7.50,False,False,True
85,85,85.jpg,740.38,24.90,7.45,False,False,True
86,86,86.jpg,706.89,22.56,6.70,False,False,True
87,87,87.jpg,731.83,22.32,6.61,False,False,True
88,88,88.jpg,725.01,24.96,7.18,False,False,True
89,89,89.jpg,699.95,24.29,5.99,False,False,True
90,90,90.jpg,591.68,20.09,6.57,True,True,True
91,91,91.jpg,732.02,27.07,7.52,False,False,True
92,92,92.jpg,741.60,26.45,7.56,False,False,True
