processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,554.23,12.16,3.33,False,False,True
1,1,1.jpg,557.57,12.16,3.34,False,False,True
2,2,2.jpg,553.66,12.18,3.33,False,False,True
3,3,3.jpg,554.81,12.65,3.34,False,False,True
4,4,4.jpg,554.09,12.16,3.33,False,False,True
5,5,5.jpg,550.27,12.08,3.32,False,False,True
6,6,6.jpg,560.58,13.04,3.38,False,False,True
7,7,7.jpg,574.23,14.44,4.14,False,False,True
8,8,8.jpg,588.86,18.81,5.05,False,False,True
9,9,9.jpg,573.07,19.22,5.21,False,False,True
10,10,10.jpg,551.25,11.95,3.28,False,False,True
11,11,11.jpg,547.82,12.28,3.45,False,False,True
12,12,12.jpg,550.73,12.49,3.38,False,False,True
13,13,13.jpg,547.59,11.88,3.21,True,False,True
14,14,14.jpg,551.04,12.04,3.34,False,False,True
15,15,15.jpg,548.63,12.43,3.35,False,False,True
16,16,16.jpg,558.98,12.16,3.36,False,False,True
17,17,17.jpg,554.24,12.25,3.40,False,False,True
18,18,18.jpg,552.88,12.68,3.51,False,False,True
19,19,19.jpg,545.17,12.30,3.46,False,False,True
20,20,20.jpg,554.22,12.35,3.44,False,False,True
21,21,21.jpg,551.82,12.52,3.41,False,False,True
22,22,22.jpg,548.03,12.21,3.40,False,False,True
23,23,23.jpg,548.38,12.28,3.42,False,False,True
24,24,24.jpg,549.85,12.54,3.45,False,False,True
25,25,25.jpg,544.75,12.25,3.38,True,False,True
26,26,26.jpg,555.33,12.15,3.33,False,False,True
27,27,27.jpg,549.34,12.65,3.40,False,False,True
28,28,28.jpg,551.41,12.46,3.32,False,False,True
29,29,29.jpg,538.50,11.29,3.04,True,True,True
30,30,30.jpg,549.74,12.15,3.30,False,False,True
31,31,31.jpg,547.80,12.18,3.30,False,False,True
32,32,32.jpg,548.41,12.32,3.33,False,False,True
33,33,33.jpg,534.65,9.11,2.62,True,True,True
34,34,34.jpg,535.31,8.97,2.61,True,True,True
35,35,35.jpg,531.22,8.97,2.60,True,True,True
36,36,36.jpg,542.89,9.37,2.64,True,True,True
37,37,37.jpg,535.22,8.92,2.63,True,True,True
38,38,38.jpg,541.85,8.66,2.57,True,True,True
39,39,39.jpg,534.58,8.92,2.48,True,True,True
40,40,40.jpg,541.96,8.45,2.45,True,True,True
41,41,41.jpg,542.74,8.62,2.53,True,True,True
