processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,561.13,10.57,2.64,True,True,True
1,1,1.jpg,560.68,10.14,2.62,True,True,True
2,2,2.jpg,565.03,15.90,4.27,False,False,True
3,3,3.jpg,622.31,20.42,5.50,False,False,True
4,4,4.jpg,631.63,21.25,5.58,False,False,True
5,5,5.jpg,565.86,9.57,2.52,True,True,True
6,6,6.jpg,565.11,10.47,2.59,True,True,True
7,7,7.jpg,567.18,10.01,2.58,True,True,True
8,8,8.jpg,576.34,11.79,3.10,False,False,True
9,9,9.jpg,564.27,12.46,3.18,False,False,True
10,10,10.jpg,564.73,11.87,3.07,False,False,True
11,11,11.jpg,563.71,12.05,3.11,False,False,True
12,12,12.jpg,567.42,12.33,3.07,False,False,True
13,13,13.jpg,569.37,9.97,2.65,True,True,True
14,14,14.jpg,567.46,10.34,2.60,True,True,True
15,15,15.jpg,561.31,11.17,2.75,True,False,True
16,16,16.jpg,559.70,12.16,3.21,False,False,True
17,17,17.jpg,563.50,12.00,3.14,False,False,True
18,18,18.jpg,564.58,12.49,3.16,False,False,True
19,19,19.jpg,573.66,10.49,2.69,True,False,True
20,20,20.jpg,564.14,10.18,2.62,True,True,True
21,21,21.jpg,562.30,12.84,3.22,False,False,True
22,22,22.jpg,561.65,11.89,3.09,False,False,True
23,23,23.jpg,565.22,11.99,3.09,False,False,True
24,24,24.jpg,563.49,12.52,3.14,False,False,True
25,25,25.jpg,560.16,12.22,3.14,False,False,True
26,26,26.jpg,560.90,12.23,3.14,False,False,True
27,27,27.jpg,564.78,11.44,2.79,True,False,True
28,28,28.jpg,561.30,10.01,2.63,True,True,True
29,29,29.jpg,562.11,10.26,2.65,True,False,True
30,30,30.jpg,560.61,12.47,3.23,False,False,True
31,31,31.jpg,558.18,12.16,3.21,False,False,True
32,32,32.jpg,562.75,11.99,3.12,False,False,True
33,33,33.jpg,567.22,12.59,3.16,False,False,True
34,34,34.jpg,563.97,12.12,3.14,False,False,True
35,35,35.jpg,554.80,12.04,3.12,False,False,True
36,36,36.jpg,556.64,12.60,3.16,False,False,True
37,37,37.jpg,558.99,12.12,3.12,False,False,True
38,38,38.jpg,557.05,11.85,3.13,False,False,True
39,39,39.jpg,557.73,12.33,3.18,False,False,True
40,40,40.jpg,556.83,12.06,3.16,False,False,True
41,41,41.jpg,554.01,11.88,3.17,True,False,True
42,42,42.jpg,556.05,12.58,3.43,False,False,True
43,43,43.jpg,557.93,11.05,3.05,True,False,True
44,44,44.jpg,557.17,10.46,2.81,True,False,True
45,45,45.jpg,551.09,11.04,2.87,True,False,True
46,46,46.jpg,551.35,10.63,2.88,True,False,True
47,47,47.jpg,554.63,10.66,2.91,True,False,True
48,48,48.jpg,550.13,11.96,3.05,True,False,True
49,49,49.jpg,549.19,11.50,3.08,True,False,True
50,50,50.jpg,549.26,11.70,3.07,True,False,True
51,51,51.jpg,550.95,12.24,3.15,True,False,True
52,52,52.jpg,552.59,11.84,3.13,True,False,True
53,53,53.jpg,557.22,12.31,3.31,False,False,True
54,54,54.jpg,551.36,12.72,3.31,True,False,True
55,55,55.jpg,550.87,11.58,3.08,True,False,True
56,56,56.jpg,549.87,11.30,2.97,True,False,True
57,57,57.jpg,554.20,12.73,3.34,True,False,True
58,58,58.jpg,553.05,12.62,3.35,True,False,True
59,59,59.jpg,553.09,12.43,3.34,True,False,True
60,60,60.jpg,554.24,13.00,3.43,False,False,True
61,61,61.jpg,551.66,12.61,3.44,True,False,True
62,62,62.jpg,554.23,12.57,3.39,False,False,True
63,63,63.jpg,558.48,13.04,3.40,False,False,True
64,64,64.jpg,557.38,11.61,2.90,False,False,True
65,65,65.jpg,551.59,11.79,3.09,True,False,True
66,66,66.jpg,556.36,11.68,2.91,False,False,True
67,67,67.jpg,559.54,11.26,2.88,True,False,True
68,68,68.jpg,557.25,11.98,3.16,False,False,True
69,69,69.jpg,555.46,11.90,3.01,False,False,True
70,70,70.jpg,555.22,11.42,3.01,False,False,True
71,71,71.jpg,553.77,11.35,2.98,True,False,True
72,72,72.jpg,558.15,12.51,3.16,False,False,True
73,73,73.jpg,561.02,11.17,2.90,True,False,True
74,74,74.jpg,555.69,11.34,2.92,False,False,True
75,75,75.jpg,552.51,11.19,2.71,True,False,True
76,76,76.jpg,553.20,12.04,3.16,True,False,True
77,77,77.jpg,556.18,11.41,3.00,False,False,True
78,78,78.jpg,555.02,12.11,3.07,False,False,True
79,79,79.jpg,554.56,11.98,3.11,False,False,True
80,80,80.jpg,552.92,11.32,2.87,True,False,True
81,81,81.jpg,551.27,11.85,3.30,True,False,True
82,82,82.jpg,555.15,11.01,3.08,True,False,True
83,83,83.jpg,558.25,9.89,2.57,True,True,True
