processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,550.30,15.79,4.52,True,False,True
1,1,1.jpg,549.99,15.92,4.61,True,True,True
2,2,2.jpg,550.03,15.59,4.54,True,True,True
3,3,3.jpg,567.04,14.20,3.89,False,False,True
4,4,4.jpg,562.46,13.45,3.82,False,False,True
5,5,5.jpg,554.79,13.05,3.70,False,False,True
6,6,6.jpg,559.44,13.38,3.75,False,False,True
7,7,7.jpg,557.56,12.85,3.64,False,False,True
8,8,8.jpg,562.87,13.17,3.64,False,False,True
9,9,9.jpg,562.16,13.35,3.68,False,False,True
10,10,10.jpg,564.14,13.38,3.69,False,False,True
11,11,11.jpg,557.51,13.07,3.69,False,False,True
12,12,12.jpg,554.23,12.21,3.50,False,False,True
13,13,13.jpg,554.86,11.87,3.37,False,False,True
14,14,14.jpg,558.03,11.93,3.40,False,False,True
15,15,15.jpg,560.26,12.24,3.43,False,False,True
16,16,16.jpg,559.30,12.12,3.43,False,False,True
17,17,17.jpg,559.79,12.03,3.39,False,False,True
18,18,18.jpg,564.39,12.32,3.39,False,False,True
19,19,19.jpg,561.44,12.05,3.37,False,False,True
20,20,20.jpg,561.51,12.04,3.37,False,False,True
21,21,21.jpg,559.93,12.16,3.33,False,False,True
22,22,22.jpg,561.58,13.19,3.69,False,False,True
23,23,23.jpg,565.96,13.35,3.62,False,False,True
24,24,24.jpg,571.35,13.12,3.60,False,False,True
25,25,25.jpg,559.97,11.52,3.23,False,False,True
26,26,26.jpg,556.47,11.87,3.25,False,False,True
27,27,27.jpg,566.69,13.48,3.63,False,False,True
28,28,28.jpg,553.78,11.45,3.28,False,False,True
29,29,29.jpg,551.07,11.26,3.26,True,False,True
30,30,30.jpg,550.14,12.14,3.40,True,True,True
31,31,31.jpg,554.70,12.36,3.48,False,False,True
32,32,32.jpg,559.80,12.66,3.54,False,False,True
33,33,33.jpg,568.18,13.42,3.65,False,False,True
34,34,34.jpg,568.65,13.40,3.69,False,False,True
35,35,35.jpg,567.08,13.31,3.66,False,False,True
36,36,36.jpg,563.96,13.61,3.72,False,False,True
37,37,37.jpg,565.90,13.65,3.75,False,False,True
38,38,38.jpg,562.49,13.49,3.74,False,False,True
39,39,39.jpg,559.65,13.57,3.72,False,False,True
40,40,40.jpg,558.70,12.70,3.52,False,False,True
41,41,41.jpg,559.46,12.70,3.51,False,False,True
42,42,42.jpg,558.18,12.98,3.57,False,False,True
43,43,43.jpg,559.29,13.04,3.64,False,False,True
44,44,44.jpg,564.75,12.95,3.63,False,False,True
45,45,45.jpg,562.50,13.03,3.57,False,False,True
46,46,46.jpg,564.09,13.01,3.65,False,False,True
47,47,47.jpg,565.87,12.95,3.60,False,False,True
48,48,48.jpg,570.63,13.13,3.61,False,False,True
49,49,49.jpg,566.56,12.98,3.61,False,False,True
50,50,50.jpg,565.45,12.89,3.58,False,False,True
51,51,51.jpg,567.84,12.94,3.54,False,False,True
52,52,52.jpg,563.82,12.67,3.52,False,False,True
53,53,53.jpg,565.75,12.62,3.51,False,False,True
54,54,54.jpg,557.07,11.62,3.25,False,False,True
55,55,55.jpg,549.49,10.58,3.06,True,True,True
56,56,56.jpg,543.19,10.34,2.94,True,True,True
57,57,57.jpg,548.54,11.19,3.08,True,True,True
58,58,58.jpg,550.36,10.43,2.92,True,True,True
59,59,59.jpg,547.19,10.28,2.92,True,True,True
60,60,60.jpg,547.59,11.71,3.28,True,True,True
61,61,61.jpg,546.48,11.07,3.04,True,True,True
62,62,62.jpg,544.44,10.39,2.95,True,True,True
63,63,63.jpg,550.32,10.56,2.90,True,True,True
64,64,64.jpg,552.54,10.49,2.97,True,True,True
65,65,65.jpg,545.14,9.94,2.84,True,True,True
66,66,66.jpg,547.76,11.67,3.28,True,True,True
67,67,67.jpg,547.36,10.63,3.10,True,True,True
68,68,68.jpg,549.13,11.34,3.35,True,True,True
69,69,69.jpg,548.13,10.16,2.84,True,True,True
70,70,70.jpg,547.31,10.08,2.86,True,True,True
71,71,71.jpg,548.82,9.86,2.76,True,True,True
72,72,72.jpg,548.28,10.39,2.79,True,True,True
73,73,73.jpg,548.95,9.73,2.74,True,True,True
74,74,74.jpg,553.94,9.94,2.78,True,True,True
75,75,75.jpg,556.18,10.41,2.78,True,True,True
76,76,76.jpg,553.12,10.77,2.93,True,True,True
77,77,77.jpg,553.39,10.80,2.97,True,True,True
78,78,78.jpg,558.44,11.39,2.97,True,True,True
79,79,79.jpg,554.75,10.80,2.95,True,True,True
80,80,80.jpg,554.45,10.84,2.97,True,True,True
81,81,81.jpg,554.47,11.43,3.02,True,False,True
82,82,82.jpg,551.96,10.72,2.94,True,True,True
83,83,83.jpg,553.50,10.16,2.88,True,True,True
84,84,84.jpg,558.17,11.32,3.07,False,False,True
85,85,85.jpg,557.75,11.12,3.20,False,False,True
86,86,86.jpg,551.82,11.25,3.19,False,False,True
87,87,87.jpg,551.11,11.19,3.02,False,False,True
88,88,88.jpg,553.87,10.45,2.92,True,True,True
