processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,669.32,19.19,4.95,False,False,True
1,1,1.jpg,668.04,18.94,4.87,False,False,True
2,2,2.jpg,661.36,19.85,5.11,False,False,True
3,3,3.jpg,678.71,18.96,4.79,False,False,True
4,4,4.jpg,665.25,20.47,5.27,False,False,True
5,5,5.jpg,675.18,19.91,5.04,False,False,True
6,6,6.jpg,684.41,20.44,5.23,False,False,True
7,7,7.jpg,685.99,20.87,5.28,False,False,True
8,8,8.jpg,683.71,20.85,5.20,False,False,True
9,9,9.jpg,671.61,21.20,5.36,False,False,True
10,10,10.jpg,693.83,20.58,5.07,False,False,True
11,11,11.jpg,665.73,20.08,5.09,False,False,True
12,12,12.jpg,688.14,19.77,5.03,False,False,True
13,13,13.jpg,671.78,20.69,5.29,False,False,True
14,14,14.jpg,684.58,20.99,5.34,False,False,True
15,15,15.jpg,683.01,20.61,5.20,False,False,True
16,16,16.jpg,678.03,21.21,5.38,False,False,True
17,17,17.jpg,546.54,22.02,5.47,True,True,True
18,18,18.jpg,539.08,10.58,2.53,True,True,True
19,19,19.jpg,532.80,6.90,1.93,True,True,True
20,20,20.jpg,556.50,8.75,2.14,True,True,True
21,21,21.jpg,556.70,9.65,2.28,True,True,True
22,22,22.jpg,554.08,9.36,2.25,True,True,True
23,23,23.jpg,555.79,9.52,2.25,True,True,True
24,24,24.jpg,556.76,9.76,2.29,True,True,True
25,25,25.jpg,552.89,10.17,2.42,True,True,True
26,26,26.jpg,564.47,10.40,2.53,True,True,True
27,27,27.jpg,563.80,11.08,2.68,False,True,True
28,28,28.jpg,563.60,10.98,2.69,False,True,True
