processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,689.83,22.65,6.30,False,False,True
1,1,1.jpg,672.17,21.38,5.86,False,False,True
2,2,2.jpg,533.37,11.09,3.27,True,True,True
3,3,3.jpg,540.78,14.00,3.72,True,True,True
4,4,4.jpg,594.54,16.89,3.97,False,False,True
5,5,5.jpg,603.19,16.64,3.90,False,False,True
6,6,6.jpg,600.14,16.74,3.90,True,False,True
7,7,7.jpg,604.50,16.68,3.90,True,False,True
8,8,8.jpg,604.10,16.65,3.90,False,False,True
9,9,9.jpg,603.83,16.75,3.90,True,False,True
10,10,10.jpg,601.09,16.68,3.91,False,False,True
11,11,11.jpg,606.96,16.89,3.98,False,False,True
12,12,12.jpg,597.31,16.57,3.98,True,False,True
13,13,13.jpg,587.32,16.35,3.94,True,False,True
14,14,14.jpg,584.92,16.78,4.01,False,False,True
15,15,15.jpg,590.90,17.26,4.09,False,False,True
16,16,16.jpg,581.90,17.80,4.17,False,False,True
17,17,17.jpg,587.30,17.93,4.24,False,False,True
18,18,18.jpg,595.65,18.11,4.36,False,False,True
19,19,19.jpg,593.99,18.39,4.47,False,False,True
20,20,20.jpg,586.51,18.17,4.45,False,False,True
21,21,21.jpg,602.14,18.58,4.54,False,False,True
22,22,22.jpg,604.37,19.06,4.67,False,False,True
23,23,23.jpg,608.17,19.04,4.75,False,False,True
24,24,24.jpg,613.92,18.50,4.72,False,False,True
25,25,25.jpg,605.89,18.62,4.78,False,False,True
26,26,26.jpg,605.24,19.07,4.99,False,False,True
27,27,27.jpg,607.52,18.99,4.91,False,False,True
28,28,28.jpg,598.16,19.41,4.89,False,False,True
29,29,29.jpg,589.71,19.76,5.08,False,False,True
30,30,30.jpg,586.71,19.20,4.97,False,False,True
31,31,31.jpg,582.06,19.42,4.97,False,False,True
32,32,32.jpg,579.85,19.50,5.01,False,False,True
33,33,33.jpg,580.40,18.82,4.88,False,False,True
34,34,34.jpg,570.60,18.81,4.83,False,False,True
35,35,35.jpg,572.37,19.14,4.65,False,False,True
36,36,36.jpg,585.40,19.38,4.77,False,False,True
37,37,37.jpg,582.27,19.56,4.65,False,False,True
38,38,38.jpg,577.80,20.20,4.73,False,False,True
39,39,39.jpg,595.54,20.58,4.81,False,False,True
40,40,40.jpg,580.34,21.30,4.92,False,False,True
41,41,41.jpg,581.79,21.73,5.04,False,False,True
42,42,42.jpg,586.93,21.40,5.03,False,False,True
43,43,43.jpg,572.76,21.62,4.95,False,False,True
44,44,44.jpg,560.68,21.74,4.98,False,False,True
45,45,45.jpg,545.00,19.97,4.69,False,False,True
46,46,46.jpg,541.95,19.90,4.70,False,False,True
47,47,47.jpg,540.45,18.84,4.39,False,False,True
48,48,48.jpg,542.27,18.03,4.25,False,False,True
49,49,49.jpg,539.45,17.92,4.19,False,False,True
50,50,50.jpg,537.45,17.82,4.16,True,False,True
51,51,51.jpg,541.32,17.64,4.14,False,False,True
52,52,52.jpg,537.66,17.60,4.12,False,False,True
53,53,53.jpg,537.57,17.78,4.12,False,False,True
54,54,54.jpg,541.47,17.77,4.14,False,False,True
55,55,55.jpg,541.61,17.76,4.14,False,False,True
56,56,56.jpg,543.17,17.98,4.17,False,False,True
57,57,57.jpg,547.64,17.94,4.17,False,False,True
58,58,58.jpg,545.52,17.96,4.17,False,False,True
59,59,59.jpg,544.86,17.98,4.18,False,False,True
60,60,60.jpg,539.80,17.85,4.16,False,False,True
61,61,61.jpg,543.67,17.79,4.12,False,False,True
62,62,62.jpg,538.27,16.94,3.92,False,False,True
63,63,63.jpg,531.74,15.92,3.70,True,True,True
64,64,64.jpg,528.67,15.40,3.57,True,True,True
65,65,65.jpg,525.96,15.31,3.54,True,True,True
66,66,66.jpg,524.49,14.99,3.53,True,True,True
67,67,67.jpg,530.88,15.54,3.64,True,True,True
68,68,68.jpg,530.60,16.24,3.79,True,True,True
69,69,69.jpg,534.28,16.55,3.89,True,False,True
70,70,70.jpg,529.22,17.08,4.00,True,True,True
71,71,71.jpg,535.10,17.92,4.23,True,False,True
72,72,72.jpg,538.07,18.58,4.45,False,False,True
73,73,73.jpg,536.82,19.11,4.64,True,False,True
74,74,74.jpg,538.57,19.71,4.77,False,False,True
75,75,75.jpg,543.30,20.32,5.04,False,False,True
76,76,76.jpg,538.07,20.43,5.08,False,False,True
77,77,77.jpg,543.60,20.42,5.09,False,False,True
78,78,78.jpg,541.54,19.97,4.95,False,False,True
79,79,79.jpg,544.34,19.49,4.77,False,False,True
80,80,80.jpg,539.66,19.02,4.54,False,False,True
81,81,81.jpg,543.83,18.12,4.33,False,False,True
82,82,82.jpg,539.08,17.15,4.08,False,False,True
83,83,83.jpg,536.49,16.64,3.91,True,False,True
84,84,84.jpg,536.65,16.21,3.82,True,False,True
85,85,85.jpg,535.51,16.18,3.75,True,True,True
86,86,86.jpg,531.58,16.14,3.74,True,True,True
87,87,87.jpg,539.46,15.98,3.73,True,True,True
88,88,88.jpg,536.87,16.09,3.75,True,True,True
89,89,89.jpg,536.43,16.27,3.76,True,True,True
90,90,90.jpg,532.89,16.24,3.75,True,True,True
91,91,91.jpg,537.06,16.29,3.76,True,True,True
92,92,92.jpg,536.00,16.29,3.77,True,True,True
93,93,93.jpg,534.00,16.19,3.76,True,True,True
94,94,94.jpg,533.31,15.86,3.73,True,True,True
95,95,95.jpg,532.71,16.05,3.75,True,True,True
96,96,96.jpg,532.15,16.20,3.76,True,True,True
