processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,545.53,15.91,4.06,True,True,True
1,1,1.jpg,570.47,16.63,4.16,True,True,True
2,2,2.jpg,542.95,17.80,4.98,True,True,True
3,3,3.jpg,637.34,23.97,6.84,False,False,True
4,4,4.jpg,527.30,11.28,2.91,True,True,True
5,5,5.jpg,561.01,14.07,3.27,True,True,True
6,6,6.jpg,554.68,14.13,3.30,True,True,True
7,7,7.jpg,566.22,14.40,3.33,True,True,True
8,8,8.jpg,558.39,14.02,3.23,True,True,True
9,9,9.jpg,570.70,14.72,3.41,True,True,True
10,10,10.jpg,566.86,14.46,3.30,True,True,True
11,11,11.jpg,577.01,14.56,3.33,True,True,True
12,12,12.jpg,574.76,14.64,3.34,True,True,True
13,13,13.jpg,571.09,14.45,3.31,True,True,True
14,14,14.jpg,572.41,14.46,3.30,True,True,True
15,15,15.jpg,570.77,14.52,3.31,True,True,True
16,16,16.jpg,568.19,14.40,3.30,True,True,True
17,17,17.jpg,578.99,14.55,3.34,True,True,True
18,18,18.jpg,571.91,14.47,3.32,True,True,True
19,19,19.jpg,584.84,15.29,3.45,True,False,True
20,20,20.jpg,578.76,15.24,3.43,True,False,True
21,21,21.jpg,585.21,15.39,3.44,False,False,True
22,22,22.jpg,584.40,15.29,3.43,True,False,True
23,23,23.jpg,582.69,15.28,3.45,True,False,True
24,24,24.jpg,583.05,15.53,3.45,False,False,True
25,25,25.jpg,584.47,15.36,3.45,False,False,True
26,26,26.jpg,580.76,15.38,3.45,True,False,True
27,27,27.jpg,592.33,15.64,3.47,False,False,True
28,28,28.jpg,586.07,15.39,3.45,False,False,True
29,29,29.jpg,580.79,15.37,3.45,True,False,True
30,30,30.jpg,573.88,15.21,3.41,True,True,True
31,31,31.jpg,581.72,15.14,3.42,True,False,True
32,32,32.jpg,579.72,15.11,3.42,True,False,True
33,33,33.jpg,575.78,15.18,3.42,True,True,True
34,34,34.jpg,576.83,15.16,3.42,True,False,True
