processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,543.95,9.63,2.58,True,True,True
1,1,1.jpg,550.04,11.98,3.49,False,False,True
2,2,2.jpg,549.82,11.55,3.45,True,False,True
3,3,3.jpg,539.61,6.93,2.00,True,True,True
4,4,4.jpg,540.21,7.19,1.95,True,True,True
5,5,5.jpg,540.96,7.07,1.89,True,True,True
6,6,6.jpg,541.83,7.36,1.90,True,True,True
7,7,7.jpg,536.88,6.86,1.93,True,True,True
8,8,8.jpg,548.73,9.43,2.41,True,True,True
9,9,9.jpg,567.14,16.80,4.92,False,False,True
10,10,10.jpg,602.90,16.30,4.32,False,False,True
11,11,11.jpg,647.28,14.64,4.05,False,False,True
12,12,12.jpg,560.19,12.68,3.46,False,False,True
13,13,13.jpg,566.56,12.92,3.67,False,False,True
14,14,14.jpg,539.22,12.48,3.47,True,False,True
15,15,15.jpg,582.07,15.89,4.18,False,False,True
16,16,16.jpg,601.26,16.80,4.18,False,False,True
17,17,17.jpg,609.97,18.11,4.49,False,False,True
18,18,18.jpg,610.01,18.62,4.77,False,False,True
19,19,19.jpg,592.84,19.50,5.33,False,False,True
20,20,20.jpg,552.05,15.76,4.18,False,False,True
21,21,21.jpg,545.04,15.81,4.02,False,False,True
22,22,22.jpg,551.34,15.74,3.92,False,False,True
23,23,23.jpg,552.64,14.75,3.72,False,False,True
24,24,24.jpg,549.52,14.34,3.68,False,False,True
25,25,25.jpg,546.87,12.96,3.21,True,False,True
26,26,26.jpg,536.31,14.42,4.10,True,False,True
27,27,27.jpg,545.27,18.75,5.24,False,False,True
28,28,28.jpg,561.94,18.25,4.40,False,False,True
