processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,587.16,9.82,2.11,True,False,True
1,1,1.jpg,588.78,9.92,2.11,False,False,True
2,2,2.jpg,590.33,9.91,2.12,False,False,True
3,3,3.jpg,585.92,10.02,2.11,False,False,True
4,4,4.jpg,596.09,9.95,2.12,False,False,True
5,5,5.jpg,591.07,9.90,2.10,False,False,True
6,6,6.jpg,593.22,10.86,2.56,False,False,True
7,7,7.jpg,585.17,12.38,3.11,False,False,True
8,8,8.jpg,665.12,17.15,4.46,False,False,True
9,9,9.jpg,645.05,16.05,4.24,False,False,True
10,10,10.jpg,651.20,16.56,4.32,False,False,True
11,11,11.jpg,655.50,16.80,4.40,False,False,True
12,12,12.jpg,587.69,10.17,2.67,False,False,True
13,13,13.jpg,580.15,9.19,2.03,True,False,True
14,14,14.jpg,595.90,9.91,2.10,False,False,True
15,15,15.jpg,591.65,10.06,2.10,False,False,True
16,16,16.jpg,590.04,9.91,2.11,False,False,True
17,17,17.jpg,582.39,9.85,2.10,True,False,True
18,18,18.jpg,590.19,10.03,2.11,False,False,True
19,19,19.jpg,589.83,9.91,2.10,False,False,True
20,20,20.jpg,586.57,9.91,2.11,False,False,True
21,21,21.jpg,586.89,10.00,2.11,False,False,True
22,22,22.jpg,586.97,9.87,2.10,False,False,True
23,23,23.jpg,582.62,9.85,2.09,True,False,True
24,24,24.jpg,593.98,10.05,2.11,False,False,True
25,25,25.jpg,588.29,9.94,2.11,False,False,True
26,26,26.jpg,580.56,9.89,2.09,True,False,True
27,27,27.jpg,575.99,9.94,2.08,True,False,True
28,28,28.jpg,583.35,9.87,2.08,True,False,True
29,29,29.jpg,582.41,9.84,2.08,True,False,True
30,30,30.jpg,579.69,9.97,2.09,True,False,True
31,31,31.jpg,579.37,9.91,2.09,True,False,True
32,32,32.jpg,579.77,9.96,2.10,True,False,True
33,33,33.jpg,575.07,9.88,2.09,True,True,True
34,34,34.jpg,583.21,9.96,2.11,True,False,True
35,35,35.jpg,580.66,9.84,2.10,True,False,True
36,36,36.jpg,589.47,10.05,2.12,False,False,True
37,37,37.jpg,583.03,9.91,2.11,True,False,True
38,38,38.jpg,591.27,10.00,2.13,False,False,True
39,39,39.jpg,590.66,10.26,2.14,False,False,True
40,40,40.jpg,586.62,10.03,2.14,False,False,True
41,41,41.jpg,588.31,10.04,2.12,False,False,True
42,42,42.jpg,588.06,10.07,2.12,False,False,True
43,43,43.jpg,583.98,9.95,2.12,True,False,True
44,44,44.jpg,594.80,10.02,2.13,False,False,True
45,45,45.jpg,590.12,10.05,2.12,False,False,True
46,46,46.jpg,589.03,10.02,2.12,False,False,True
47,47,47.jpg,582.04,9.98,2.11,True,False,True
48,48,48.jpg,590.99,10.16,2.10,False,False,True
49,49,49.jpg,589.68,10.03,2.10,False,False,True
50,50,50.jpg,586.26,9.96,2.10,False,False,True
51,51,51.jpg,586.89,9.94,2.08,True,False,True
52,52,52.jpg,587.03,9.89,2.08,True,False,True
53,53,53.jpg,582.54,9.86,2.08,True,False,True
54,54,54.jpg,594.28,9.90,2.08,True,False,True
55,55,55.jpg,587.99,9.80,2.08,True,False,True
56,56,56.jpg,584.54,9.77,2.08,True,False,True
57,57,57.jpg,579.11,9.92,2.08,True,False,True
58,58,58.jpg,586.73,9.80,2.08,True,False,True
59,59,59.jpg,585.19,9.78,2.08,True,False,True
60,60,60.jpg,582.78,9.86,2.08,True,False,True
61,61,61.jpg,583.48,9.73,2.06,True,False,True
62,62,62.jpg,583.58,9.68,2.06,True,False,True
