processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,522.43,12.52,3.28,True,True,True
1,1,1.jpg,546.73,17.69,5.00,False,False,True
2,2,2.jpg,557.99,17.95,4.99,False,False,True
3,3,3.jpg,550.40,17.87,5.02,False,False,True
4,4,4.jpg,561.42,18.07,5.03,False,False,True
5,5,5.jpg,552.48,17.46,4.83,False,False,True
6,6,6.jpg,528.87,12.93,3.16,True,True,True
7,7,7.jpg,533.39,14.25,3.37,True,True,True
8,8,8.jpg,546.59,14.77,3.44,True,True,True
9,9,9.jpg,547.04,15.15,3.46,True,False,True
10,10,10.jpg,543.83,14.88,3.45,True,True,True
11,11,11.jpg,543.98,14.79,3.44,True,True,True
12,12,12.jpg,545.44,15.04,3.45,True,False,True
13,13,13.jpg,540.70,14.80,3.44,True,True,True
14,14,14.jpg,552.66,14.84,3.46,True,False,True
15,15,15.jpg,546.75,15.06,3.46,True,False,True
16,16,16.jpg,543.40,14.95,3.47,True,True,True
17,17,17.jpg,536.37,14.78,3.45,True,True,True
18,18,18.jpg,543.62,14.93,3.45,True,True,True
19,19,19.jpg,543.39,14.81,3.45,True,True,True
20,20,20.jpg,540.39,14.79,3.46,True,True,True
21,21,21.jpg,540.35,14.98,3.46,True,True,True
22,22,22.jpg,541.53,14.88,3.47,True,True,True
23,23,23.jpg,535.92,14.92,3.46,True,True,True
24,24,24.jpg,545.57,15.31,3.62,True,False,True
25,25,25.jpg,542.76,15.47,3.68,True,True,True
26,26,26.jpg,545.59,15.62,3.69,True,False,True
27,27,27.jpg,539.21,15.66,3.65,True,True,True
28,28,28.jpg,546.21,15.30,3.55,True,False,True
29,29,29.jpg,547.16,15.59,3.64,False,False,True
30,30,30.jpg,544.93,15.63,3.65,True,False,True
31,31,31.jpg,545.82,15.62,3.65,True,False,True
32,32,32.jpg,547.52,15.65,3.67,False,False,True
33,33,33.jpg,541.63,15.69,3.65,True,True,True
34,34,34.jpg,553.06,15.62,3.67,False,False,True
35,35,35.jpg,547.12,15.62,3.69,False,False,True
36,36,36.jpg,559.58,15.93,3.78,False,False,True
37,37,37.jpg,551.33,15.46,3.64,False,False,True
38,38,38.jpg,558.13,15.43,3.62,False,False,True
39,39,39.jpg,558.90,15.54,3.61,False,False,True
40,40,40.jpg,555.31,15.32,3.60,False,False,True
41,41,41.jpg,557.05,15.43,3.61,False,False,True
42,42,42.jpg,557.57,15.63,3.62,False,False,True
43,43,43.jpg,552.34,15.31,3.57,True,False,True
44,44,44.jpg,563.87,15.32,3.57,True,False,True
45,45,45.jpg,558.54,15.60,3.59,False,False,True
46,46,46.jpg,550.79,15.38,3.60,False,False,True
47,47,47.jpg,544.37,15.24,3.55,True,True,True
48,48,48.jpg,552.00,15.40,3.56,True,False,True
49,49,49.jpg,552.18,15.34,3.57,True,False,True
50,50,50.jpg,549.28,15.32,3.57,True,False,True
51,51,51.jpg,549.66,15.56,3.58,False,False,True
52,52,52.jpg,550.57,15.36,3.58,False,False,True
53,53,53.jpg,546.69,15.36,3.58,False,False,True
54,54,54.jpg,556.95,15.60,3.60,False,False,True
55,55,55.jpg,551.53,15.33,3.57,True,False,True
56,56,56.jpg,560.13,15.39,3.58,False,False,True
57,57,57.jpg,554.79,15.60,3.58,False,False,True
58,58,58.jpg,563.39,15.45,3.58,False,False,True
59,59,59.jpg,562.47,15.43,3.58,False,False,True
60,60,60.jpg,558.58,15.62,3.59,False,False,True
61,61,61.jpg,558.37,15.44,3.59,False,False,True
62,62,62.jpg,559.51,15.44,3.59,False,False,True
63,63,63.jpg,556.10,15.63,3.59,False,False,True
64,64,64.jpg,567.61,15.49,3.60,False,False,True
65,65,65.jpg,562.42,15.44,3.60,False,False,True
66,66,66.jpg,561.48,15.67,3.60,False,False,True
67,67,67.jpg,555.12,15.53,3.60,False,False,True
68,68,68.jpg,562.30,15.61,3.64,False,False,True
69,69,69.jpg,560.91,15.60,3.60,False,False,True
70,70,70.jpg,557.27,15.30,3.57,True,False,True
71,71,71.jpg,560.85,15.74,3.70,False,False,True
72,72,72.jpg,558.54,15.60,3.60,False,False,True
73,73,73.jpg,554.81,15.39,3.59,False,False,True
74,74,74.jpg,566.02,15.44,3.60,False,False,True
75,75,75.jpg,560.94,15.68,3.61,False,False,True
76,76,76.jpg,557.82,15.50,3.60,False,False,True
77,77,77.jpg,551.41,15.40,3.59,False,False,True
78,78,78.jpg,558.91,15.66,3.60,False,False,True
79,79,79.jpg,558.74,15.56,3.61,False,False,True
80,80,80.jpg,553.00,15.44,3.60,False,False,True
81,81,81.jpg,554.99,15.63,3.61,False,False,True
82,82,82.jpg,556.19,15.58,3.65,False,False,True
83,83,83.jpg,551.80,15.83,3.81,False,False,True
84,84,84.jpg,559.13,15.71,3.70,False,False,True
85,85,85.jpg,552.54,15.30,3.59,False,False,True
86,86,86.jpg,555.37,15.09,3.52,True,False,True
87,87,87.jpg,551.20,15.70,3.72,False,False,True
88,88,88.jpg,559.20,15.61,3.72,False,False,True
89,89,89.jpg,558.97,15.64,3.73,False,False,True
90,90,90.jpg,557.34,15.85,3.74,False,False,True
91,91,91.jpg,556.94,15.63,3.71,False,False,True
92,92,92.jpg,558.00,15.58,3.67,False,False,True
93,93,93.jpg,552.33,15.68,3.70,False,False,True
94,94,94.jpg,563.60,15.56,3.68,False,False,True
95,95,95.jpg,557.68,15.51,3.68,False,False,True
96,96,96.jpg,555.52,15.73,3.70,False,False,True
97,97,97.jpg,548.29,15.51,3.68,False,False,True
98,98,98.jpg,556.15,15.55,3.70,False,False,True
99,99,99.jpg,555.75,15.78,3.72,False,False,True
100,100,100.jpg,553.48,15.61,3.72,False,False,True
101,101,101.jpg,554.97,15.70,3.73,False,False,True
102,102,102.jpg,554.67,15.89,3.74,False,False,True
103,103,103.jpg,550.35,15.65,3.71,False,False,True
104,104,104.jpg,561.59,15.62,3.70,False,False,True
105,105,105.jpg,554.75,15.74,3.69,False,False,True
106,106,106.jpg,546.97,15.47,3.64,False,False,True
107,107,107.jpg,540.83,15.35,3.62,True,True,True
108,108,108.jpg,545.14,15.52,3.68,True,False,True
109,109,109.jpg,543.90,15.34,3.65,True,True,True
110,110,110.jpg,540.58,15.29,3.64,True,True,True
111,111,111.jpg,542.05,15.61,3.66,True,True,True
112,112,112.jpg,542.82,15.39,3.65,True,True,True
113,113,113.jpg,538.62,15.40,3.66,True,True,True
114,114,114.jpg,549.09,15.57,3.64,False,False,True
115,115,115.jpg,543.94,15.36,3.64,True,True,True
116,116,116.jpg,553.28,15.45,3.65,False,False,True
117,117,117.jpg,546.42,15.58,3.65,True,False,True
118,118,118.jpg,554.49,15.42,3.64,False,False,True
119,119,119.jpg,553.37,15.39,3.63,False,False,True
120,120,120.jpg,549.63,15.48,3.60,False,False,True
121,121,121.jpg,550.41,15.19,3.57,False,False,True
122,122,122.jpg,550.72,15.31,3.61,False,False,True
123,123,123.jpg,546.08,15.32,3.61,True,False,True
124,124,124.jpg,557.91,15.28,3.62,False,False,True
125,125,125.jpg,552.47,15.16,3.61,True,False,True
126,126,126.jpg,551.62,15.42,3.62,False,False,True
127,127,127.jpg,544.96,15.24,3.61,True,False,True
128,128,128.jpg,552.85,15.32,3.62,False,False,True
129,129,129.jpg,550.93,15.30,3.61,False,False,True
130,130,130.jpg,545.97,15.02,3.57,True,False,True
131,131,131.jpg,547.10,15.07,3.54,True,False,True
132,132,132.jpg,549.41,15.30,3.61,False,False,True
133,133,133.jpg,545.02,15.05,3.57,True,False,True
134,134,134.jpg,556.63,15.08,3.57,True,False,True
135,135,135.jpg,550.96,15.24,3.57,True,False,True
136,136,136.jpg,547.83,15.04,3.56,True,False,True
137,137,137.jpg,541.12,14.99,3.56,True,True,True
138,138,138.jpg,549.01,15.27,3.58,False,False,True
139,139,139.jpg,548.35,15.09,3.57,True,False,True
140,140,140.jpg,545.17,15.07,3.58,True,False,True
141,141,141.jpg,546.39,15.31,3.59,True,False,True
142,142,142.jpg,546.66,15.13,3.57,True,False,True
143,143,143.jpg,542.35,15.05,3.57,True,True,True
144,144,144.jpg,552.91,15.32,3.59,False,False,True
145,145,145.jpg,547.46,15.07,3.57,True,False,True
146,146,146.jpg,549.38,15.13,3.58,True,False,True
147,147,147.jpg,542.71,15.42,3.61,True,True,True
148,148,148.jpg,551.90,15.32,3.64,False,False,True
149,149,149.jpg,549.82,15.26,3.64,False,False,True
150,150,150.jpg,546.55,15.34,3.64,True,False,True
151,151,151.jpg,547.85,15.27,3.63,False,False,True
152,152,152.jpg,547.88,15.26,3.64,False,False,True
153,153,153.jpg,543.72,15.43,3.64,True,True,True
154,154,154.jpg,555.41,15.36,3.65,False,False,True
155,155,155.jpg,549.86,15.36,3.64,False,False,True
156,156,156.jpg,566.79,15.62,3.67,False,False,True
157,157,157.jpg,559.42,15.35,3.65,False,False,True
158,158,158.jpg,567.62,15.42,3.66,False,False,True
159,159,159.jpg,567.65,15.68,3.70,False,False,True
160,160,160.jpg,563.51,15.33,3.64,False,False,True
161,161,161.jpg,565.06,15.15,3.60,True,False,True
162,162,162.jpg,564.68,15.39,3.64,False,False,True
163,163,163.jpg,558.75,15.11,3.54,True,False,True
164,164,164.jpg,570.14,14.99,3.54,True,False,True
165,165,165.jpg,565.84,15.21,3.57,True,False,True
166,166,166.jpg,558.32,15.11,3.57,True,False,True
167,167,167.jpg,552.51,15.02,3.55,True,False,True
168,168,168.jpg,560.31,15.35,3.58,False,False,True
169,169,169.jpg,559.87,15.13,3.57,True,False,True
170,170,170.jpg,557.68,15.17,3.58,False,False,True
171,171,171.jpg,556.66,15.30,3.58,False,False,True
172,172,172.jpg,557.40,15.10,3.59,True,False,True
173,173,173.jpg,553.60,15.08,3.58,True,False,True
174,174,174.jpg,563.47,15.28,3.60,False,False,True
175,175,175.jpg,558.98,15.09,3.59,True,False,True
176,176,176.jpg,566.85,15.21,3.60,False,False,True
177,177,177.jpg,558.94,15.17,3.55,True,False,True
178,178,178.jpg,566.41,15.15,3.62,True,False,True
179,179,179.jpg,565.99,15.08,3.63,True,False,True
180,180,180.jpg,557.81,14.40,3.50,True,True,True
181,181,181.jpg,562.00,14.92,3.60,True,False,True
