processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,511.75,13.50,3.06,False,False,True
1,1,1.jpg,505.90,13.41,3.05,False,False,True
2,2,2.jpg,495.17,19.12,4.88,False,False,True
3,3,3.jpg,506.38,16.57,4.58,False,False,True
4,4,4.jpg,476.72,9.21,2.46,True,True,True
5,5,5.jpg,512.54,13.91,3.20,False,False,True
6,6,6.jpg,511.52,13.45,3.13,False,False,True
7,7,7.jpg,518.74,13.14,3.03,False,False,True
8,8,8.jpg,514.43,13.22,3.03,False,False,True
9,9,9.jpg,518.56,13.91,3.11,False,False,True
10,10,10.jpg,516.07,13.78,3.11,False,False,True
11,11,11.jpg,497.79,12.62,2.94,True,False,True
12,12,12.jpg,484.25,9.64,2.78,True,True,True
13,13,13.jpg,484.94,11.48,3.40,True,True,True
14,14,14.jpg,482.21,13.22,3.75,True,True,True
15,15,15.jpg,488.11,13.85,4.07,True,False,True
16,16,16.jpg,482.74,13.86,3.98,True,True,True
17,17,17.jpg,461.39,13.19,3.83,True,True,True
18,18,18.jpg,487.29,14.43,4.17,True,False,True
19,19,19.jpg,479.65,13.79,3.56,True,True,True
20,20,20.jpg,473.54,13.87,3.75,True,True,True
21,21,21.jpg,484.02,13.71,3.49,True,True,True
22,22,22.jpg,486.31,14.80,3.83,True,True,True
23,23,23.jpg,481.68,13.59,3.45,True,True,True
24,24,24.jpg,484.60,13.89,3.82,True,True,True
25,25,25.jpg,483.41,13.21,3.54,True,True,True
26,26,26.jpg,491.90,14.58,3.52,False,False,True
27,27,27.jpg,492.19,15.30,4.22,False,False,True
28,28,28.jpg,486.91,15.86,4.41,True,True,True
29,29,29.jpg,490.39,14.79,3.75,False,False,True
30,30,30.jpg,484.73,11.75,3.22,True,True,True
31,31,31.jpg,480.66,9.62,2.57,True,True,True
32,32,32.jpg,488.72,9.92,2.61,True,True,True
33,33,33.jpg,526.75,14.06,3.22,False,False,True
34,34,34.jpg,520.67,13.13,3.00,True,False,True
35,35,35.jpg,523.42,13.78,3.11,False,False,True
36,36,36.jpg,527.16,14.70,3.44,False,False,True
37,37,37.jpg,530.58,14.06,3.24,False,False,True
38,38,38.jpg,530.96,14.44,3.21,False,False,True
39,39,39.jpg,527.74,14.32,3.37,False,False,True
40,40,40.jpg,506.49,13.48,3.05,False,False,True
41,41,41.jpg,484.86,9.08,2.50,True,True,True
42,42,42.jpg,489.49,11.31,3.16,True,True,True
43,43,43.jpg,492.00,13.42,3.50,False,False,True
44,44,44.jpg,490.43,14.23,4.05,False,False,True
45,45,45.jpg,488.77,14.64,4.15,True,False,True
46,46,46.jpg,479.51,15.70,4.16,True,True,True
47,47,47.jpg,493.08,14.51,4.27,False,False,True
48,48,48.jpg,491.65,13.17,3.88,False,False,True
49,49,49.jpg,490.01,13.95,3.64,False,False,True
50,50,50.jpg,482.57,13.41,3.42,True,True,True
51,51,51.jpg,495.82,13.63,3.32,False,False,True
52,52,52.jpg,487.52,14.24,3.59,True,False,True
53,53,53.jpg,495.61,12.89,3.55,False,False,True
54,54,54.jpg,489.07,13.36,3.40,True,False,True
55,55,55.jpg,490.47,13.14,3.43,False,False,True
56,56,56.jpg,490.23,13.68,3.86,False,False,True
57,57,57.jpg,496.48,13.49,3.42,False,False,True
58,58,58.jpg,499.44,14.93,3.70,False,False,True
59,59,59.jpg,497.13,14.44,3.92,False,False,True
60,60,60.jpg,492.86,13.82,3.68,False,False,True
61,61,61.jpg,494.25,12.56,3.14,True,False,True
62,62,62.jpg,500.80,12.88,3.42,False,False,True
63,63,63.jpg,481.70,10.58,2.78,True,True,True
64,64,64.jpg,498.51,12.26,2.92,True,False,True
65,65,65.jpg,513.41,13.62,3.23,False,False,True
66,66,66.jpg,514.19,13.14,3.01,False,False,True
67,67,67.jpg,518.68,13.03,3.00,True,False,True
68,68,68.jpg,517.57,13.10,3.01,False,False,True
69,69,69.jpg,516.66,13.38,3.04,False,False,True
70,70,70.jpg,511.94,12.70,2.95,True,False,True
71,71,71.jpg,521.19,13.56,3.08,False,False,True
72,72,72.jpg,517.70,13.20,3.01,False,False,True
73,73,73.jpg,515.02,13.14,3.03,False,False,True
74,74,74.jpg,515.74,13.16,3.03,False,False,True
75,75,75.jpg,516.40,13.28,3.04,False,False,True
76,76,76.jpg,513.28,12.92,2.99,True,False,True
77,77,77.jpg,517.73,12.83,2.98,True,False,True
78,78,78.jpg,512.37,12.78,2.95,True,False,True
79,79,79.jpg,514.44,13.24,3.09,False,False,True
80,80,80.jpg,509.29,12.63,2.93,True,False,True
81,81,81.jpg,514.48,12.85,2.96,True,False,True
82,82,82.jpg,517.69,12.99,2.99,True,False,True
83,83,83.jpg,514.03,12.85,2.98,True,False,True
84,84,84.jpg,515.28,13.25,3.01,False,False,True
85,85,85.jpg,517.00,12.88,2.97,True,False,True
86,86,86.jpg,514.00,12.84,2.98,True,False,True
87,87,87.jpg,519.08,12.81,2.96,True,False,True
88,88,88.jpg,515.07,12.76,2.95,True,False,True
89,89,89.jpg,518.46,12.75,2.97,True,False,True
90,90,90.jpg,514.02,12.76,2.97,True,False,True
91,91,91.jpg,517.56,12.76,2.96,True,False,True
92,92,92.jpg,518.75,13.07,3.01,False,False,True
93,93,93.jpg,518.41,13.53,3.06,False,False,True
94,94,94.jpg,517.64,13.15,3.02,False,False,True
95,95,95.jpg,517.81,13.27,3.03,False,False,True
96,96,96.jpg,514.59,13.17,3.02,False,False,True
97,97,97.jpg,518.38,12.83,2.98,True,False,True
98,98,98.jpg,515.24,12.78,2.97,True,False,True
99,99,99.jpg,510.49,12.72,2.94,True,False,True
100,100,100.jpg,511.63,13.06,2.99,True,False,True
101,101,101.jpg,516.67,13.44,3.04,False,False,True
102,102,102.jpg,514.83,13.22,3.02,False,False,True
103,103,103.jpg,512.41,13.39,3.03,False,False,True
104,104,104.jpg,482.85,9.96,2.57,True,True,True
105,105,105.jpg,480.97,8.65,2.57,True,True,True
106,106,106.jpg,478.85,12.36,3.36,True,True,True
107,107,107.jpg,492.57,13.54,3.36,False,False,True
108,108,108.jpg,487.99,12.66,3.23,True,False,True
109,109,109.jpg,495.92,14.46,3.60,False,False,True
110,110,110.jpg,494.83,13.53,3.56,False,False,True
111,111,111.jpg,496.38,13.67,3.65,False,False,True
112,112,112.jpg,495.50,14.20,3.73,False,False,True
113,113,113.jpg,486.13,14.24,3.56,True,True,True
114,114,114.jpg,493.65,14.21,3.85,False,False,True
115,115,115.jpg,493.88,14.18,3.61,False,False,True
116,116,116.jpg,493.04,14.41,4.09,False,False,True
117,117,117.jpg,501.00,14.43,3.77,False,False,True
118,118,118.jpg,501.85,15.52,4.19,False,False,True
119,119,119.jpg,512.68,14.90,4.00,False,False,True
120,120,120.jpg,498.42,14.89,4.19,False,False,True
121,121,121.jpg,491.74,15.65,4.60,False,False,True
122,122,122.jpg,500.09,13.68,3.72,False,False,True
123,123,123.jpg,478.06,8.15,2.37,True,True,True
124,124,124.jpg,506.06,13.08,3.01,False,False,True
125,125,125.jpg,518.12,13.94,3.12,False,False,True
126,126,126.jpg,520.55,14.21,3.16,False,False,True
127,127,127.jpg,529.05,14.47,3.21,False,False,True
