processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,556.59,17.39,4.95,True,True,True
1,1,1.jpg,562.94,18.38,5.17,True,True,True
2,2,2.jpg,569.22,18.38,5.11,True,True,True
3,3,3.jpg,547.88,10.92,3.26,True,True,True
4,4,4.jpg,559.37,11.90,3.53,True,True,True
5,5,5.jpg,569.10,11.82,3.44,True,True,True
6,6,6.jpg,574.39,12.18,3.53,True,True,True
7,7,7.jpg,574.74,12.21,3.55,True,True,True
8,8,8.jpg,567.09,12.17,3.56,True,True,True
9,9,9.jpg,575.15,12.25,3.60,True,True,True
10,10,10.jpg,574.43,12.29,3.60,True,True,True
11,11,11.jpg,573.26,12.37,3.62,True,True,True
12,12,12.jpg,572.84,12.35,3.61,True,True,True
13,13,13.jpg,572.54,12.35,3.61,True,True,True
14,14,14.jpg,568.57,12.34,3.61,True,True,True
15,15,15.jpg,579.13,12.42,3.61,True,True,True
16,16,16.jpg,575.90,12.58,3.63,True,True,True
17,17,17.jpg,567.16,12.42,3.59,True,True,True
18,18,18.jpg,555.46,12.13,3.51,True,True,True
19,19,19.jpg,564.45,13.22,3.74,True,True,True
20,20,20.jpg,568.45,14.08,4.06,True,True,True
21,21,21.jpg,564.96,14.25,4.07,True,True,True
22,22,22.jpg,561.05,14.21,4.08,True,True,True
23,23,23.jpg,558.42,14.21,4.08,True,True,True
24,24,24.jpg,553.81,14.35,4.08,True,True,True
25,25,25.jpg,562.82,14.76,4.20,True,True,True
26,26,26.jpg,562.44,14.99,4.25,True,True,True
27,27,27.jpg,591.16,17.01,5.05,False,False,True
28,28,28.jpg,589.49,17.39,5.11,False,False,True
29,29,29.jpg,600.55,17.66,5.18,False,False,True
30,30,30.jpg,595.50,17.38,5.09,False,False,True
31,31,31.jpg,594.70,17.58,5.20,False,False,True
32,32,32.jpg,602.91,17.68,5.22,False,False,True
33,33,33.jpg,601.27,17.71,5.21,False,False,True
34,34,34.jpg,600.85,18.13,5.37,False,False,True
35,35,35.jpg,613.67,18.49,5.50,False,False,True
36,36,36.jpg,613.66,18.84,5.61,False,False,True
37,37,37.jpg,614.93,19.25,5.73,False,False,True
38,38,38.jpg,610.41,19.29,5.74,False,False,True
39,39,39.jpg,613.86,19.16,5.71,False,False,True
40,40,40.jpg,612.72,19.16,5.71,False,False,True
41,41,41.jpg,609.50,19.12,5.70,False,False,True
42,42,42.jpg,609.83,19.16,5.69,False,False,True
43,43,43.jpg,616.83,19.32,5.71,False,False,True
44,44,44.jpg,611.44,19.24,5.69,False,False,True
45,45,45.jpg,623.97,19.35,5.72,False,False,True
46,46,46.jpg,616.84,19.22,5.71,False,False,True
47,47,47.jpg,612.01,19.32,5.72,False,False,True
48,48,48.jpg,610.75,19.35,5.73,False,False,True
49,49,49.jpg,614.91,19.48,5.73,False,False,True
50,50,50.jpg,612.99,19.54,5.76,False,False,True
51,51,51.jpg,610.29,19.38,5.72,False,False,True
52,52,52.jpg,611.43,19.55,5.75,False,False,True
53,53,53.jpg,611.02,19.43,5.75,False,False,True
54,54,54.jpg,609.15,19.48,5.74,False,False,True
55,55,55.jpg,598.20,16.12,5.00,False,False,True
56,56,56.jpg,593.93,16.27,4.97,False,False,True
57,57,57.jpg,590.10,15.88,4.85,False,False,True
58,58,58.jpg,581.19,14.46,4.67,False,False,True
59,59,59.jpg,589.86,13.81,4.47,False,False,True
60,60,60.jpg,604.84,15.06,4.92,False,False,True
61,61,61.jpg,601.62,14.88,4.87,False,False,True
62,62,62.jpg,612.82,15.36,4.91,False,False,True
63,63,63.jpg,580.00,13.59,4.22,True,False,True
64,64,64.jpg,574.91,13.60,3.86,True,True,True
65,65,65.jpg,583.85,13.55,3.86,True,True,True
66,66,66.jpg,577.90,13.51,3.85,True,True,True
67,67,67.jpg,577.39,13.51,3.85,True,True,True
68,68,68.jpg,569.72,13.48,3.85,True,True,True
69,69,69.jpg,577.99,13.51,3.85,True,True,True
70,70,70.jpg,582.27,13.68,3.86,True,True,True
71,71,71.jpg,576.29,13.58,3.87,True,True,True
