processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,540.05,13.03,3.47,True,True,True
1,1,1.jpg,531.10,14.28,4.13,True,True,True
2,2,2.jpg,530.44,12.73,3.53,True,True,True
3,3,3.jpg,539.85,10.07,2.76,True,True,True
4,4,4.jpg,537.09,10.10,2.76,True,True,True
5,5,5.jpg,536.91,10.11,2.77,True,True,True
6,6,6.jpg,542.38,10.47,2.82,True,True,True
7,7,7.jpg,539.51,10.45,2.81,True,True,True
8,8,8.jpg,543.00,10.54,2.85,True,False,True
9,9,9.jpg,549.98,10.84,2.92,False,False,True
10,10,10.jpg,551.44,11.05,2.98,False,False,True
11,11,11.jpg,557.00,11.35,3.04,False,False,True
12,12,12.jpg,557.84,11.32,3.06,False,False,True
13,13,13.jpg,556.34,10.35,2.87,True,True,True
14,14,14.jpg,549.76,9.90,2.81,True,True,True
15,15,15.jpg,547.18,9.87,2.85,True,True,True
16,16,16.jpg,550.31,10.17,2.89,True,True,True
17,17,17.jpg,546.22,10.26,2.97,True,True,True
18,18,18.jpg,549.89,10.46,2.97,True,False,True
19,19,19.jpg,551.17,10.32,2.88,True,True,True
20,20,20.jpg,548.77,10.46,2.91,True,False,True
21,21,21.jpg,545.20,10.43,2.91,True,False,True
22,22,22.jpg,547.03,10.92,2.96,True,False,True
23,23,23.jpg,551.22,11.00,2.99,False,False,True
24,24,24.jpg,548.86,10.96,2.99,False,False,True
25,25,25.jpg,548.74,11.14,3.03,False,False,True
26,26,26.jpg,551.44,11.16,3.04,False,False,True
27,27,27.jpg,551.42,11.22,3.01,False,False,True
28,28,28.jpg,553.39,11.09,3.01,False,False,True
29,29,29.jpg,556.42,11.12,2.98,False,False,True
30,30,30.jpg,553.02,11.24,3.03,False,False,True
31,31,31.jpg,547.13,11.23,3.03,True,False,True
32,32,32.jpg,551.90,11.73,3.10,False,False,True
33,33,33.jpg,554.45,11.62,3.10,False,False,True
34,34,34.jpg,550.81,11.61,3.09,False,False,True
35,35,35.jpg,550.24,11.54,3.08,False,False,True
36,36,36.jpg,548.61,11.16,3.00,False,False,True
37,37,37.jpg,545.02,10.91,2.96,True,False,True
38,38,38.jpg,548.88,11.09,2.99,False,False,True
39,39,39.jpg,551.78,11.05,2.99,False,False,True
40,40,40.jpg,551.99,11.06,2.97,False,False,True
41,41,41.jpg,547.59,11.05,2.96,False,False,True
42,42,42.jpg,547.07,10.86,2.91,True,False,True
43,43,43.jpg,551.93,11.09,2.94,False,False,True
44,44,44.jpg,548.72,11.03,2.93,False,False,True
45,45,45.jpg,550.20,10.96,2.92,False,False,True
46,46,46.jpg,550.22,10.96,2.92,False,False,True
47,47,47.jpg,547.83,10.94,2.92,True,False,True
48,48,48.jpg,551.51,11.18,2.95,False,False,True
49,49,49.jpg,557.05,11.31,3.00,False,False,True
50,50,50.jpg,564.09,11.73,3.08,False,False,True
51,51,51.jpg,568.64,12.03,3.17,False,False,True
52,52,52.jpg,569.78,12.01,3.19,False,False,True
53,53,53.jpg,570.91,11.77,3.14,False,False,True
54,54,54.jpg,567.67,12.28,3.33,False,False,True
55,55,55.jpg,566.57,12.37,3.41,False,False,True
56,56,56.jpg,566.14,12.22,3.39,False,False,True
57,57,57.jpg,560.00,11.66,3.20,False,False,True
58,58,58.jpg,563.52,11.41,3.16,False,False,True
