processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,534.74,11.93,3.67,True,True,True
1,1,1.jpg,556.08,15.11,4.78,False,False,True
2,2,2.jpg,574.45,22.06,6.41,False,False,True
3,3,3.jpg,575.50,21.74,6.32,False,False,True
4,4,4.jpg,574.85,21.45,6.28,False,False,True
5,5,5.jpg,574.88,21.49,6.38,False,False,True
6,6,6.jpg,538.02,9.08,3.13,True,True,True
7,7,7.jpg,549.12,9.28,3.46,True,True,True
8,8,8.jpg,545.15,9.35,3.51,True,True,True
9,9,9.jpg,547.02,9.34,3.50,True,True,True
10,10,10.jpg,539.13,9.28,3.49,True,True,True
11,11,11.jpg,553.49,9.33,3.48,True,True,True
12,12,12.jpg,552.48,9.30,3.49,True,True,True
13,13,13.jpg,549.66,9.29,3.50,True,True,True
14,14,14.jpg,550.39,9.33,3.51,True,True,True
15,15,15.jpg,552.04,9.35,3.54,True,True,True
16,16,16.jpg,548.83,9.41,3.55,True,True,True
17,17,17.jpg,559.13,9.43,3.57,True,True,True
18,18,18.jpg,553.67,9.42,3.57,True,True,True
19,19,19.jpg,546.55,9.43,3.56,True,True,True
20,20,20.jpg,540.57,9.34,3.55,True,True,True
21,21,21.jpg,548.66,9.39,3.56,True,True,True
22,22,22.jpg,546.79,9.83,3.62,True,True,True
23,23,23.jpg,543.17,10.20,3.38,True,True,True
24,24,24.jpg,556.79,12.04,3.86,False,False,True
25,25,25.jpg,540.64,10.39,3.32,True,True,True
26,26,26.jpg,596.79,22.96,5.60,False,False,True
27,27,27.jpg,602.18,26.34,6.55,False,False,True
28,28,28.jpg,558.56,18.41,4.66,False,False,True
29,29,29.jpg,605.85,22.18,5.62,False,False,True
30,30,30.jpg,612.84,22.40,5.59,False,False,True
31,31,31.jpg,588.60,19.27,4.70,False,False,True
32,32,32.jpg,598.21,19.39,4.73,False,False,True
33,33,33.jpg,593.09,19.36,4.70,False,False,True
34,34,34.jpg,594.98,18.87,4.46,False,False,True
35,35,35.jpg,594.41,18.66,4.43,False,False,True
36,36,36.jpg,605.34,19.61,4.65,False,False,True
37,37,37.jpg,604.82,19.12,4.61,False,False,True
38,38,38.jpg,597.44,19.50,4.68,False,False,True
39,39,39.jpg,590.86,19.32,4.68,False,False,True
40,40,40.jpg,584.70,19.26,4.61,False,False,True
41,41,41.jpg,600.43,20.23,4.82,False,False,True
42,42,42.jpg,596.80,20.07,4.77,False,False,True
43,43,43.jpg,596.02,20.28,4.80,False,False,True
44,44,44.jpg,608.07,21.32,5.05,False,False,True
