processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,582.53,17.16,4.33,True,True,True
1,1,1.jpg,556.30,17.94,4.71,True,True,True
2,2,2.jpg,621.72,19.92,5.16,False,False,True
3,3,3.jpg,612.62,20.22,5.15,False,False,True
4,4,4.jpg,615.06,20.07,5.18,False,False,True
5,5,5.jpg,608.19,19.68,5.06,True,False,True
6,6,6.jpg,579.02,17.30,4.59,True,True,True
7,7,7.jpg,582.21,15.95,4.17,True,True,True
8,8,8.jpg,602.61,17.29,4.31,True,True,True
9,9,9.jpg,606.89,17.61,4.36,True,True,True
10,10,10.jpg,601.22,17.42,4.33,True,True,True
11,11,11.jpg,597.14,16.99,4.31,True,True,True
12,12,12.jpg,603.77,17.34,4.36,True,True,True
13,13,13.jpg,595.32,17.27,4.30,True,True,True
14,14,14.jpg,608.59,17.41,4.33,True,True,True
15,15,15.jpg,605.25,17.59,4.35,True,True,True
16,16,16.jpg,595.88,17.46,4.32,True,True,True
17,17,17.jpg,590.87,17.41,4.31,True,True,True
18,18,18.jpg,598.95,17.55,4.33,True,True,True
19,19,19.jpg,599.93,17.55,4.33,True,True,True
20,20,20.jpg,597.54,17.52,4.33,True,True,True
21,21,21.jpg,598.44,17.69,4.33,True,True,True
22,22,22.jpg,599.35,17.41,4.31,True,True,True
23,23,23.jpg,594.90,17.13,4.26,True,True,True
24,24,24.jpg,603.83,17.24,4.27,True,True,True
25,25,25.jpg,598.71,17.18,4.28,True,True,True
26,26,26.jpg,608.55,17.59,4.33,True,True,True
27,27,27.jpg,602.26,17.67,4.33,True,True,True
28,28,28.jpg,610.68,17.69,4.34,True,True,True
29,29,29.jpg,610.81,17.80,4.37,True,True,True
30,30,30.jpg,605.91,17.89,4.37,True,False,True
31,31,31.jpg,607.53,17.69,4.35,True,True,True
32,32,32.jpg,608.63,17.89,4.38,True,False,True
33,33,33.jpg,603.42,17.80,4.36,True,True,True
34,34,34.jpg,615.91,18.01,4.40,True,False,True
35,35,35.jpg,608.70,18.02,4.44,True,False,True
36,36,36.jpg,609.33,18.05,4.41,True,False,True
37,37,37.jpg,599.63,17.95,4.40,True,True,True
38,38,38.jpg,609.55,18.13,4.43,True,False,True
39,39,39.jpg,608.97,18.26,4.40,True,False,True
40,40,40.jpg,608.71,18.10,4.39,True,False,True
41,41,41.jpg,616.12,18.37,4.44,False,False,True
42,42,42.jpg,620.44,18.56,4.49,False,False,True
43,43,43.jpg,613.00,18.21,4.44,False,False,True
44,44,44.jpg,613.13,18.07,4.35,True,False,True
45,45,45.jpg,605.73,17.92,4.30,True,True,True
46,46,46.jpg,601.76,17.88,4.31,True,True,True
47,47,47.jpg,595.27,17.82,4.31,True,True,True
48,48,48.jpg,601.47,17.77,4.27,True,True,True
49,49,49.jpg,616.18,18.54,4.46,False,False,True
50,50,50.jpg,605.86,18.19,4.39,True,False,True
51,51,51.jpg,608.04,18.49,4.41,True,False,True
52,52,52.jpg,610.39,18.40,4.44,False,False,True
53,53,53.jpg,605.79,18.28,4.42,True,False,True
54,54,54.jpg,615.47,18.44,4.44,False,False,True
55,55,55.jpg,609.93,18.25,4.40,True,False,True
56,56,56.jpg,613.31,18.42,4.42,False,False,True
57,57,57.jpg,606.80,18.67,4.45,True,False,True
58,58,58.jpg,614.10,18.42,4.43,False,False,True
59,59,59.jpg,614.28,18.42,4.43,False,False,True
60,60,60.jpg,610.66,18.51,4.44,False,False,True
61,61,61.jpg,611.67,18.36,4.42,False,False,True
62,62,62.jpg,612.83,18.50,4.44,False,False,True
63,63,63.jpg,606.49,18.46,4.43,True,False,True
64,64,64.jpg,618.71,18.48,4.44,False,False,True
65,65,65.jpg,612.68,18.49,4.44,False,False,True
66,66,66.jpg,626.64,18.55,4.45,False,False,True
67,67,67.jpg,618.67,18.40,4.44,False,False,True
68,68,68.jpg,626.63,18.49,4.45,False,False,True
69,69,69.jpg,627.28,18.67,4.46,False,False,True
70,70,70.jpg,624.47,18.52,4.47,False,False,True
71,71,71.jpg,625.53,18.53,4.46,False,False,True
72,72,72.jpg,624.41,18.42,4.44,False,False,True
73,73,73.jpg,621.25,18.53,4.46,False,False,True
74,74,74.jpg,632.13,18.50,4.46,False,False,True
75,75,75.jpg,625.98,18.61,4.47,False,False,True
