processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,596.65,14.92,3.88,False,False,True
1,1,1.jpg,586.44,14.20,3.97,True,False,True
2,2,2.jpg,612.25,15.40,4.23,False,False,True
3,3,3.jpg,586.47,14.80,3.87,True,False,True
4,4,4.jpg,623.54,17.68,5.48,False,False,True
5,5,5.jpg,634.72,19.98,6.05,False,False,True
6,6,6.jpg,578.15,13.21,3.46,True,True,True
7,7,7.jpg,572.24,12.91,3.54,True,True,True
8,8,8.jpg,579.34,14.78,3.81,True,True,True
9,9,9.jpg,598.28,14.73,3.81,False,False,True
10,10,10.jpg,590.68,15.75,4.24,False,False,True
11,11,11.jpg,592.66,15.73,4.12,False,False,True
12,12,12.jpg,594.81,17.53,4.68,False,False,True
13,13,13.jpg,591.83,16.51,4.39,False,False,True
14,14,14.jpg,602.50,15.91,4.20,False,False,True
15,15,15.jpg,593.07,15.62,4.12,False,False,True
16,16,16.jpg,589.45,16.47,4.41,False,False,True
17,17,17.jpg,620.26,16.94,4.39,False,False,True
18,18,18.jpg,587.95,15.60,4.07,False,False,True
19,19,19.jpg,598.17,15.23,4.00,False,False,True
20,20,20.jpg,614.64,15.92,4.25,False,False,True
21,21,21.jpg,592.95,14.35,3.81,False,False,True
22,22,22.jpg,582.20,13.77,3.69,True,False,True
23,23,23.jpg,611.71,16.68,4.61,False,False,True
24,24,24.jpg,589.05,13.74,3.64,False,False,True
25,25,25.jpg,599.07,16.73,4.36,False,False,True
26,26,26.jpg,579.09,14.66,3.78,True,True,True
27,27,27.jpg,591.62,16.20,4.32,False,False,True
28,28,28.jpg,577.94,14.49,3.84,True,True,True
29,29,29.jpg,606.45,14.16,3.89,False,False,True
30,30,30.jpg,589.12,14.22,3.87,False,False,True
31,31,31.jpg,595.79,14.33,3.93,False,False,True
32,32,32.jpg,592.56,14.15,3.91,False,False,True
33,33,33.jpg,607.74,15.13,4.13,False,False,True
34,34,34.jpg,595.62,13.96,3.94,False,False,True
35,35,35.jpg,600.14,14.49,3.93,False,False,True
36,36,36.jpg,602.02,14.72,4.01,False,False,True
37,37,37.jpg,586.85,14.83,4.05,False,False,True
38,38,38.jpg,594.69,13.20,3.61,False,False,True
39,39,39.jpg,604.11,12.88,3.55,False,False,True
40,40,40.jpg,617.17,13.37,3.71,False,False,True
41,41,41.jpg,590.83,12.48,3.40,False,False,True
42,42,42.jpg,587.39,12.95,3.46,False,False,True
43,43,43.jpg,589.21,11.37,3.05,True,False,True
44,44,44.jpg,582.17,11.17,2.98,True,False,True
45,45,45.jpg,585.96,11.46,2.96,True,False,True
46,46,46.jpg,600.98,10.18,2.83,True,True,True
47,47,47.jpg,579.81,9.28,2.52,True,True,True
48,48,48.jpg,579.18,12.05,3.12,True,True,True
49,49,49.jpg,593.65,14.40,4.15,False,False,True
50,50,50.jpg,590.94,13.55,4.09,False,False,True
51,51,51.jpg,610.00,14.74,4.32,False,False,True
52,52,52.jpg,618.36,14.94,4.50,False,False,True
53,53,53.jpg,622.70,15.68,4.66,False,False,True
54,54,54.jpg,620.66,15.86,4.66,False,False,True
55,55,55.jpg,606.42,13.17,4.12,False,False,True
56,56,56.jpg,596.67,12.40,3.85,False,False,True
57,57,57.jpg,591.92,10.25,3.13,True,True,True
58,58,58.jpg,575.09,10.66,3.15,True,True,True
59,59,59.jpg,596.36,8.74,2.36,True,True,True
60,60,60.jpg,607.35,13.22,3.68,False,False,True
61,61,61.jpg,593.08,9.51,2.47,True,True,True
62,62,62.jpg,588.06,10.04,2.60,True,True,True
63,63,63.jpg,598.84,10.32,2.60,True,True,True
64,64,64.jpg,579.77,12.43,3.32,True,True,True
65,65,65.jpg,590.40,9.43,2.46,True,True,True
66,66,66.jpg,592.65,9.83,2.58,True,True,True
67,67,67.jpg,585.83,8.82,2.34,True,True,True
68,68,68.jpg,583.49,5.78,1.58,True,True,True
69,69,69.jpg,595.81,6.39,1.65,True,True,True
70,70,70.jpg,589.86,6.11,1.63,True,True,True
71,71,71.jpg,578.56,7.55,1.95,True,True,True
72,72,72.jpg,579.09,7.51,1.88,True,True,True
73,73,73.jpg,582.02,7.82,1.97,True,True,True
