processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,572.28,13.34,3.51,True,False,True
1,1,1.jpg,559.70,11.75,3.83,True,True,True
2,2,2.jpg,587.93,14.51,4.33,False,False,True
3,3,3.jpg,592.32,15.96,4.71,False,False,True
4,4,4.jpg,592.05,15.88,4.71,False,False,True
5,5,5.jpg,595.78,16.05,4.76,False,False,True
6,6,6.jpg,576.33,14.10,3.70,False,False,True
7,7,7.jpg,574.71,14.27,3.68,False,False,True
8,8,8.jpg,587.87,15.94,4.16,False,False,True
9,9,9.jpg,580.78,14.35,3.69,False,False,True
10,10,10.jpg,577.99,14.29,3.68,False,False,True
11,11,11.jpg,572.08,14.32,3.67,False,False,True
12,12,12.jpg,579.43,14.63,3.76,False,False,True
13,13,13.jpg,578.66,14.49,3.74,False,False,True
14,14,14.jpg,567.30,14.26,3.68,True,False,True
15,15,15.jpg,575.66,14.41,3.68,False,False,True
16,16,16.jpg,574.25,14.25,3.67,False,False,True
17,17,17.jpg,570.89,14.31,3.67,False,False,True
18,18,18.jpg,582.75,14.42,3.68,False,False,True
19,19,19.jpg,578.79,14.80,3.86,False,False,True
20,20,20.jpg,566.77,13.79,3.63,True,False,True
21,21,21.jpg,562.98,14.17,3.64,True,True,True
22,22,22.jpg,567.94,14.48,3.76,True,False,True
23,23,23.jpg,570.19,14.33,3.69,False,False,True
24,24,24.jpg,565.13,14.18,3.65,True,True,True
25,25,25.jpg,559.59,14.13,3.65,True,True,True
26,26,26.jpg,569.52,14.56,3.77,True,False,True
27,27,27.jpg,564.12,14.39,3.65,True,True,True
28,28,28.jpg,574.11,14.25,3.66,True,False,True
29,29,29.jpg,569.72,14.59,3.78,False,False,True
30,30,30.jpg,578.07,14.41,3.67,False,False,True
31,31,31.jpg,569.78,14.27,3.71,False,False,True
32,32,32.jpg,577.45,14.19,3.67,False,False,True
33,33,33.jpg,574.58,14.08,3.66,True,False,True
34,34,34.jpg,576.30,13.98,3.58,True,False,True
35,35,35.jpg,557.87,11.05,2.96,True,True,True
36,36,36.jpg,560.24,11.66,3.17,True,True,True
37,37,37.jpg,551.88,12.09,3.39,True,True,True
38,38,38.jpg,571.50,14.11,3.98,False,False,True
39,39,39.jpg,565.72,13.65,3.76,True,False,True
40,40,40.jpg,569.40,13.71,3.72,True,False,True
41,41,41.jpg,561.93,13.57,3.63,True,True,True
42,42,42.jpg,577.79,14.04,3.63,True,False,True
43,43,43.jpg,570.22,13.20,3.55,True,False,True
44,44,44.jpg,574.00,13.59,3.46,True,False,True
45,45,45.jpg,574.37,14.53,3.74,False,False,True
46,46,46.jpg,574.70,14.30,3.68,False,False,True
47,47,47.jpg,579.80,16.70,4.40,False,False,True
48,48,48.jpg,581.92,14.31,3.67,False,False,True
49,49,49.jpg,576.84,14.41,3.74,False,False,True
50,50,50.jpg,572.71,14.20,3.67,False,False,True
51,51,51.jpg,568.20,14.85,3.83,True,False,True
52,52,52.jpg,578.24,16.03,4.24,False,False,True
53,53,53.jpg,577.03,15.32,3.98,False,False,True
54,54,54.jpg,569.54,14.29,3.68,False,False,True
55,55,55.jpg,572.03,14.34,3.69,False,False,True
56,56,56.jpg,572.90,14.33,3.69,False,False,True
57,57,57.jpg,563.39,14.07,3.66,True,True,True
58,58,58.jpg,575.00,14.18,3.68,False,False,True
59,59,59.jpg,574.09,14.37,3.69,False,False,True
60,60,60.jpg,575.19,14.47,3.69,False,False,True
61,61,61.jpg,565.65,14.28,3.68,True,False,True
62,62,62.jpg,575.50,14.53,3.75,False,False,True
63,63,63.jpg,574.75,14.70,3.76,False,False,True
64,64,64.jpg,573.49,15.21,4.02,False,False,True
65,65,65.jpg,572.26,14.31,3.71,False,False,True
66,66,66.jpg,574.85,14.64,3.81,False,False,True
67,67,67.jpg,570.51,14.18,3.65,True,False,True
68,68,68.jpg,562.54,11.91,3.23,True,True,True
69,69,69.jpg,558.20,12.20,3.36,True,True,True
70,70,70.jpg,584.39,11.21,3.07,True,True,True
71,71,71.jpg,564.17,11.42,3.17,True,True,True
72,72,72.jpg,574.31,12.14,3.35,True,True,True
73,73,73.jpg,578.81,14.15,3.98,False,False,True
74,74,74.jpg,575.92,13.70,3.77,True,False,True
75,75,75.jpg,586.07,14.47,3.83,False,False,True
76,76,76.jpg,585.35,14.57,3.81,False,False,True
77,77,77.jpg,579.56,14.41,3.73,False,False,True
78,78,78.jpg,600.17,16.73,4.37,False,False,True
79,79,79.jpg,594.91,14.47,3.80,False,False,True
80,80,80.jpg,580.04,14.70,3.80,False,False,True
81,81,81.jpg,574.11,14.48,3.71,False,False,True
