processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,587.03,19.78,5.49,True,True,True
1,1,1.jpg,585.15,20.34,5.56,True,True,True
2,2,2.jpg,600.98,20.28,5.53,True,False,True
3,3,3.jpg,598.58,20.11,5.47,True,False,True
4,4,4.jpg,597.35,20.18,5.49,True,False,True
5,5,5.jpg,585.96,19.33,5.32,True,True,True
6,6,6.jpg,613.54,17.51,4.89,True,True,True
7,7,7.jpg,610.27,17.51,4.89,True,True,True
8,8,8.jpg,619.81,17.61,4.89,True,True,True
9,9,9.jpg,616.29,17.60,4.88,True,True,True
10,10,10.jpg,617.74,17.70,4.90,False,True,True
11,11,11.jpg,611.13,17.64,4.89,True,True,True
12,12,12.jpg,617.67,17.73,4.88,True,True,True
13,13,13.jpg,608.30,17.68,4.93,False,True,True
14,14,14.jpg,602.98,17.63,5.02,True,True,True
15,15,15.jpg,654.13,21.18,5.56,False,False,True
16,16,16.jpg,656.64,22.95,6.32,False,False,True
17,17,17.jpg,617.02,20.77,5.82,False,False,True
18,18,18.jpg,615.98,20.06,5.50,False,False,True
19,19,19.jpg,620.22,20.86,5.42,False,False,True
20,20,20.jpg,609.12,20.73,5.36,False,False,True
21,21,21.jpg,616.72,21.12,5.38,False,False,True
22,22,22.jpg,617.56,20.92,5.31,False,False,True
