processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,517.44,20.90,5.40,True,True,True
1,1,1.jpg,513.71,20.86,5.39,True,True,True
2,2,2.jpg,512.94,20.88,5.40,True,True,True
3,3,3.jpg,510.68,22.67,5.83,True,True,True
4,4,4.jpg,503.52,21.79,5.31,True,True,True
5,5,5.jpg,513.10,21.07,5.21,True,True,True
6,6,6.jpg,518.21,21.53,5.47,True,True,True
7,7,7.jpg,513.34,20.89,5.32,True,True,True
8,8,8.jpg,509.32,20.82,5.31,True,True,True
9,9,9.jpg,512.51,20.95,5.35,True,True,True
10,10,10.jpg,513.48,21.07,5.37,True,True,True
11,11,11.jpg,521.06,21.29,5.45,True,False,True
12,12,12.jpg,519.53,20.64,5.34,True,True,True
13,13,13.jpg,519.61,21.21,5.43,True,False,True
14,14,14.jpg,517.31,21.23,5.43,True,True,True
15,15,15.jpg,523.64,21.34,5.45,False,False,True
16,16,16.jpg,525.86,21.42,5.48,False,False,True
17,17,17.jpg,520.14,21.28,5.45,True,False,True
18,18,18.jpg,517.86,21.57,5.54,True,True,True
19,19,19.jpg,518.69,20.72,5.31,True,True,True
20,20,20.jpg,519.65,21.27,5.43,True,False,True
21,21,21.jpg,518.38,21.28,5.44,True,True,True
22,22,22.jpg,519.03,21.33,5.44,True,True,True
23,23,23.jpg,518.88,21.31,5.44,True,True,True
24,24,24.jpg,516.62,21.25,5.43,True,True,True
25,25,25.jpg,521.05,21.31,5.43,True,False,True
26,26,26.jpg,518.27,21.10,5.40,True,True,True
27,27,27.jpg,525.76,21.24,5.43,False,False,True
28,28,28.jpg,521.98,21.27,5.44,False,False,True
29,29,29.jpg,524.53,21.23,5.42,False,False,True
30,30,30.jpg,523.81,21.02,5.39,True,False,True
31,31,31.jpg,523.04,21.04,5.41,True,False,True
32,32,32.jpg,525.35,21.30,5.45,False,False,True
33,33,33.jpg,522.70,21.13,5.42,True,False,True
34,34,34.jpg,521.30,21.08,5.43,True,False,True
35,35,35.jpg,525.83,21.00,5.41,True,False,True
36,36,36.jpg,522.34,20.90,5.32,True,True,True
