processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,509.25,12.08,3.04,False,False,True
1,1,1.jpg,511.94,13.69,3.65,False,False,True
2,2,2.jpg,522.51,15.00,4.04,False,False,True
3,3,3.jpg,511.25,9.47,2.65,False,False,True
4,4,4.jpg,522.80,9.96,2.83,False,False,True
5,5,5.jpg,546.91,10.49,2.93,False,False,True
6,6,6.jpg,542.44,10.79,2.92,False,False,True
7,7,7.jpg,516.36,9.23,2.51,True,False,True
8,8,8.jpg,509.12,8.61,2.26,True,True,True
9,9,9.jpg,520.61,10.39,2.81,False,False,True
10,10,10.jpg,526.64,10.36,2.86,False,False,True
11,11,11.jpg,535.05,10.34,2.86,False,False,True
12,12,12.jpg,506.19,8.97,2.25,True,True,True
13,13,13.jpg,511.44,9.02,2.25,True,True,True
14,14,14.jpg,508.79,9.62,2.43,True,False,True
15,15,15.jpg,509.11,11.28,2.96,False,False,True
16,16,16.jpg,504.98,11.14,3.02,True,True,True
17,17,17.jpg,508.00,9.81,2.55,True,False,True
18,18,18.jpg,507.61,9.16,2.33,True,True,True
