processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,627.65,21.05,5.19,True,True,True
1,1,1.jpg,588.47,19.59,5.34,True,True,True
2,2,2.jpg,607.86,20.28,5.55,True,True,True
3,3,3.jpg,608.43,19.59,5.44,True,True,True
4,4,4.jpg,617.82,20.05,5.63,True,True,True
5,5,5.jpg,610.34,19.27,5.35,True,True,True
6,6,6.jpg,583.50,15.54,4.13,True,True,True
7,7,7.jpg,673.33,23.36,5.45,True,False,True
8,8,8.jpg,704.25,23.78,5.50,True,False,True
9,9,9.jpg,726.99,24.12,5.57,False,False,True
10,10,10.jpg,713.57,24.06,5.55,False,False,True
11,11,11.jpg,714.02,24.11,5.51,False,False,True
12,12,12.jpg,737.24,24.25,5.54,False,False,True
13,13,13.jpg,721.96,23.94,5.49,False,False,True
14,14,14.jpg,724.60,23.82,5.49,False,False,True
15,15,15.jpg,717.58,23.76,5.46,True,False,True
16,16,16.jpg,713.77,23.78,5.44,True,False,True
17,17,17.jpg,708.26,23.72,5.48,True,False,True
18,18,18.jpg,723.37,23.92,5.48,False,False,True
19,19,19.jpg,720.43,24.00,5.51,False,False,True
20,20,20.jpg,704.51,24.03,5.50,True,False,True
21,21,21.jpg,722.29,24.04,5.53,False,False,True
22,22,22.jpg,728.35,24.31,5.58,False,False,True
23,23,23.jpg,720.26,24.17,5.52,False,False,True
24,24,24.jpg,728.99,24.14,5.53,False,False,True
25,25,25.jpg,721.75,24.13,5.55,False,False,True
26,26,26.jpg,730.39,24.47,5.58,False,False,True
27,27,27.jpg,723.81,24.32,5.55,False,False,True
28,28,28.jpg,731.48,24.59,5.58,False,False,True
29,29,29.jpg,718.91,23.97,5.50,False,False,True
30,30,30.jpg,707.54,23.79,5.48,True,False,True
31,31,31.jpg,709.54,23.90,5.50,False,False,True
32,32,32.jpg,718.95,24.11,5.53,False,False,True
33,33,33.jpg,715.73,24.28,5.55,False,False,True
34,34,34.jpg,736.21,24.36,5.59,False,False,True
35,35,35.jpg,710.58,24.03,5.53,False,False,True
36,36,36.jpg,685.20,22.12,5.33,True,False,True
37,37,37.jpg,684.63,23.29,5.42,True,False,True
38,38,38.jpg,716.18,23.73,5.47,True,False,True
39,39,39.jpg,722.02,24.14,5.55,False,False,True
40,40,40.jpg,719.72,24.17,5.54,False,False,True
41,41,41.jpg,708.06,24.00,5.50,True,False,True
42,42,42.jpg,710.36,23.99,5.53,False,False,True
43,43,43.jpg,713.47,24.34,5.57,False,False,True
44,44,44.jpg,732.87,24.49,5.58,False,False,True
45,45,45.jpg,725.84,24.43,5.56,False,False,True
46,46,46.jpg,722.38,24.79,5.63,False,False,True
47,47,47.jpg,712.05,24.43,5.56,False,False,True
48,48,48.jpg,711.03,24.20,5.52,False,False,True
49,49,49.jpg,695.75,23.59,5.42,True,False,True
50,50,50.jpg,710.80,23.91,5.52,False,False,True
51,51,51.jpg,701.91,23.83,5.40,True,False,True
52,52,52.jpg,710.45,24.14,5.54,False,False,True
53,53,53.jpg,709.81,24.09,5.55,False,False,True
54,54,54.jpg,715.75,24.17,5.48,False,False,True
55,55,55.jpg,715.52,23.96,5.53,False,False,True
56,56,56.jpg,729.52,24.19,5.56,False,False,True
57,57,57.jpg,718.25,24.01,5.52,False,False,True
58,58,58.jpg,725.03,23.88,5.50,False,False,True
59,59,59.jpg,727.35,24.11,5.54,False,False,True
60,60,60.jpg,724.81,24.14,5.54,False,False,True
61,61,61.jpg,726.04,24.02,5.51,False,False,True
62,62,62.jpg,725.74,24.01,5.50,False,False,True
63,63,63.jpg,719.74,23.90,5.47,True,False,True
64,64,64.jpg,730.55,23.95,5.50,False,False,True
65,65,65.jpg,701.45,23.00,5.28,True,True,True
66,66,66.jpg,739.78,24.07,5.41,True,False,True
67,67,67.jpg,735.26,24.22,5.41,True,False,True
68,68,68.jpg,744.40,24.19,5.40,True,False,True
69,69,69.jpg,743.61,24.41,5.44,True,False,True
