processed_index,original_index,filename,laplacian,tenengrad,fft,is_blurry_percentile,is_blurry_stddev,is_blurry_fixed
0,0,0.jpg,579.29,12.28,3.34,True,False,True
1,1,1.jpg,581.63,12.37,3.35,True,False,True
2,2,2.jpg,579.11,12.46,3.35,True,False,True
3,3,3.jpg,590.62,13.16,3.38,False,False,True
4,4,4.jpg,584.51,12.46,3.35,True,False,True
5,5,5.jpg,592.64,12.45,3.35,True,False,True
6,6,6.jpg,594.08,17.92,4.74,False,False,True
7,7,7.jpg,619.02,20.05,5.58,False,False,True
8,8,8.jpg,668.39,19.34,5.20,False,False,True
9,9,9.jpg,678.45,19.23,5.16,False,False,True
10,10,10.jpg,696.64,20.55,5.51,False,False,True
11,11,11.jpg,710.76,21.05,5.64,False,False,True
12,12,12.jpg,717.67,21.58,5.81,False,False,True
13,13,13.jpg,727.61,21.76,5.86,False,False,True
14,14,14.jpg,712.74,21.71,5.87,False,False,True
15,15,15.jpg,584.06,12.78,3.26,True,False,True
16,16,16.jpg,582.24,12.09,3.33,True,False,True
17,17,17.jpg,593.08,12.43,3.35,True,False,True
18,18,18.jpg,593.89,13.17,3.38,True,False,True
19,19,19.jpg,589.83,12.51,3.39,True,False,True
20,20,20.jpg,593.82,13.40,3.75,False,False,True
21,21,21.jpg,595.03,14.23,4.09,False,False,True
22,22,22.jpg,584.19,13.08,3.91,False,False,True
23,23,23.jpg,594.37,13.23,3.93,False,False,True
24,24,24.jpg,592.90,14.16,3.87,False,False,True
25,25,25.jpg,588.15,12.57,3.42,True,False,True
26,26,26.jpg,583.62,12.56,3.36,True,False,True
27,27,27.jpg,592.40,13.29,3.40,False,False,True
28,28,28.jpg,590.01,12.62,3.37,True,False,True
29,29,29.jpg,587.38,12.57,3.37,True,False,True
30,30,30.jpg,589.21,13.30,3.40,False,False,True
31,31,31.jpg,588.32,12.60,3.37,True,False,True
32,32,32.jpg,584.23,12.59,3.36,True,False,True
33,33,33.jpg,594.71,13.44,3.57,False,False,True
34,34,34.jpg,591.16,13.48,3.72,False,False,True
35,35,35.jpg,591.38,13.55,3.79,False,False,True
36,36,36.jpg,583.11,13.71,3.94,True,False,True
37,37,37.jpg,588.29,13.21,3.77,False,False,True
38,38,38.jpg,588.56,13.47,3.91,False,False,True
39,39,39.jpg,588.67,14.45,4.09,False,False,True
40,40,40.jpg,585.22,12.88,3.65,False,False,True
41,41,41.jpg,590.67,13.01,3.49,False,False,True
42,42,42.jpg,586.49,13.25,3.40,False,False,True
43,43,43.jpg,596.82,12.76,3.39,False,False,True
44,44,44.jpg,590.97,12.72,3.39,False,False,True
45,45,45.jpg,583.96,13.41,3.41,False,False,True
46,46,46.jpg,575.43,12.69,3.38,True,False,True
47,47,47.jpg,583.14,12.72,3.38,True,False,True
48,48,48.jpg,584.37,13.80,3.62,False,False,True
49,49,49.jpg,579.58,13.54,3.77,True,False,True
50,50,50.jpg,580.11,13.76,3.90,True,False,True
51,51,51.jpg,578.47,13.64,3.80,True,False,True
52,52,52.jpg,571.36,13.07,3.70,True,False,True
53,53,53.jpg,583.22,12.97,3.69,True,False,True
54,54,54.jpg,580.47,14.06,3.89,True,False,True
