class,finetuned_embedding
not_Aligator Loki Plushie,[0.00174998 0.01184589 0.05322038 ... 0.02114437 0.0041986  0.00264393]
not_Aligator Loki Plushie,[0.00036343 0.01916031 0.05555327 ... 0.0147731  0.0024539  0.00216063]
not_Boastful Loki Armor,"[2.0341324e-02 1.7895272e-02 2.9128506e-03 ... 7.5302283e-05 7.5038138e-04
 1.1367582e-02]"
not_Boastful Loki Armor,[0.01156725 0.014532   0.01330752 ... 0.00054309 0.03564648 0.00888195]
not_Loki's Armor,[0.00116551 0.04261506 0.01896172 ... 0.01300268 0.         0.02460181]
not_Loki's Armor,[0.03115247 0.0198623  0.01326928 ... 0.01575992 0.00999818 0.01809402]
not_Loki's Variant uniform,[0.01938208 0.0277289  0.00399163 ... 0.00353022 0.02212739 0.01714172]
not_Loki's Variant uniform,[0.03567982 0.02751451 0.00767142 ... 0.01054119 0.01408777 0.02593263]
not_Loki's dagger,"[2.3738362e-03 1.0506731e-02 3.2889958e-02 ... 3.3481305e-03 8.1425271e-05
 1.2413933e-02]"
not_Loki's dagger,[0.00428826 0.00857653 0.03051295 ... 0.00693796 0.00688631 0.02278391]
not_Ravonna Renslayer's Uniform,[0.00027485 0.0041209  0.0213234  ... 0.00267834 0.04208294 0.00474252]
not_Ravonna Renslayer's Uniform,[0.00051231 0.00229225 0.0317991  ... 0.00385601 0.02403221 0.01120724]
not_Sylvie's Armor,[0.03312248 0.04651474 0.02206764 ... 0.0200769  0.00150727 0.01024585]
not_Sylvie's horned headpiece,[0.00144908 0.02846367 0.00706368 ... 0.00190858 0.02177298 0.01227377]
not_Sylvie's horned headpiece,[0.01590002 0.0361374  0.00071094 ... 0.00577705 0.01093079 0.00208701]
not_Sylvie's machete,[0.00026405 0.00575632 0.02148947 ... 0.01336623 0.01603687 0.00679639]
not_Sylvie's machete,[0.00015787 0.00156542 0.02092403 ... 0.01211677 0.05190433 0.00812562]
not_TVA Collar,[0.0086518  0.03485042 0.01310626 ... 0.01788511 0.00135648 0.01403648]
not_TVA Collar,[0.00820588 0.04646175 0.034627   ... 0.014673   0.00799824 0.02379477]
not_TVA Monitor,[0.01845389 0.00780538 0.03236707 ... 0.0068903  0.01532052 0.0224151 ]
not_TVA Prisoner Uniform,[0.00155389 0.05504381 0.04246188 ... 0.02255982 0.02658813 0.01003836]
not_TVA Prisoner Uniform,[0.00908793 0.03334976 0.04250968 ... 0.01556835 0.02387002 0.02651507]
not_TemPad,[0.00174222 0.01509524 0.00045292 ... 0.0023643  0.06066431 0.02321691]
not_TemPad,[0.00301554 0.00995314 0.01655574 ... 0.00041641 0.04031032 0.0228298 ]
not_Time Stick,[0.00335361 0.00062073 0.02266876 ... 0.03288935 0.01150102 0.0197807 ]
not_Time Stick,[0.00495801 0.0238464  0.01149023 ... 0.0123035  0.         0.0235361 ]
not_TimeSpear,[0.01261759 0.0078971  0.03111658 ... 0.00223909 0.00027928 0.01458137]
not_TimeSpear,[0.00516076 0.00056249 0.0380215  ... 0.00176505 0.         0.00824808]
