iteration,timestamp,video,frame,class,original_wrong_prediction,reason
2,2025-05-30T16:07:12.478465,Scenes 001-020__306E-1-_20230815201829547.mp4,25,not_Aligator Loki Plushie,Aligator Loki Plushie,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__319-9_20230815201611576.mp4,28,not_Aligator Loki Plushie,Aligator Loki Plushie,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 021-040__237B-1-_20230815180326204.mp4,159,not_Loki's Armor,Loki's Armor,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__201L-1-_20230728112628503.mp4,97,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__220D-2-_20230815190723523.mp4,72,not_Loki's Variant uniform,Loki's Variant uniform,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 021-040__226A-1-_20230815185254846.mp4,19,not_Loki's dagger,Loki's dagger,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 021-040__237B-1-_20230815180326204.mp4,57,not_Loki's dagger,Loki's dagger,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__305C-1_20230815193534665.mp4,14,not_Ravonna Renslayer's Uniform,Ravonna Renslayer's Uniform,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 041-060__244A-7- pu_20230815211729392.mp4,56,not_Ravonna Renslayer's Uniform,Ravonna Renslayer's Uniform,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__213-3-_20230815180738197.mp4,65,not_Sylvie's horned headpiece,Sylvie's horned headpiece,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__306E-1-_20230815201829547.mp4,65,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__309-3-_20230815150109755.mp4,24,not_Sylvie's machete,Sylvie's machete,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 041-060__156D-1- mos_20230815181940173.mp4,171,not_TVA Collar,TVA Collar,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 041-060__244A-7- pu_20230815211729392.mp4,59,not_TVA Collar,TVA Collar,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__207A-1-_20230815182030372.mp4,61,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__303L-1-_20230815223024888.mp4,28,not_TVA Prisoner Uniform,TVA Prisoner Uniform,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__213-3-_20230815180738197.mp4,76,not_TemPad,TemPad,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__509-3_20230815200533637.mp4,43,not_TemPad,TemPad,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__220D-2-_20230815190723523.mp4,28,not_TimeSpear,TimeSpear,false_positive_negative
2,2025-05-30T16:07:12.478465,Scenes 001-020__303K-3-_20230815223320788.mp4,185,not_TimeSpear,TimeSpear,false_positive_negative
