class,finetuned_embedding
not_Aligator Loki Plushie,[0.00036343 0.01916031 0.05555327 ... 0.0147731  0.0024539  0.00216063]
not_Boastful Loki Armor,[0.01156725 0.014532   0.01330752 ... 0.00054309 0.03564648 0.00888195]
not_Kid Loki Armor,[0.0129082  0.00450819 0.01325532 ... 0.01458546 0.01198039 0.00562467]
not_Loki's Armor,[0.03115247 0.0198623  0.01326928 ... 0.01575992 0.00999818 0.01809402]
not_Loki's Variant uniform,[0.01723618 0.02130494 0.00431833 ... 0.00088067 0.01210463 0.02185865]
not_Loki's dagger,[0.00428826 0.00857653 0.03051295 ... 0.00693796 0.00688631 0.02278391]
not_Ravonna Renslayer's Uniform,[0.00051231 0.00229225 0.0317991  ... 0.00385601 0.02403221 0.01120724]
not_Sylvie's horned headpiece,[0.01590002 0.0361374  0.00071094 ... 0.00577705 0.01093079 0.00208701]
not_Sylvie's machete,[0.00051851 0.00338639 0.00674913 ... 0.01410979 0.07430404 0.02047403]
not_TVA Collar,[0.00820588 0.04646175 0.034627   ... 0.014673   0.00799824 0.02379477]
not_TVA Prisoner Uniform,[0.02231942 0.06739431 0.02970342 ... 0.00163819 0.00755077 0.0196166 ]
not_TemPad,[0.00301554 0.00995314 0.01655574 ... 0.00041641 0.04031032 0.0228298 ]
not_TimeSpear,[0.00516076 0.00056249 0.0380215  ... 0.00176505 0.         0.00824808]
