video,class,actual,predicted,confidence,frame,classification,iteration,extraction_timestamp,reason,negative_class_created,embedding_available
Scenes 001-020__314-3_20230815232058756.mp4,Sylvie's machete,0.0,1,0.817623496055603,119.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__504K-1-_20230816050602143.mp4,Loki's Variant uniform,0.0,1,0.8169249296188354,28.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__506E-1ng_b_20230816043951139.mp4,Sylvie's machete,0.0,1,0.8575263619422913,0.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__509-3_20230815200533637.mp4,TemPad,0.0,1,0.8850764036178589,43.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TemPad,True
Scenes 021-040__137E-1-_20230815175038515.mp4,TimeSpear,0.0,1,0.8758507966995239,86.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TimeSpear,True
Scenes 021-040__222-2-_20230815185458410.mp4,Sylvie's machete,0.0,1,0.801777720451355,38.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Sylvie's machete,True
Scenes 021-040__222-2-_20230815185458410.mp4,TemPad,0.0,1,0.8436229228973389,58.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TemPad,True
Scenes 021-040__226A-1-_20230815185254846.mp4,Loki's dagger,0.0,1,0.8039258122444153,19.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Loki's dagger,True
Scenes 021-040__226A-1-_20230815185254846.mp4,Sylvie's machete,0.0,1,0.8716394305229187,119.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Sylvie's machete,True
Scenes 021-040__235C-2- mos_20230815192640043.mp4,TemPad,0.0,1,0.8294677138328552,5.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TemPad,True
Scenes 021-040__440H-2b-_20230816031331933.mp4,Aligator Loki Plushie,0.0,1,0.8452935218811035,55.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Aligator Loki Plushie,True
Scenes 041-060__156-6a- only pu_20230815175525189.mp4,TemPad,0.0,1,0.8132810592651367,70.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TemPad,True
Scenes 041-060__156F-1-_20230815175731629.mp4,TemPad,0.0,1,0.8332113027572632,98.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TemPad,True
Scenes 061-080__165A-1-_20230815180241405.mp4,Sylvie's machete,0.0,1,0.8260699510574341,25.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Sylvie's machete,True
Scenes 061-080__165A-1-_20230815180241405.mp4,TVA Collar,0.0,1,0.8322122097015381,92.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TVA Collar,True
Scenes 061-080__165A-1-_20230815180241405.mp4,TemPad,0.0,1,0.8310081362724304,37.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TemPad,True
Scenes 061-080__165A-4-_20230815180313546.mp4,Sylvie's machete,0.0,1,0.8160134553909302,178.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_Sylvie's machete,True
Scenes 061-080__165A-4-_20230815180313546.mp4,TemPad,0.0,1,0.8375957012176514,315.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TemPad,True
Scenes 061-080__265N-1_20230815220141511.mp4,TimeSpear,0.0,1,0.8404375314712524,34.0,FP,2,2025-05-30T16:11:32.085775,false_positive_for_training,not_TimeSpear,True
