class,finetuned_embedding
not_TemPad,[0.0015688  0.03218363 0.02343963 ... 0.01467509 0.01604796 0.02568744]
not_TemPad,[0.00667825 0.02710994 0.0150463  ... 0.00277499 0.02527757 0.02027695]
not_TemPad,[0.00146161 0.04463764 0.04442987 ... 0.01352605 0.02499791 0.02380694]
not_TemPad,[0.00256929 0.05522077 0.03446195 ... 0.01739839 0.01092239 0.03344639]
not_TimeSpear,[0.01323668 0.0156776  0.00827861 ... 0.00284194 0.00524837 0.00834687]
not_TemPad,[0.00615219 0.02438042 0.01870289 ... 0.01821813 0.02207214 0.02951975]
not_TemPad,[0.007063   0.04571374 0.03744534 ... 0.01469888 0.00347695 0.02897594]
not_TimeSpear,[0.02121578 0.03193136 0.01426383 ... 0.00308995 0.0035299  0.00685996]
not_TemPad,[0.00868696 0.02673686 0.03762418 ... 0.01085112 0.00559507 0.02596517]
not_TemPad,[0.00704771 0.03353893 0.01700541 ... 0.00771021 0.03476616 0.02715402]
not_TemPad,[0.00221306 0.03643666 0.02513984 ... 0.0075926  0.00939453 0.02543521]
not_TemPad,[0.01515329 0.02433624 0.02176165 ... 0.01125414 0.01805727 0.03463611]
not_TemPad,[0.0200602  0.03201291 0.03127227 ... 0.00469922 0.00927623 0.02473364]
not_TemPad,[0.00808417 0.03225101 0.01348233 ... 0.00759956 0.01662619 0.0278628 ]
not_TimeSpear,[0.02217624 0.00686016 0.02063988 ... 0.02039774 0.00091737 0.01916769]
not_TemPad,[0.01788833 0.02600135 0.01260447 ... 0.01432008 0.01501571 0.01626916]
not_TimeSpear,[0.01690019 0.01102789 0.02090467 ... 0.02201122 0.00628915 0.01995803]
