class,finetuned_embedding
not_Aligator Loki Plushie,[0.0001688  0.05252565 0.05070224 ... 0.01620111 0.00499668 0.00585471]
not_Aligator Loki Plushie,"[4.1860461e-05 2.8039102e-02 4.1497186e-02 ... 5.1742424e-03 4.6039093e-04
 5.0673570e-04]"
not_Loki's Armor,[0.01188613 0.01029302 0.05322374 ... 0.00658231 0.00697034 0.01679154]
not_Loki's Variant uniform,[0.01723618 0.02130494 0.00431833 ... 0.00088067 0.01210463 0.02185865]
not_Loki's Variant uniform,[0.0107455  0.00429705 0.00724364 ... 0.00649479 0.00866695 0.01817145]
not_Loki's dagger,[0.0015157  0.00450317 0.04749231 ... 0.00108555 0.00874193 0.02163087]
not_Loki's dagger,[0.00128467 0.02477706 0.06599841 ... 0.00894475 0.00132095 0.01485881]
not_Ravonna Renslayer's Uniform,[0.00038007 0.01226895 0.00962963 ... 0.0052927  0.05110142 0.00461841]
not_Ravonna Renslayer's Uniform,[0.00028446 0.00375242 0.01130394 ... 0.00121177 0.03607607 0.00407948]
not_Sylvie's horned headpiece,[0.00044224 0.01398664 0.00267083 ... 0.01039659 0.05022699 0.01352267]
not_Sylvie's machete,[0.00598835 0.00844865 0.01412931 ... 0.01209401 0.00398045 0.0009652 ]
not_Sylvie's machete,[0.00416334 0.00129185 0.01986446 ... 0.01093783 0.03861215 0.01198886]
not_TVA Collar,[0.00487155 0.02289713 0.01835548 ... 0.03331245 0.00138163 0.02960126]
not_TVA Collar,[0.00497048 0.02629405 0.01324799 ... 0.01983232 0.00585694 0.02488763]
not_TVA Prisoner Uniform,[0.02231942 0.06739431 0.02970342 ... 0.00163819 0.00755077 0.0196166 ]
not_TVA Prisoner Uniform,[0.01280192 0.03307081 0.04262442 ... 0.01813423 0.02667689 0.03041262]
not_TemPad,[0.00035794 0.02318195 0.00539406 ... 0.0027529  0.03396536 0.03318027]
not_TemPad,[0.00968681 0.00737926 0.0049741  ... 0.00118845 0.04267725 0.01719034]
not_TimeSpear,"[7.2570554e-05 0.0000000e+00 4.4067041e-03 ... 6.1495817e-04 2.8538874e-03
 7.2212201e-03]"
not_TimeSpear,[0.0065812  0.00494605 0.04230455 ... 0.00253658 0.         0.00957968]
