video,exclusion_count,percentage
Scenes 001-020__216A-4b- only_20230815182553047.mp4,2,7.14
Scenes 021-040__234A-2-_20230815192229849.mp4,2,7.14
Scenes 001-020__110C-1-_20230728125333457.mp4,2,7.14
Scenes 001-020__306B-5-_20230815201805729.mp4,1,3.57
Scenes 001-020__211-1-_20230815190444533.mp4,1,3.57
Scenes 001-020__504T-3-_20230816050753649.mp4,1,3.57
Scenes 061-080__265G-3-_20230815215442372.mp4,1,3.57
Scenes 001-020__106D-5-_20230815151758589.mp4,1,3.57
Scenes 001-020__201C-1-_20230815182005024.mp4,1,3.57
Scenes 001-020__306-1-_20230803124944118.mp4,1,3.57
Scenes 001-020__201E-2-_20230728112604212.mp4,1,3.57
Scenes 001-020__111D-1-_20230728135829842.mp4,1,3.57
Scenes 001-020__106E-1- mos_20230727162142209.mp4,1,3.57
Scenes 001-020__110A-2-_20230815160756908.mp4,1,3.57
Scenes 001-020__306C-1-_20230815201919138.mp4,1,3.57
Scenes 001-020__108E-1-_20230727173710924.mp4,1,3.57
Scenes 001-020__211H-2-_20230815190456898.mp4,1,3.57
Scenes 021-040__235-1-_20230815192601740.mp4,1,3.57
Scenes 021-040__536A-3-_20230816063724398.mp4,1,3.57
Scenes 021-040__221-4-_20230815180803766.mp4,1,3.57
Scenes 001-020__201L-1-_20230728112628503.mp4,1,3.57
Scenes 001-020__302-2_20230815200213180.mp4,1,3.57
Scenes 001-020__201K-1-_20230815184646280.mp4,1,3.57
Scenes 001-020__207A-1-_20230815182030372.mp4,1,3.57
Scenes 001-020__201D-2-_20230815184746334.mp4,1,3.57
