video,class,actual,predicted,confidence,frame,classification,iteration,extraction_timestamp,reason,negative_class_created,embedding_available
Scenes 001-020__201L-1-_20230728112628503.mp4,Loki's Variant uniform,0.0,1,0.8683943748474121,97.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__207A-1-_20230815182030372.mp4,TVA Prisoner Uniform,0.0,1,0.862597644329071,61.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 001-020__213-3-_20230815180738197.mp4,Sylvie's horned headpiece,0.0,1,0.8348636627197266,65.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Sylvie's horned headpiece,True
Scenes 001-020__213-3-_20230815180738197.mp4,TemPad,0.0,1,0.8406983613967896,76.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TemPad,True
Scenes 001-020__220D-2-_20230815190723523.mp4,Loki's Variant uniform,0.0,1,0.8589889407157898,72.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__220D-2-_20230815190723523.mp4,TimeSpear,0.0,1,0.8070792555809021,28.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__303K-3-_20230815223320788.mp4,TimeSpear,0.0,1,0.854817271232605,185.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__303L-1-_20230815223024888.mp4,TVA Prisoner Uniform,0.0,1,0.8991042971611023,28.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 001-020__303L-1-_20230815223024888.mp4,TimeSpear,0.0,1,0.8871247172355652,90.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__305C-1_20230815193534665.mp4,Ravonna Renslayer's Uniform,0.0,1,0.8026875853538513,14.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Ravonna Renslayer's Uniform,True
Scenes 001-020__306E-1-_20230815201829547.mp4,Aligator Loki Plushie,0.0,1,0.8190032243728638,25.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Aligator Loki Plushie,True
Scenes 001-020__306E-1-_20230815201829547.mp4,Sylvie's machete,0.0,1,0.8147640228271484,65.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__306E-1-_20230815201829547.mp4,TVA Prisoner Uniform,0.0,1,0.8215604424476624,47.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 001-020__309-3-_20230815150109755.mp4,Sylvie's machete,0.0,1,0.899899959564209,24.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__314-3_20230815232058756.mp4,Sylvie's machete,0.0,1,0.8186546564102173,119.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__319-9_20230815201611576.mp4,Aligator Loki Plushie,0.0,1,0.8530153632164001,28.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Aligator Loki Plushie,True
Scenes 001-020__504K-1-_20230816050602143.mp4,Loki's Variant uniform,0.0,1,0.8186154365539551,28.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Loki's Variant uniform,True
Scenes 001-020__506E-1ng_b_20230816043951139.mp4,Sylvie's machete,0.0,1,0.8572950959205627,0.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Sylvie's machete,True
Scenes 001-020__509-3_20230815200533637.mp4,TemPad,0.0,1,0.8833030462265015,43.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TemPad,True
Scenes 021-040__137E-1-_20230815175038515.mp4,TimeSpear,0.0,1,0.8774340748786926,86.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TimeSpear,True
Scenes 021-040__222-2-_20230815185458410.mp4,Sylvie's machete,0.0,1,0.8032329678535461,38.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Sylvie's machete,True
Scenes 021-040__222-2-_20230815185458410.mp4,TemPad,0.0,1,0.8450053930282593,58.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_TemPad,True
Scenes 021-040__226A-1-_20230815185254846.mp4,Loki's dagger,0.0,1,0.8078429102897644,19.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Loki's dagger,True
Scenes 021-040__226A-1-_20230815185254846.mp4,Sylvie's machete,0.0,1,0.8731623888015747,119.0,FP,2,2025-05-30T16:08:26.256160,false_positive_for_training,not_Sylvie's machete,True
