class,finetuned_embedding
not_Loki's Variant uniform,[0.02002269 0.02783466 0.00267391 ... 0.00443692 0.01934327 0.01605949]
not_TVA Prisoner Uniform,[0.00082538 0.04840748 0.04454977 ... 0.02518618 0.0217273  0.00874502]
not_Loki's Variant uniform,[0.0215044  0.01989947 0.00393343 ... 0.00463055 0.00782653 0.02159507]
not_TemPad,[0.00068766 0.01765255 0.00057009 ... 0.00491486 0.05437686 0.02606101]
not_TVA Prisoner Uniform,[0.01257291 0.0301789  0.04280652 ... 0.01874829 0.02348288 0.02709174]
not_TimeSpear,[0.00878342 0.00810354 0.04054956 ... 0.00229311 0.00013668 0.01293077]
not_Sylvie's machete,[0.00051851 0.00338639 0.00674913 ... 0.01410979 0.07430404 0.02047403]
not_Sylvie's machete,[0.00571154 0.00346204 0.03086399 ... 0.01324784 0.04298618 0.00978355]
not_TVA Collar,[0.00844387 0.02891151 0.0231534  ... 0.01623026 0.00310626 0.01496154]
not_TemPad,[0.00428539 0.01138657 0.01138869 ... 0.00059386 0.03693109 0.01966894]
not_Sylvie's horned headpiece,[0.00380659 0.01074445 0.01062316 ... 0.0032822  0.02195275 0.01097478]
not_Sylvie's horned headpiece,[0.01785228 0.02803735 0.00234973 ... 0.0023662  0.01159608 0.00363583]
not_Loki's Variant uniform,[0.01562336 0.01014418 0.00619567 ... 0.00152431 0.01121323 0.01701535]
not_TVA Prisoner Uniform,[0.01479845 0.02799744 0.02455584 ... 0.00182516 0.01578461 0.01368849]
not_Loki's Variant uniform,[0.00465493 0.0154858  0.00460451 ... 0.01224428 0.02416551 0.01481956]
not_Sylvie's machete,[0.00060126 0.00155265 0.01405706 ... 0.01426448 0.05839616 0.01760995]
not_TemPad,[0.00035946 0.02755115 0.00472787 ... 0.00394033 0.02928568 0.03103039]
not_TVA Monitor,[0.01868188 0.00806358 0.0334734  ... 0.00653274 0.01538557 0.02426486]
not_Loki's Variant uniform,[0.00999072 0.02061692 0.01317982 ... 0.00052273 0.01050885 0.012736  ]
