class,finetuned_embedding
not_Loki's Variant uniform,[0.01938208 0.0277289  0.00399163 ... 0.00353022 0.02212739 0.01714172]
not_TVA Prisoner Uniform,[0.00155389 0.05504381 0.04246188 ... 0.02255982 0.02658813 0.01003836]
not_Loki's Variant uniform,[0.03567982 0.02751451 0.00767142 ... 0.01054119 0.01408777 0.02593263]
not_TemPad,[0.00174222 0.01509524 0.00045292 ... 0.0023643  0.06066431 0.02321691]
not_TVA Prisoner Uniform,[0.01257291 0.0301789  0.04280652 ... 0.01874829 0.02348288 0.02709174]
not_TimeSpear,[0.00878342 0.00810354 0.04054956 ... 0.00229311 0.00013668 0.01293077]
not_Sylvie's machete,[0.00051851 0.00338639 0.00674913 ... 0.01410979 0.07430404 0.02047403]
not_TemPad,[0.00301554 0.00995314 0.01655574 ... 0.00041641 0.04031032 0.0228298 ]
not_Sylvie's machete,[0.00571154 0.00346204 0.03086399 ... 0.01324784 0.04298618 0.00978355]
not_TVA Collar,[0.0086518  0.03485042 0.01310626 ... 0.01788511 0.00135648 0.01403648]
not_TemPad,[0.00182145 0.01504329 0.01355781 ... 0.00128932 0.04042589 0.02419019]
not_Loki's Armor,[0.00116551 0.04261506 0.01896172 ... 0.01300268 0.         0.02460181]
not_TimeSpear,[0.00516076 0.00056249 0.0380215  ... 0.00176505 0.         0.00824808]
not_Sylvie's horned headpiece,[0.00144908 0.02846367 0.00706368 ... 0.00190858 0.02177298 0.01227377]
not_Sylvie's horned headpiece,[0.01590002 0.0361374  0.00071094 ... 0.00577705 0.01093079 0.00208701]
not_Loki's Variant uniform,[0.01723618 0.02130494 0.00431833 ... 0.00088067 0.01210463 0.02185865]
not_TVA Prisoner Uniform,[0.02231942 0.06739431 0.02970342 ... 0.00163819 0.00755077 0.0196166 ]
not_Loki's Variant uniform,[0.00882353 0.01627171 0.00218808 ... 0.00066813 0.0221928  0.01231205]
not_Sylvie's machete,[0.00060126 0.00155265 0.01405706 ... 0.01426448 0.05839616 0.01760995]
not_TemPad,[0.         0.03078692 0.00417686 ... 0.00224938 0.03891155 0.03494718]
not_Sylvie's horned headpiece,[0.00044224 0.01398664 0.00267083 ... 0.01039659 0.05022699 0.01352267]
not_TemPad,[0.00035794 0.02318195 0.00539406 ... 0.0027529  0.03396536 0.03318027]
not_Ravonna Renslayer's Uniform,[0.00027485 0.0041209  0.0213234  ... 0.00267834 0.04208294 0.00474252]
not_TVA Monitor,[0.01845389 0.00780538 0.03236707 ... 0.0068903  0.01532052 0.0224151 ]
not_Loki's Variant uniform,[0.0107455  0.00429705 0.00724364 ... 0.00649479 0.00866695 0.01817145]
not_TimeSpear,"[7.2570554e-05 0.0000000e+00 4.4067041e-03 ... 6.1495817e-04 2.8538874e-03
 7.2212201e-03]"
not_Ravonna Renslayer's Uniform,[0.00051231 0.00229225 0.0317991  ... 0.00385601 0.02403221 0.01120724]
not_TimeSpear,[0.0065812  0.00494605 0.04230455 ... 0.00253658 0.         0.00957968]
not_TVA Prisoner Uniform,[0.01280192 0.03307081 0.04262442 ... 0.01813423 0.02667689 0.03041262]
not_TimeSpear,[0.00854359 0.00394866 0.02685415 ... 0.00067708 0.00218944 0.01133812]
not_Sylvie's machete,[0.00307847 0.00113071 0.02578263 ... 0.00546124 0.02359361 0.00694661]
not_Aligator Loki Plushie,[0.00174998 0.01184589 0.05322038 ... 0.02114437 0.0041986  0.00264393]
not_Sylvie's machete,[0.00015787 0.00156542 0.02092403 ... 0.01211677 0.05190433 0.00812562]
not_Aligator Loki Plushie,[0.00036343 0.01916031 0.05555327 ... 0.0147731  0.0024539  0.00216063]
not_Sylvie's machete,[0.00125548 0.00306001 0.02260401 ... 0.00506012 0.0198449  0.00393765]
not_Aligator Loki Plushie,[0.0001688  0.05252565 0.05070224 ... 0.01620111 0.00499668 0.00585471]
not_Sylvie's machete,[0.00598835 0.00844865 0.01412931 ... 0.01209401 0.00398045 0.0009652 ]
not_TVA Prisoner Uniform,[0.0088972  0.07138938 0.02777667 ... 0.00186475 0.00795661 0.00787507]
not_Sylvie's machete,[0.00416334 0.00129185 0.01986446 ... 0.01093783 0.03861215 0.01198886]
not_Sylvie's machete,[0.00049426 0.00040627 0.01707106 ... 0.00639945 0.03506664 0.00674804]
