video,class,actual,prediction,confidence,result_type
Scenes 041-060__244A-7- pu_20230815211729392.mp4,Sylvie's horned headpiece,1.0,0,0.0,FN
Scenes 041-060__244A-7- pu_20230815211729392.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__306-1-_20230803124944118.mp4,Sylvie's horned headpiece,1.0,0,0.0,FN
Scenes 001-020__306-1-_20230803124944118.mp4,Loki's Variant uniform,1.0,0,0.0,FN
Scenes 001-020__306-1-_20230803124944118.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__303K-3-_20230815223320788.mp4,Sylvie's machete,1.0,0,0.0,FN
Scenes 001-020__303K-3-_20230815223320788.mp4,Sylvie's horned headpiece,1.0,0,0.0,FN
Scenes 001-020__303K-3-_20230815223320788.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__309-3-_20230815150109755.mp4,Loki's Variant uniform,1.0,0,0.0,FN
Scenes 001-020__309-3-_20230815150109755.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__319-9_20230815201611576.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 041-060__238B-1-_20230815193151869.mp4,TVA Uniform,1.0,0,0.0,FN
Scenes 041-060__244G-1-_20230815212159478.mp4,Loki's Variant uniform,1.0,0,0.0,FN
Scenes 001-020__106D-5-_20230815151758589.mp4,Loki's Armor,1.0,0,0.0,FN
Scenes 001-020__304E-2-_20230815190846847.mp4,Sylvie's horned headpiece,1.0,0,0.0,FN
Scenes 001-020__205A-1ng_b REH_20230815183433032.mp4,TVA Uniform,1.0,0,0.0,FN
Scenes 041-060__157C-2- pu_20230815175939817.mp4,TVA Prisoner Uniform,1.0,0,0.0,FN
Scenes 001-020__303L-1-_20230815223024888.mp4,Loki's Variant uniform,1.0,0,0.0,FN
Scenes 001-020__303L-1-_20230815223024888.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 041-060__254B-3-_20230815193228103.mp4,Time Stick,1.0,0,0.0,FN
Scenes 041-060__254B-3-_20230815193228103.mp4,TVA Uniform,1.0,0,0.0,FN
Scenes 021-040__237B-1-_20230815180326204.mp4,TVA Uniform,1.0,0,0.0,FN
Scenes 001-020__505-5-_20230815200453259.mp4,Classic Loki Armor,1.0,0,0.0,FN
Scenes 001-020__504K-1-_20230816050602143.mp4,Ravonna Renslayer's Uniform,1.0,0,0.0,FN
Scenes 001-020__504K-1-_20230816050602143.mp4,TimeSpear,1.0,0,0.0,FN
Scenes 001-020__504K-1-_20230816050602143.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__220C-2-_20230815190657799.mp4,TemPad,1.0,0,0.0,FN
Scenes 041-060__156A-2-_20230815181902814.mp4,Time Stick,1.0,0,0.0,FN
Scenes 001-020__302-2_20230815200213180.mp4,Sylvie's horned headpiece,1.0,0,0.0,FN
Scenes 001-020__302-2_20230815200213180.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__302-2_20230815200213180.mp4,TVA Uniform,1.0,0,0.0,FN
Scenes 021-040__322-6_20230815235506455.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__314-3_20230815232058756.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__509-3_20230815200533637.mp4,Classic Loki Armor,1.0,0,0.0,FN
Scenes 001-020__317-9-_20230815232900331.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 021-040__222-2-_20230815185458410.mp4,TVA Uniform,1.0,0,0.0,FN
Scenes 041-060__238A-2-_20230815193138550.mp4,TVA Uniform,1.0,0,0.0,FN
Scenes 021-040__239A-1-_20230815192921019.mp4,Loki's Variant uniform,1.0,0,0.0,FN
Scenes 021-040__440H-2b-_20230816031331933.mp4,Ravonna Renslayer's Uniform,1.0,0,0.0,FN
Scenes 021-040__440H-2b-_20230816031331933.mp4,TimeSpear,1.0,0,0.0,FN
Scenes 021-040__440H-2b-_20230816031331933.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__216A-4b- only_20230815182553047.mp4,Loki's Variant uniform,1.0,0,0.0,FN
Scenes 001-020__306C-1-_20230815201919138.mp4,Sylvie's horned headpiece,1.0,0,0.0,FN
Scenes 001-020__306C-1-_20230815201919138.mp4,Loki's Variant uniform,1.0,0,0.0,FN
Scenes 001-020__507-1ng_20230816050923979.mp4,Boastful Loki Armor,1.0,0,0.0,FN
Scenes 001-020__507-1ng_20230816050923979.mp4,Classic Loki Armor,1.0,0,0.0,FN
Scenes 001-020__507-1ng_20230816050923979.mp4,Kid Loki Armor,1.0,0,0.0,FN
Scenes 021-040__321-11d only_20230815235100054.mp4,Sylvie's machete,1.0,0,0.0,FN
Scenes 021-040__321-11d only_20230815235100054.mp4,Sylvie's Armor,1.0,0,0.0,FN
Scenes 001-020__306E-1-_20230815201829547.mp4,Sylvie's horned headpiece,1.0,0,0.0,FN
