video,class,actual,prediction,confidence,result_type
Scenes 041-060__244A-7- pu_20230815211729392.mp4,TVA Collar,0.0,1,0.8088887929916382,FP
Scenes 041-060__244A-7- pu_20230815211729392.mp4,TVA Prisoner Uniform,0.0,1,0.8387515544891357,FP
Scenes 001-020__306-1-_20230803124944118.mp4,Sylvie's machete,0.0,1,0.8550089001655579,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,Loki's Armor,0.0,1,0.805717408657074,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,TimeSpear,0.0,1,0.8179847002029419,FP
Scenes 001-020__309-3-_20230815150109755.mp4,Sylvie's machete,0.0,1,0.8611319661140442,FP
Scenes 001-020__319-9_20230815201611576.mp4,Aligator Loki Plushie,0.0,1,0.842120349407196,FP
Scenes 001-020__106D-5-_20230815151758589.mp4,Loki's Variant uniform,0.0,1,0.8274597525596619,FP
Scenes 021-040__234A-2-_20230815192229849.mp4,TemPad,0.0,1,0.8106575012207031,FP
Scenes 021-040__234A-2-_20230815192229849.mp4,TVA Collar,0.0,1,0.8531614542007446,FP
Scenes 001-020__110C-1-_20230728125333457.mp4,TemPad,0.0,1,0.8074002265930176,FP
Scenes 001-020__303L-1-_20230815223024888.mp4,TimeSpear,0.0,1,0.8546778559684753,FP
Scenes 001-020__303L-1-_20230815223024888.mp4,TVA Prisoner Uniform,0.0,1,0.8841022849082947,FP
Scenes 021-040__237B-1-_20230815180326204.mp4,Aligator Loki Plushie,0.0,1,0.8104519248008728,FP
Scenes 021-040__237B-1-_20230815180326204.mp4,Sylvie's machete,0.0,1,0.8526362776756287,FP
Scenes 021-040__237B-1-_20230815180326204.mp4,TimeSpear,0.0,1,0.8768049478530884,FP
Scenes 021-040__237B-1-_20230815180326204.mp4,Loki's dagger,0.0,1,0.8040670156478882,FP
Scenes 021-040__237B-1-_20230815180326204.mp4,Loki's Armor,0.0,1,0.8379996418952942,FP
Scenes 021-040__237B-1-_20230815180326204.mp4,TVA Prisoner Uniform,0.0,1,0.8097102642059326,FP
Scenes 001-020__211-1-_20230815190444533.mp4,Loki's Variant uniform,0.0,1,0.8182669281959534,FP
Scenes 001-020__504K-1-_20230816050602143.mp4,Loki's Variant uniform,0.0,1,0.8003050088882446,FP
Scenes 021-040__226A-1-_20230815185254846.mp4,Sylvie's machete,0.0,1,0.834409236907959,FP
Scenes 001-020__211H-2-_20230815190456898.mp4,TemPad,0.0,1,0.8671879768371582,FP
Scenes 001-020__201K-1-_20230815184646280.mp4,Sylvie's horned headpiece,0.0,1,0.8738377094268799,FP
Scenes 001-020__504T-3-_20230816050753649.mp4,Loki's dagger,0.0,1,0.8119348287582397,FP
Scenes 021-040__137E-1-_20230815175038515.mp4,TimeSpear,0.0,1,0.8479610681533813,FP
Scenes 001-020__220D-2-_20230815190723523.mp4,Loki's Variant uniform,0.0,1,0.8361430764198303,FP
Scenes 001-020__302-2_20230815200213180.mp4,Ravonna Renslayer's Uniform,0.0,1,0.8060413002967834,FP
Scenes 041-060__156F-1-_20230815175731629.mp4,TemPad,0.0,1,0.8150612115859985,FP
Scenes 001-020__314-3_20230815232058756.mp4,Sylvie's machete,0.0,1,0.8029817342758179,FP
Scenes 001-020__201L-1-_20230728112628503.mp4,Loki's Variant uniform,0.0,1,0.8436704874038696,FP
Scenes 001-020__509-3_20230815200533637.mp4,TemPad,0.0,1,0.8514981269836426,FP
Scenes 021-040__222-2-_20230815185458410.mp4,TemPad,0.0,1,0.8267585039138794,FP
Scenes 021-040__440H-2b-_20230816031331933.mp4,Aligator Loki Plushie,0.0,1,0.8387625813484192,FP
Scenes 001-020__306C-1-_20230815201919138.mp4,Aligator Loki Plushie,0.0,1,0.8084936141967773,FP
Scenes 001-020__306C-1-_20230815201919138.mp4,Sylvie's machete,0.0,1,0.8764200210571289,FP
Scenes 001-020__110A-2-_20230815160756908.mp4,TVA Prisoner Uniform,0.0,1,0.9267522096633911,FP
Scenes 001-020__306E-1-_20230815201829547.mp4,Aligator Loki Plushie,0.0,1,0.8026199340820312,FP
Scenes 001-020__306E-1-_20230815201829547.mp4,Sylvie's machete,0.0,1,0.811873733997345,FP
Scenes 021-040__235C-2- mos_20230815192640043.mp4,TemPad,0.0,1,0.8135167360305786,FP
Scenes 021-040__536A-3-_20230816063724398.mp4,TemPad,0.0,1,0.8168097138404846,FP
Scenes 021-040__536A-3-_20230816063724398.mp4,Boastful Loki Armor,0.0,1,0.8131094574928284,FP
Scenes 001-020__306B-5-_20230815201805729.mp4,Sylvie's machete,0.0,1,0.8903948068618774,FP
Scenes 001-020__106E-1- mos_20230727162142209.mp4,TVA Prisoner Uniform,0.0,1,0.8863712549209595,FP
Scenes 021-040__221-4-_20230815180803766.mp4,TemPad,0.0,1,0.857505202293396,FP
Scenes 021-040__221-4-_20230815180803766.mp4,Loki's dagger,0.0,1,0.8226989507675171,FP
Scenes 041-060__244B-1-_20230815212053650.mp4,TVA Prisoner Uniform,0.0,1,0.8610668182373047,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,TemPad,0.0,1,0.9176775217056274,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,TVA Collar,0.0,1,0.8844244480133057,FP
Scenes 061-080__165A-4-_20230815180313546.mp4,TemPad,0.0,1,0.8181878328323364,FP
Scenes 001-020__207A-1-_20230815182030372.mp4,TVA Prisoner Uniform,0.0,1,0.8417226672172546,FP
Scenes 001-020__201E-2-_20230728112604212.mp4,Sylvie's horned headpiece,0.0,1,0.8527030944824219,FP
Scenes 001-020__108E-1-_20230727173710924.mp4,TemPad,0.0,1,0.8838943839073181,FP
Scenes 001-020__108E-1-_20230727173710924.mp4,Loki's Variant uniform,0.0,1,0.8169644474983215,FP
Scenes 061-080__265G-3-_20230815215442372.mp4,Sylvie's Armor,0.0,1,0.8327657580375671,FP
Scenes 061-080__165A-1-_20230815180241405.mp4,TemPad,0.0,1,0.8196427822113037,FP
Scenes 061-080__165A-1-_20230815180241405.mp4,TVA Collar,0.0,1,0.8117963075637817,FP
Scenes 001-020__506E-1ng_b_20230816043951139.mp4,Sylvie's machete,0.0,1,0.8195141553878784,FP
Scenes 041-060__156-5a- only pu_20230815181240389.mp4,TemPad,0.0,1,0.8403160572052002,FP
Scenes 001-020__213-3-_20230815180738197.mp4,TemPad,0.0,1,0.8276951909065247,FP
Scenes 001-020__213-3-_20230815180738197.mp4,Sylvie's horned headpiece,0.0,1,0.8147655725479126,FP
Scenes 041-060__156D-1- mos_20230815181940173.mp4,TVA Collar,0.0,1,0.8159359693527222,FP
