video,class,actual,prediction,confidence,above_threshold,result_type
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,TVA Monitor,0.0,1,0.5995716452598572,False,FP
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Loki's Armor,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Aligator Loki Plushie,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Time Stick,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,TimeSpear,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Sylvie's Armor,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Boastful Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Sylvie's horned headpiece,0.0,1,0.6007840037345886,False,FP
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Loki's dagger,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,TVA Uniform,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Kid Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,TVA Prisoner Uniform,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Loki's Variant uniform,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Sylvie's machete,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,TVA Collar,0.0,1,0.599793016910553,False,FP
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,TemPad,0.0,0,0.0,False,TN
Scenes 001-020__113M-2-  mos_20230728151659443.mp4,Classic Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,TVA Monitor,0.0,1,0.6308062672615051,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,Loki's Armor,0.0,1,0.805717408657074,True,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,Aligator Loki Plushie,0.0,1,0.6682525873184204,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,Time Stick,0.0,1,0.7634045481681824,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,TimeSpear,0.0,1,0.7019194960594177,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,Sylvie's Armor,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,Boastful Loki Armor,0.0,1,0.7499598264694214,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,Sylvie's horned headpiece,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,Loki's dagger,0.0,1,0.6475867033004761,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,TVA Uniform,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,Kid Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,TVA Prisoner Uniform,0.0,1,0.6654793620109558,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,Loki's Variant uniform,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,Sylvie's machete,0.0,1,0.5908880829811096,False,FP
Scenes 001-020__201C-1-_20230815182005024.mp4,TVA Collar,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,False,TN
Scenes 001-020__201C-1-_20230815182005024.mp4,TemPad,1.0,1,0.9336361885070801,True,TP
Scenes 001-020__201C-1-_20230815182005024.mp4,Classic Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__111D-1-_20230728135829842.mp4,TVA Monitor,0.0,1,0.6829717755317688,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,Loki's Armor,0.0,0,0.0,False,TN
Scenes 001-020__111D-1-_20230728135829842.mp4,Aligator Loki Plushie,0.0,0,0.0,False,TN
Scenes 001-020__111D-1-_20230728135829842.mp4,Time Stick,0.0,1,0.606685996055603,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,TimeSpear,0.0,0,0.0,False,TN
Scenes 001-020__111D-1-_20230728135829842.mp4,Sylvie's Armor,0.0,0,0.0,False,TN
Scenes 001-020__111D-1-_20230728135829842.mp4,Boastful Loki Armor,0.0,1,0.6410742998123169,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,Sylvie's horned headpiece,0.0,1,0.7365863919258118,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,Loki's dagger,0.0,1,0.7106237411499023,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,TVA Uniform,0.0,1,0.6417554616928101,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,Kid Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__111D-1-_20230728135829842.mp4,TVA Prisoner Uniform,1.0,1,0.7948471307754517,False,TP
Scenes 001-020__111D-1-_20230728135829842.mp4,Loki's Variant uniform,0.0,1,0.7731995582580566,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,Sylvie's machete,0.0,1,0.7666856050491333,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,TVA Collar,0.0,1,0.8844244480133057,True,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,Ravonna Renslayer's Uniform,0.0,1,0.6630909442901611,False,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,TemPad,0.0,1,0.9176775217056274,True,FP
Scenes 001-020__111D-1-_20230728135829842.mp4,Classic Loki Armor,0.0,0,0.0,False,TN
Scenes 021-040__235-1-_20230815192601740.mp4,TVA Monitor,0.0,1,0.6218053698539734,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Loki's Armor,0.0,1,0.7092734575271606,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Aligator Loki Plushie,0.0,0,0.0,False,TN
Scenes 021-040__235-1-_20230815192601740.mp4,Time Stick,0.0,1,0.5614304542541504,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,TimeSpear,0.0,1,0.6944268345832825,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Sylvie's Armor,0.0,1,0.5652743577957153,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Boastful Loki Armor,0.0,1,0.7638241052627563,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Sylvie's horned headpiece,0.0,1,0.563908576965332,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Loki's dagger,0.0,1,0.6760051846504211,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,TVA Uniform,1.0,1,0.6633142232894897,False,TP
Scenes 021-040__235-1-_20230815192601740.mp4,Kid Loki Armor,0.0,1,0.7706790566444397,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,TVA Prisoner Uniform,0.0,1,0.689144492149353,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Loki's Variant uniform,1.0,1,0.6699804663658142,False,TP
Scenes 021-040__235-1-_20230815192601740.mp4,Sylvie's machete,0.0,1,0.6276588439941406,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,TVA Collar,0.0,1,0.7137567400932312,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,Ravonna Renslayer's Uniform,0.0,1,0.6129896640777588,False,FP
Scenes 021-040__235-1-_20230815192601740.mp4,TemPad,0.0,0,0.0,False,TN
Scenes 021-040__235-1-_20230815192601740.mp4,Classic Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__303K-3-_20230815223320788.mp4,TVA Monitor,0.0,0,0.0,False,TN
Scenes 001-020__303K-3-_20230815223320788.mp4,Loki's Armor,0.0,1,0.6991192698478699,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Aligator Loki Plushie,0.0,1,0.6616784930229187,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Time Stick,0.0,1,0.6288247108459473,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,TimeSpear,0.0,1,0.8179847002029419,True,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Sylvie's Armor,1.0,1,0.7140198945999146,False,TP
Scenes 001-020__303K-3-_20230815223320788.mp4,Boastful Loki Armor,0.0,1,0.6760314702987671,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Sylvie's horned headpiece,1.0,1,0.7856485247612,False,TP
Scenes 001-020__303K-3-_20230815223320788.mp4,Loki's dagger,0.0,1,0.7583112120628357,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,TVA Uniform,0.0,0,0.0,False,TN
Scenes 001-020__303K-3-_20230815223320788.mp4,Kid Loki Armor,0.0,1,0.6231330633163452,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,TVA Prisoner Uniform,0.0,1,0.6184468269348145,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Loki's Variant uniform,0.0,1,0.624267578125,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Sylvie's machete,1.0,1,0.7052421569824219,False,TP
Scenes 001-020__303K-3-_20230815223320788.mp4,TVA Collar,0.0,1,0.6969372630119324,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Ravonna Renslayer's Uniform,0.0,0,0.0,False,TN
Scenes 001-020__303K-3-_20230815223320788.mp4,TemPad,0.0,1,0.7346633076667786,False,FP
Scenes 001-020__303K-3-_20230815223320788.mp4,Classic Loki Armor,0.0,0,0.0,False,TN
Scenes 001-020__505-5-_20230815200453259.mp4,TVA Monitor,0.0,0,0.0,False,TN
Scenes 001-020__505-5-_20230815200453259.mp4,Loki's Armor,0.0,0,0.0,False,TN
Scenes 001-020__505-5-_20230815200453259.mp4,Aligator Loki Plushie,0.0,0,0.0,False,TN
