video,frame,owl_label,embedding_shape,embedding_norm
Scene_001,10,Loki_Armor,"(512,)",22.715020426081008
Scene_001,11,TVA_Collar,"(512,)",22.610021842418842
Scene_002,12,TemPad,"(512,)",22.501959342103973
Scene_002,13,Loki_Dagger,"(512,)",22.48921451332491
Scene_003,14,TVA_Monitor,"(512,)",21.651449966759404
Scene_001,15,Loki_Armor,"(512,)",23.602969822535087
Scene_001,16,TVA_Collar,"(512,)",22.749258204938926
Scene_002,17,TemPad,"(512,)",22.064959639219854
Scene_002,18,Loki_Dagger,"(512,)",20.811968136944305
Scene_003,19,TVA_Monitor,"(512,)",23.135296836291587
Scene_001,20,Loki_Armor,"(512,)",22.76684141406087
Scene_001,21,TVA_Collar,"(512,)",22.277603300189956
Scene_002,22,TemPad,"(512,)",22.231533878802296
Scene_002,23,Loki_Dagger,"(512,)",24.31727947881963
Scene_003,24,TVA_Monitor,"(512,)",22.058189507017204
Scene_001,25,Loki_Armor,"(512,)",22.851818187828194
Scene_001,26,TVA_Collar,"(512,)",22.43847736010401
Scene_002,27,TemPad,"(512,)",22.676423359131753
Scene_002,28,Loki_Dagger,"(512,)",21.78199266750191
Scene_003,29,TVA_Monitor,"(512,)",23.811840470273367
Scene_001,30,Loki_Armor,"(512,)",23.085890114834402
Scene_001,31,TVA_Collar,"(512,)",23.604457289761253
Scene_002,32,TemPad,"(512,)",22.70217218884906
Scene_002,33,Loki_Dagger,"(512,)",21.45445640936678
Scene_003,34,TVA_Monitor,"(512,)",24.269200178973744
Scene_001,35,Loki_Armor,"(512,)",21.66002098095189
Scene_001,36,TVA_Collar,"(512,)",21.70110748864897
Scene_002,37,TemPad,"(512,)",23.32059792931348
Scene_002,38,Loki_Dagger,"(512,)",21.681617225101885
Scene_003,39,TVA_Monitor,"(512,)",22.958204074371924
Scene_001,40,Loki_Armor,"(512,)",23.42148002129864
Scene_001,41,TVA_Collar,"(512,)",23.531420833811588
Scene_002,42,TemPad,"(512,)",23.312437796856127
Scene_002,43,Loki_Dagger,"(512,)",23.804211491563677
Scene_003,44,TVA_Monitor,"(512,)",22.831288328689762
Scene_001,45,Loki_Armor,"(512,)",22.61037277606225
Scene_001,46,TVA_Collar,"(512,)",23.03041895042176
Scene_002,47,TemPad,"(512,)",23.614969842890577
Scene_002,48,Loki_Dagger,"(512,)",22.519237428941953
Scene_003,49,TVA_Monitor,"(512,)",22.76941703096251
Scene_001,50,Loki_Armor,"(512,)",22.175785084303172
Scene_001,51,TVA_Collar,"(512,)",22.90538353243486
Scene_002,52,TemPad,"(512,)",21.62882526196915
Scene_002,53,Loki_Dagger,"(512,)",23.140208395799178
Scene_003,54,TVA_Monitor,"(512,)",20.970735284880575
Scene_001,55,Loki_Armor,"(512,)",23.345922148305146
Scene_001,56,TVA_Collar,"(512,)",23.63974313520599
Scene_002,57,TemPad,"(512,)",23.126981665075334
Scene_002,58,Loki_Dagger,"(512,)",22.154182587418116
Scene_003,59,TVA_Monitor,"(512,)",22.19310368010047
Scene_001,60,Loki_Armor,"(512,)",22.83520764359054
Scene_001,61,TVA_Collar,"(512,)",22.772909731477696
Scene_002,62,TemPad,"(512,)",22.605704623593297
Scene_002,63,Loki_Dagger,"(512,)",21.90186678260178
Scene_003,64,TVA_Monitor,"(512,)",23.268144860920447
Scene_001,65,Loki_Armor,"(512,)",21.991700366662272
Scene_001,66,TVA_Collar,"(512,)",22.054112130302297
Scene_002,67,TemPad,"(512,)",22.008584495562214
Scene_002,68,Loki_Dagger,"(512,)",21.55614867813653
Scene_003,69,TVA_Monitor,"(512,)",22.55102682066008
Scene_001,70,Loki_Armor,"(512,)",21.9909975271425
Scene_001,71,TVA_Collar,"(512,)",23.201512444493478
Scene_002,72,TemPad,"(512,)",22.825710898904184
Scene_002,73,Loki_Dagger,"(512,)",22.074174079497144
Scene_003,74,TVA_Monitor,"(512,)",21.543637013580074
Scene_001,75,Loki_Armor,"(512,)",21.736814972892326
Scene_001,76,TVA_Collar,"(512,)",21.78211261699734
Scene_002,77,TemPad,"(512,)",23.11331998208926
Scene_002,78,Loki_Dagger,"(512,)",24.04531221755545
Scene_003,79,TVA_Monitor,"(512,)",22.565115686453645
