video,frame,owl_label,embedding_shape,embedding_norm
Scenes 041-060__244C-1- mos_20230815211948647.mp4,0,Handheld Device,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,19,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,26,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,14,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Machete,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,20,Cane,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,35,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,0,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Machete,"(2048,)",0.9999998807907104
Scenes 061-080__265A-1-_20230815215951493.mp4,30,Dark hooded tunic,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,19,Cane,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,3,Dark coat,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Machete,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,18,Cane,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,29,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Machete,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Dark leather armor,"(2048,)",0.9999999403953552
