video,exclusion_count,percentage
Scenes 021-040__237B-1-_20230815180326204.mp4,6,6.82
Scenes 021-040__536A-3-_20230816063724398.mp4,4,4.55
Scenes 021-040__221-4-_20230815180803766.mp4,4,4.55
Scenes 021-040__234A-2-_20230815192229849.mp4,4,4.55
Scenes 061-080__165A-1-_20230815180241405.mp4,3,3.41
Scenes 001-020__306E-1-_20230815201829547.mp4,3,3.41
Scenes 001-020__306C-1-_20230815201919138.mp4,3,3.41
Scenes 041-060__244A-7- pu_20230815211729392.mp4,3,3.41
Scenes 001-020__211H-2-_20230815190456898.mp4,2,2.27
Scenes 061-080__265G-3-_20230815215442372.mp4,2,2.27
Scenes 041-060__244B-1-_20230815212053650.mp4,2,2.27
Scenes 041-060__156-5a- only pu_20230815181240389.mp4,2,2.27
Scenes 001-020__216A-4b- only_20230815182553047.mp4,2,2.27
Scenes 001-020__211-1-_20230815190444533.mp4,2,2.27
Scenes 001-020__303L-1-_20230815223024888.mp4,2,2.27
Scenes 001-020__220D-2-_20230815190723523.mp4,2,2.27
Scenes 001-020__110A-2-_20230815160756908.mp4,2,2.27
Scenes 001-020__108E-1-_20230727173710924.mp4,2,2.27
Scenes 001-020__213-3-_20230815180738197.mp4,2,2.27
Scenes 001-020__111D-1-_20230728135829842.mp4,2,2.27
Scenes 001-020__306B-5-_20230815201805729.mp4,2,2.27
Scenes 001-020__319-9_20230815201611576.mp4,2,2.27
Scenes 001-020__201C-1-_20230815182005024.mp4,1,1.14
Scenes 001-020__302-2_20230815200213180.mp4,1,1.14
Scenes 001-020__303K-3-_20230815223320788.mp4,1,1.14
Scenes 001-020__201K-1-_20230815184646280.mp4,1,1.14
Scenes 001-020__201L-1-_20230728112628503.mp4,1,1.14
Scenes 001-020__207A-1-_20230815182030372.mp4,1,1.14
Scenes 001-020__110C-1-_20230728125333457.mp4,1,1.14
Scenes 001-020__106D-5-_20230815151758589.mp4,1,1.14
Scenes 001-020__106E-1- mos_20230727162142209.mp4,1,1.14
Scenes 001-020__201D-2-_20230815184746334.mp4,1,1.14
Scenes 001-020__201E-2-_20230728112604212.mp4,1,1.14
Scenes 001-020__305C-1_20230815193534665.mp4,1,1.14
Scenes 001-020__309-3-_20230815150109755.mp4,1,1.14
Scenes 001-020__306-1-_20230803124944118.mp4,1,1.14
Scenes 021-040__226A-1-_20230815185254846.mp4,1,1.14
Scenes 021-040__222-2-_20230815185458410.mp4,1,1.14
Scenes 021-040__137E-1-_20230815175038515.mp4,1,1.14
Scenes 001-020__509-3_20230815200533637.mp4,1,1.14
Scenes 001-020__504T-3-_20230816050753649.mp4,1,1.14
Scenes 001-020__506E-1ng_b_20230816043951139.mp4,1,1.14
Scenes 001-020__504K-1-_20230816050602143.mp4,1,1.14
Scenes 001-020__314-3_20230815232058756.mp4,1,1.14
Scenes 041-060__156-6a- only pu_20230815175525189.mp4,1,1.14
Scenes 021-040__537C-2_20230816070308783.mp4,1,1.14
Scenes 021-040__235C-2- mos_20230815192640043.mp4,1,1.14
Scenes 021-040__440H-2b-_20230816031331933.mp4,1,1.14
Scenes 041-060__156D-1- mos_20230815181940173.mp4,1,1.14
Scenes 041-060__156F-1-_20230815175731629.mp4,1,1.14
Scenes 061-080__165A-4-_20230815180313546.mp4,1,1.14
Scenes 061-080__265N-1_20230815220141511.mp4,1,1.14
