class,finetuned_embedding
not_TemPad,[0.0015688  0.03218363 0.02343963 ... 0.01467509 0.01604796 0.02568744]
not_TimeSpear,[0.01071978 0.00409182 0.02951013 ... 0.00366968 0.00069177 0.01057577]
not_TemPad,[0.00667825 0.02710994 0.0150463  ... 0.00277499 0.02527757 0.02027695]
not_TemPad,[0.01376652 0.00862629 0.00847344 ... 0.0004355  0.04186353 0.01492986]
not_TimeSpear,[0.00214793 0.0003424  0.03505023 ... 0.00356557 0.00947761 0.02531637]
not_TimeSpear,[0.01123937 0.00406972 0.03231359 ... 0.01281826 0.00156511 0.00685603]
not_TemPad,[0.00100957 0.03852736 0.03341385 ... 0.01484979 0.00961073 0.02376673]
not_TemPad,[0.0086758  0.00744377 0.00956654 ... 0.00065905 0.0192091  0.02166585]
not_TemPad,[0.00146161 0.04463764 0.04442987 ... 0.01352605 0.02499791 0.02380694]
not_TemPad,[0.00256929 0.05522077 0.03446195 ... 0.01739839 0.01092239 0.03344639]
not_TimeSpear,[0.01323668 0.0156776  0.00827861 ... 0.00284194 0.00524837 0.00834687]
not_TemPad,[0.00615219 0.02438042 0.01870289 ... 0.01821813 0.02207214 0.02951975]
not_TemPad,[0.007063   0.04571374 0.03744534 ... 0.01469888 0.00347695 0.02897594]
not_TimeSpear,[0.02121578 0.03193136 0.01426383 ... 0.00308995 0.0035299  0.00685996]
not_TemPad,[0.00868696 0.02673686 0.03762418 ... 0.01085112 0.00559507 0.02596517]
not_TemPad,[0.00704771 0.03353893 0.01700541 ... 0.00771021 0.03476616 0.02715402]
not_TimeSpear,[0.02530202 0.00198404 0.01193534 ... 0.011047   0.00169519 0.00743695]
not_TimeSpear,[0.00010092 0.00413129 0.00698116 ... 0.         0.         0.00561902]
not_TimeSpear,[0.00731468 0.0007324  0.0374462  ... 0.00685222 0.00139446 0.00956074]
not_TemPad,[0.00221306 0.03643666 0.02513984 ... 0.0075926  0.00939453 0.02543521]
not_TimeSpear,[0.00054424 0.01652743 0.02478738 ... 0.00473015 0.         0.00988445]
not_TemPad,[0.01515329 0.02433624 0.02176165 ... 0.01125414 0.01805727 0.03463611]
not_TemPad,[0.0200602  0.03201291 0.03127227 ... 0.00469922 0.00927623 0.02473364]
not_TimeSpear,[0.02173517 0.04912458 0.01960218 ... 0.01558274 0.00321499 0.03418705]
not_TemPad,[0.0070716  0.00982137 0.01939016 ... 0.00981825 0.00968665 0.0182137 ]
not_TimeSpear,[0.01836971 0.0071752  0.05583819 ... 0.00486528 0.01194986 0.01410121]
not_TemPad,[0.00886164 0.03589202 0.01254443 ... 0.00891006 0.04651895 0.02209486]
not_TemPad,[0.00808417 0.03225101 0.01348233 ... 0.00759956 0.01662619 0.0278628 ]
not_TimeSpear,[0.02217624 0.00686016 0.02063988 ... 0.02039774 0.00091737 0.01916769]
not_TemPad,[0.01788833 0.02600135 0.01260447 ... 0.01432008 0.01501571 0.01626916]
not_TimeSpear,[0.01690019 0.01102789 0.02090467 ... 0.02201122 0.00628915 0.01995803]
