video,frame,class,original_wrong_prediction,reason
Scenes 001-020__108E-1-_20230727173710924.mp4,148,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__110A-2-_20230815160756908.mp4,197,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 001-020__110C-1-_20230728125333457.mp4,56,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__111D-1-_20230728135829842.mp4,182,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__201C-1-_20230815182005024.mp4,48,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 001-020__201D-2-_20230815184746334.mp4,206,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 001-020__201L-1-_20230728112628503.mp4,55,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__211-1-_20230815190444533.mp4,61,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__216A-4b- only_20230815182553047.mp4,42,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__220D-2-_20230815190723523.mp4,9,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__302-2_20230815200213180.mp4,18,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 001-020__303K-3-_20230815223320788.mp4,247,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__303L-1-_20230815223024888.mp4,107,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__317-9-_20230815232900331.mp4,22,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 021-040__222-2-_20230815185458410.mp4,40,not_TemPad,TemPad,false_positive_negative
Scenes 021-040__226A-1-_20230815185254846.mp4,102,not_TemPad,TemPad,false_positive_negative
Scenes 021-040__235-1-_20230815192601740.mp4,25,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 021-040__235C-2- mos_20230815192640043.mp4,8,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 021-040__237B-1-_20230815180326204.mp4,189,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 021-040__536A-3-_20230816063724398.mp4,147,not_TemPad,TemPad,false_positive_negative
Scenes 021-040__536A-3-_20230816063724398.mp4,36,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 041-060__156-5a- only pu_20230815181240389.mp4,180,not_TemPad,TemPad,false_positive_negative
Scenes 041-060__156-6a- only pu_20230815175525189.mp4,79,not_TemPad,TemPad,false_positive_negative
Scenes 041-060__156A-2-_20230815181902814.mp4,2,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 041-060__244A-7- pu_20230815211729392.mp4,10,not_TemPad,TemPad,false_positive_negative
Scenes 041-060__254B-3-_20230815193228103.mp4,20,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 041-060__411D-1- mos_20230816005120796.mp4,12,not_TemPad,TemPad,false_positive_negative
Scenes 061-080__165A-1-_20230815180241405.mp4,39,not_TemPad,TemPad,false_positive_negative
Scenes 061-080__165A-1-_20230815180241405.mp4,128,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 061-080__165A-4-_20230815180313546.mp4,208,not_TemPad,TemPad,false_positive_negative
Scenes 061-080__165A-4-_20230815180313546.mp4,26,not_TimeSpear,TimeSpear,false_positive_negative
Scenes 001-020__206B-1_20230815190937932.mp4,0,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__211H-2-_20230815190456898.mp4,118,not_TemPad,TemPad,false_positive_negative
Scenes 001-020__306C-1-_20230815201919138.mp4,7,not_TemPad,TemPad,false_positive_negative
Scenes 021-040__230-1ng_20230815191241114.mp4,2,not_TemPad,TemPad,false_positive_negative
Scenes 021-040__234A-2-_20230815192229849.mp4,102,not_TemPad,TemPad,false_positive_negative
Scenes 061-080__163A-1- mos_20230815180055695.mp4,11,not_TemPad,TemPad,false_positive_negative
