video,class,actual,predicted,confidence,frame,classification,iteration,extraction_timestamp,reason,negative_class_created,embedding_available
Scenes 001-020__108E-1-_20230727173710924.mp4,TemPad,0.0,1,0.610055685043335,148.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__110A-2-_20230815160756908.mp4,TimeSpear,0.0,1,0.5989891886711121,197.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__110C-1-_20230728125333457.mp4,TemPad,0.0,1,0.6126086711883545,56.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__111D-1-_20230728135829842.mp4,TemPad,0.0,1,0.5960500240325928,182.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__201C-1-_20230815182005024.mp4,TimeSpear,0.0,1,0.5633407235145569,48.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__201D-2-_20230815184746334.mp4,TimeSpear,0.0,1,0.5886595845222473,206.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__201L-1-_20230728112628503.mp4,TemPad,0.0,1,0.5617263317108154,55.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__211-1-_20230815190444533.mp4,TemPad,0.0,1,0.5331264734268188,61.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__216A-4b- only_20230815182553047.mp4,TemPad,0.0,1,0.6211755275726318,42.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__220D-2-_20230815190723523.mp4,TemPad,0.0,1,0.6109089851379395,9.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__302-2_20230815200213180.mp4,TimeSpear,0.0,1,0.6184648275375366,18.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 001-020__303K-3-_20230815223320788.mp4,TemPad,0.0,1,0.6418586373329163,247.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__303L-1-_20230815223024888.mp4,TemPad,0.0,1,0.6163632273674011,107.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 001-020__317-9-_20230815232900331.mp4,TimeSpear,0.0,1,0.6108807921409607,22.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 021-040__222-2-_20230815185458410.mp4,TemPad,0.0,1,0.6015850305557251,40.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 021-040__226A-1-_20230815185254846.mp4,TemPad,0.0,1,0.6278828382492065,102.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 021-040__235-1-_20230815192601740.mp4,TimeSpear,0.0,1,0.579944908618927,25.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 021-040__235C-2- mos_20230815192640043.mp4,TimeSpear,0.0,1,0.5343989133834839,8.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 021-040__237B-1-_20230815180326204.mp4,TimeSpear,0.0,1,0.5772379636764526,189.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 021-040__536A-3-_20230816063724398.mp4,TemPad,0.0,1,0.6280261278152466,147.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 021-040__536A-3-_20230816063724398.mp4,TimeSpear,0.0,1,0.5612460374832153,36.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 041-060__156-5a- only pu_20230815181240389.mp4,TemPad,0.0,1,0.670017659664154,180.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 041-060__156-6a- only pu_20230815175525189.mp4,TemPad,0.0,1,0.6628698706626892,79.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 041-060__156A-2-_20230815181902814.mp4,TimeSpear,0.0,1,0.5562368631362915,2.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 041-060__244A-7- pu_20230815211729392.mp4,TemPad,0.0,1,0.5894020199775696,10.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 041-060__254B-3-_20230815193228103.mp4,TimeSpear,0.0,1,0.5649704337120056,20.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 041-060__411D-1- mos_20230816005120796.mp4,TemPad,0.0,1,0.5981206297874451,12.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 061-080__165A-1-_20230815180241405.mp4,TemPad,0.0,1,0.6299406290054321,39.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 061-080__165A-1-_20230815180241405.mp4,TimeSpear,0.0,1,0.6319135427474976,128.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
Scenes 061-080__165A-4-_20230815180313546.mp4,TemPad,0.0,1,0.6343910098075867,208.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TemPad,True
Scenes 061-080__165A-4-_20230815180313546.mp4,TimeSpear,0.0,1,0.6250336766242981,26.0,FP,1,2025-05-30T17:01:58.280877,false_positive_for_training,not_TimeSpear,True
